pair,mode,wd_variant,wd_source_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCAD,W,ALL,H4,H4,20,12,8,0.31692407497357733,60.0,1.1948734582892955,-1.0
AUDCHF,W,ALL,H4,H4,21,15,6,0.5947716614925527,71.42857142857143,1.2326803260895736,-1.0
AUDJPY,W,ALL,H4,H4,20,12,8,0.3726010380208186,60.0,1.2876683967013645,-1.0
AUDNZD,W,ALL,H4,H4,13,7,6,0.17926256740482296,53.84615384615385,1.190059053751814,-1.0
AUDUSD,W,ALL,H4,H4,10,5,5,0.11600994936569768,50.0,1.2320198987313955,-1.0
CADCHF,W,ALL,H4,H4,27,11,16,-0.09323274461315355,40.74074074074074,1.2257014450404415,-1.0
CADJPY,W,ALL,H4,H4,18,11,7,0.39933876086288833,61.111111111111114,1.289827063230181,-1.0
CHFJPY,W,ALL,H4,H4,25,17,8,0.5671774480022684,68.0,1.3046727176503945,-1.0
EURAUD,W,ALL,H4,H4,17,7,10,-0.07539471532649854,41.17647058823529,1.245469977064218,-1.0
EURCAD,W,ALL,H4,H4,24,14,10,0.32781736775620374,58.333333333333336,1.2762583447249207,-1.0
EURCHF,W,ALL,H4,H4,17,11,6,0.44815963833892253,64.70588235294117,1.2380648956146985,-1.0
EURGBP,W,ALL,H4,H4,21,10,11,0.08565757058271056,47.61904761904761,1.2798808982236924,-1.0
EURJPY,W,ALL,H4,H4,20,12,8,0.32544491265955483,60.0,1.2090748544325913,-1.0
EURNZD,W,ALL,H4,H4,21,10,11,0.0791980785494738,47.61904761904761,1.2663159649538949,-1.0
EURUSD,W,ALL,H4,H4,21,10,11,0.05084019336388691,47.61904761904761,1.2067644060641625,-1.0
GBPAUD,W,ALL,H4,H4,12,5,7,-0.05608359445392286,41.66666666666667,1.265399373310585,-1.0
GBPCAD,W,ALL,H4,H4,17,9,8,0.19836537594199474,52.94117647058824,1.26357904344599,-1.0
GBPCHF,W,ALL,H4,H4,20,11,9,0.24418017705194933,55.00000000000001,1.26214577645809,-1.0
GBPJPY,W,ALL,H4,H4,17,7,10,-0.08126446806759016,41.17647058823529,1.2312148632644238,-1.0
GBPNZD,W,ALL,H4,H4,21,9,12,-0.06696619749652413,42.857142857142854,1.1770788725081105,-1.0
GBPUSD,W,ALL,H4,H4,17,6,11,-0.1934713822906112,35.294117647058826,1.285164416843268,-1.0
NZDCAD,W,ALL,H4,H4,15,7,8,0.07234968446420002,46.666666666666664,1.2978921809947146,-1.0
NZDCHF,W,ALL,H4,H4,19,7,12,-0.1794693366661615,36.84210526315789,1.2271546576204189,-1.0
NZDJPY,W,ALL,H4,H4,17,9,8,0.22001188578866793,52.94117647058824,1.304466895378595,-1.0
NZDUSD,W,ALL,H4,H4,15,10,5,0.4783462802589605,66.66666666666666,1.2175194203884407,-1.0
USDCAD,W,ALL,H4,H4,16,5,11,-0.267861407416143,31.25,1.3428434962683424,-1.0
USDCHF,W,ALL,H4,H4,14,8,6,0.31451744487513206,57.14285714285714,1.3004055285314808,-1.0
USDJPY,W,ALL,H4,H4,21,9,12,-0.07376194560993272,42.857142857142854,1.161222126910157,-1.0
ALL,ALL,ALL,ALL,ALL,516,266,250,0.15994146987330524,51.55038759689923,1.2501120242655095,-1.0
