pair,mode,wd_variant,wd_source_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss,peak_concurrent_trades,peak_concurrent_time,RR_MIN,RR_MAX,MAX_HOLD_DAYS
AUDCAD,W,ALL,H4,H4,28,17,11,0.3095172441406447,60.71428571428571,1.111485339913046,-0.9298879947803392,,,,,
AUDCHF,W,ALL,H4,H4,33,25,8,0.6027553114223686,75.75757575757575,1.0633553057348386,-0.8366196708041004,,,,,
AUDJPY,W,ALL,H4,H4,37,18,19,0.03686706622462638,48.64864864864865,1.1313378583506208,-1.0,,,,,
AUDNZD,W,ALL,H4,H4,34,20,14,0.23358732381407982,58.82352941176471,1.0970984504839358,-1.0,,,,,
AUDUSD,W,ALL,H4,H4,20,11,9,0.2115177166338536,55.00000000000001,1.2027594847888248,-1.0,,,,,
CADCHF,W,ALL,H4,H4,41,17,24,-0.10601883439524515,41.46341463414634,1.101917450868494,-0.9616403697903936,,,,,
CADJPY,W,ALL,H4,H4,30,14,16,0.1054279904824971,46.666666666666664,1.1844505488380646,-0.8387167480786243,,,,,
CHFJPY,W,ALL,H4,H4,34,23,11,0.4748275188746902,67.64705882352942,1.1801798105104118,-1.0,,,,,
EURAUD,W,ALL,H4,H4,31,17,14,0.18383585120611173,54.83870967741935,1.1090407507834745,-0.9396272411378289,,,,,
EURCAD,W,ALL,H4,H4,39,22,17,0.2555695687460365,56.41025641025641,1.1900426341698922,-0.9537485159201295,,,,,
EURCHF,W,ALL,H4,H4,30,21,9,0.4927989442626277,70.0,1.0505172536353338,-0.8085437776070195,,,,,
EURGBP,W,ALL,H4,H4,32,18,14,0.2732112224248334,56.25,1.1655655923104637,-0.8741015388566914,,,,,
EURJPY,W,ALL,H4,H4,32,18,14,0.2134528676451604,56.25,1.157249542480285,-1.0,,,,,
EURNZD,W,ALL,H4,H4,36,17,19,0.058332434121196486,47.22222222222222,1.1303531635382704,-0.9008440079888168,,,,,
EURUSD,W,ALL,H4,H4,31,15,16,-0.04805584144216839,48.38709677419355,0.9673512610195186,-1.0,,,,,
GBPAUD,W,ALL,H4,H4,25,15,10,0.21207045483601028,60.0,1.020117424726684,-1.0,,,,,
GBPCAD,W,ALL,H4,H4,28,15,13,0.08853102230959665,53.57142857142857,1.031924574977914,-1.0,,,,,
GBPCHF,W,ALL,H4,H4,30,17,13,0.15154805186491285,56.666666666666664,1.0321436209380814,-1.0,,,,,
GBPJPY,W,ALL,H4,H4,27,11,16,-0.14876165761102603,40.74074074074074,1.0181770035128155,-0.951031987133667,,,,,
GBPNZD,W,ALL,H4,H4,38,22,16,0.21374259761748543,57.89473684210527,1.0964644867938385,-1.0,,,,,
GBPUSD,W,ALL,H4,H4,32,13,19,-0.12051519476038941,40.625,1.0920371831482476,-0.9501562954347198,,,,,
NZDCAD,W,ALL,H4,H4,29,15,14,0.15180017859295092,51.724137931034484,1.2016315239276687,-0.9730191199799609,,,,,
NZDCHF,W,ALL,H4,H4,36,14,22,-0.084585913137013,38.88888888888889,1.193627515857412,-0.8979944588607377,,,,,
NZDJPY,W,ALL,H4,H4,22,12,10,0.14814174649335754,54.54545454545454,1.0478491421624658,-0.931507128309572,,,,,
NZDUSD,W,ALL,H4,H4,21,16,5,0.5945460723584018,76.19047619047619,1.0928417199704024,-1.0,,,,,
USDCAD,W,ALL,H4,H4,26,14,12,0.09865245014221287,53.84615384615385,0.9924878994440478,-0.9441555740432612,,,,,
USDCHF,W,ALL,H4,H4,27,12,15,0.02229983567840851,44.44444444444444,1.2437084577184565,-0.9548270619536298,,,,,
USDJPY,W,ALL,H4,H4,31,10,21,-0.22627121648616377,32.25806451612903,1.0901192600203364,-0.8531238243464019,,,,,
ALL,ALL,ALL,ALL,ALL,860,459,401,0.15060254122273184,53.372093023255815,1.107773806187053,-0.9450124478511419,10.0,2024-10-25T01:00:00,0.9,1.3,30.0
