pair,mode,wd_variant,wd_source_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss,peak_concurrent_trades,peak_concurrent_time,special_wd_events
AUDCAD,W,ALL,H4,H4,8,8,0,1.0297398964229245,100.0,1.0297398964229245,,,,
AUDCHF,W,ALL,H4,H4,4,4,0,1.0875704368745465,100.0,1.0875704368745465,,,,
AUDJPY,W,ALL,H4,H4,8,8,0,1.0886894740224364,100.0,1.0886894740224364,,,,
AUDNZD,W,ALL,H4,H4,7,7,0,1.0607898299084535,100.0,1.0607898299084535,,,,
AUDUSD,W,ALL,H4,H4,7,7,0,1.1590507109417236,100.0,1.1590507109417236,,,,
CADCHF,W,ALL,H4,H4,8,7,1,1.0121397819604563,87.5,1.0032028192338551,1.074698521046664,,,
CADJPY,W,ALL,H4,H4,3,3,0,1.1594185525732976,100.0,1.1594185525732976,,,,
CHFJPY,W,ALL,H4,H4,6,6,0,1.1543756450764344,100.0,1.1543756450764344,,,,
EURAUD,W,ALL,H4,H4,10,9,1,1.085979761781912,90.0,1.0864293512953178,1.0819334561612626,,,
EURCAD,W,ALL,H4,H4,7,7,0,1.0001484221937904,100.0,1.0001484221937904,,,,
EURCHF,W,ALL,H4,H4,8,8,0,1.0132807881677937,100.0,1.0132807881677937,,,,
EURGBP,W,ALL,H4,H4,4,4,0,1.0777955327215356,100.0,1.0777955327215356,,,,
EURJPY,W,ALL,H4,H4,6,6,0,1.1404234996033653,100.0,1.1404234996033653,,,,
EURNZD,W,ALL,H4,H4,7,7,0,1.021197858603289,100.0,1.021197858603289,,,,
EURUSD,W,ALL,H4,H4,6,6,0,1.1203978651054198,100.0,1.1203978651054198,,,,
GBPAUD,W,ALL,H4,H4,9,8,1,1.0515351488441973,88.88888888888889,1.0504686947448802,1.0600667816387315,,,
GBPCAD,W,ALL,H4,H4,2,2,0,1.003648669113358,100.0,1.003648669113358,,,,
GBPCHF,W,ALL,H4,H4,7,7,0,1.0496506168270572,100.0,1.0496506168270572,,,,
GBPJPY,W,ALL,H4,H4,7,7,0,1.0058608974411771,100.0,1.0058608974411771,,,,
GBPNZD,W,ALL,H4,H4,8,8,0,0.9996524452609281,100.0,0.9996524452609281,,,,
GBPUSD,W,ALL,H4,H4,6,6,0,1.1241301338084912,100.0,1.1241301338084912,,,,
NZDCAD,W,ALL,H4,H4,4,4,0,1.1633119625764317,100.0,1.1633119625764317,,,,
NZDCHF,W,ALL,H4,H4,6,6,0,1.0959580275896375,100.0,1.0959580275896375,,,,
NZDJPY,W,ALL,H4,H4,5,4,1,1.142879973605397,80.0,1.1153481003632315,1.2530074665740583,,,
NZDUSD,W,ALL,H4,H4,3,3,0,1.0080180073682037,100.0,1.0080180073682037,,,,
USDCAD,W,ALL,H4,H4,5,5,0,1.0474577945599253,100.0,1.0474577945599253,,,,
USDCHF,W,ALL,H4,H4,2,2,0,0.9622507463107377,100.0,0.9622507463107377,,,,
USDJPY,W,ALL,H4,H4,4,4,0,1.0673257932540317,100.0,1.0673257932540317,,,,
ALL,ALL,ALL,ALL,ALL,167,163,4,1.0678445788970492,97.60479041916167,1.066627843253905,1.117426556355179,3.0,2017-02-23T14:00:00,74.0
