pair,mode,wd_variant,wd_source_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCAD,W,INNER,H4,D1,10,6,4,0.410269583060291,60.0,1.3504493051004849,-1.0
AUDCHF,W,INNER,H4,D1,8,5,3,0.38734105722274825,62.5,1.2197456915563971,-1.0
AUDJPY,W,INNER,H4,D1,15,8,7,0.2728720382057191,53.333333333333336,1.3866350716357232,-1.0
AUDNZD,W,INNER,H4,D1,10,4,6,-0.09545253671623735,40.0,1.2613686582094066,-1.0
AUDUSD,W,INNER,H4,D1,4,2,2,0.245,50.0,1.49,-1.0
CADCHF,W,INNER,H4,D1,17,6,11,-0.2241499048749673,35.294117647058826,1.1982419361875927,-1.0
CADJPY,W,INNER,H4,D1,11,5,6,0.054475812116619116,45.45454545454545,1.319846786656562,-1.0
CHFJPY,W,INNER,H4,D1,12,6,6,0.15664369813456536,50.0,1.3132873962691307,-1.0
EURAUD,W,INNER,H4,D1,10,3,7,-0.3910531531959368,30.0,1.0298228226802109,-1.0
EURCAD,W,INNER,H4,D1,14,9,5,0.43723595961459816,64.28571428571429,1.2357003816227081,-1.0
EURCHF,W,INNER,H4,D1,12,7,5,0.317418733190267,58.333333333333336,1.2584321140404577,-1.0
EURGBP,W,INNER,H4,D1,8,4,4,0.06887374604922183,50.0,1.1377474920984438,-1.0
EURJPY,W,INNER,H4,D1,7,1,6,-0.6619854550528752,14.285714285714285,1.3661018146298731,-1.0
EURNZD,W,INNER,H4,D1,17,9,8,0.1895795138862948,52.94117647058824,1.2469835262296678,-1.0
EURUSD,W,INNER,H4,D1,8,3,5,-0.07600249477253174,37.5,1.4639933472732487,-1.0
GBPAUD,W,INNER,H4,D1,11,3,8,-0.4017191492222336,27.27272727272727,1.19369645285181,-1.0
GBPCAD,W,INNER,H4,D1,5,1,4,-0.502,20.0,1.49,-1.0
GBPCHF,W,INNER,H4,D1,9,5,4,0.2820461116840614,55.55555555555556,1.3076830010313105,-1.0
GBPJPY,W,INNER,H4,D1,16,7,9,-0.0124697568670575,43.75,1.2572119843038687,-1.0
GBPNZD,W,INNER,H4,D1,16,7,9,-0.046938438730941306,43.75,1.1784264257578485,-1.0
GBPUSD,W,INNER,H4,D1,11,2,9,-0.6273601635489936,18.181818181818183,1.049519100480535,-1.0
NZDCAD,W,INNER,H4,D1,9,3,6,-0.3093122836409195,33.33333333333333,1.0720631490772414,-1.0
NZDCHF,W,INNER,H4,D1,10,2,8,-0.5775053018640511,20.0,1.1124734906797447,-1.0
NZDJPY,W,INNER,H4,D1,10,5,5,0.2079033580075406,50.0,1.4158067160150813,-1.0
NZDUSD,W,INNER,H4,D1,9,7,2,0.7103343097125416,77.77777777777779,1.1990012553446963,-1.0
USDCAD,W,INNER,H4,D1,9,1,8,-0.7233333333333333,11.11111111111111,1.49,-1.0
USDCHF,W,INNER,H4,D1,11,6,5,0.2251184868084417,54.54545454545454,1.2460505591488098,-1.0
USDJPY,W,INNER,H4,D1,13,4,9,-0.37738163025974214,30.76923076923077,1.023509701655838,-1.0
ALL,ALL,ALL,ALL,ALL,302,131,171,-0.022279330871288562,43.377483443708606,1.2539820005868,-1.0
