pair,mode,wd_variant,wd_source_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCAD,W,INNER,H4,H4,3,2,1,0.393917581219704,66.66666666666666,1.090876371829556,-1.0
AUDCHF,W,INNER,H4,H4,1,1,0,1.1245842926579686,100.0,1.1245842926579686,
AUDJPY,W,INNER,H4,H4,2,1,1,-0.0030363284608784236,50.0,0.9939273430782432,-1.0
CADCHF,W,INNER,H4,H4,3,2,1,0.40809480903511614,66.66666666666666,1.1121422135526742,-1.0
CADJPY,W,INNER,H4,H4,3,1,2,-0.3039032710101206,33.33333333333333,1.0882901869696382,-1.0
CHFJPY,W,INNER,H4,H4,1,0,1,-1.0,0.0,,-1.0
EURAUD,W,INNER,H4,H4,2,2,0,1.0544568579563318,100.0,1.0544568579563318,
EURCAD,W,INNER,H4,H4,1,1,0,1.1540171256950842,100.0,1.1540171256950842,
EURCHF,W,INNER,H4,H4,2,1,1,0.00806816681441791,50.0,1.0161363336288358,-1.0
EURGBP,W,INNER,H4,H4,1,1,0,1.0391553594875917,100.0,1.0391553594875917,
EURNZD,W,INNER,H4,H4,1,1,0,1.1029230923383755,100.0,1.1029230923383755,
GBPAUD,W,INNER,H4,H4,1,0,1,-1.0,0.0,,-1.0
GBPCAD,W,INNER,H4,H4,1,0,1,-1.0,0.0,,-1.0
GBPCHF,W,INNER,H4,H4,2,1,1,0.02066672518733248,50.0,1.041333450374665,-1.0
GBPJPY,W,INNER,H4,H4,6,1,5,-0.6687023747287032,16.666666666666664,0.9877857516277816,-1.0
GBPNZD,W,INNER,H4,H4,4,2,2,0.10261485496594247,50.0,1.205229709931885,-1.0
GBPUSD,W,INNER,H4,H4,2,0,2,-1.0,0.0,,-1.0
NZDJPY,W,INNER,H4,H4,4,3,1,0.5207360563998971,75.0,1.0276480751998627,-1.0
USDCHF,W,INNER,H4,H4,1,1,0,1.0035030734863766,100.0,1.0035030734863766,
USDJPY,W,INNER,H4,H4,4,2,2,0.0735621903765954,50.0,1.1471243807531908,-1.0
ALL,ALL,ALL,ALL,ALL,45,23,22,0.06342798451092051,51.11111111111111,1.0806199696952792,-1.0
