pair,mode,wd_variant,wd_source_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCAD,W,OUTSIDE,H4,D1,4,1,3,-0.3775,25.0,1.49,-1.0
AUDCHF,W,OUTSIDE,H4,D1,6,0,6,-1.0,0.0,,-1.0
AUDJPY,W,OUTSIDE,H4,D1,7,3,4,-0.07111711440357049,42.857142857142854,1.1673933997250023,-1.0
AUDNZD,W,OUTSIDE,H4,D1,3,1,2,-0.3158872081696193,33.33333333333333,1.0523383754911422,-1.0
CADCHF,W,OUTSIDE,H4,D1,4,0,4,-1.0,0.0,,-1.0
CADJPY,W,OUTSIDE,H4,D1,5,3,2,0.34197173978852846,60.0,1.236619566314214,-1.0
CHFJPY,W,OUTSIDE,H4,D1,6,3,3,0.13352832309463356,50.0,1.267056646189267,-1.0
EURAUD,W,OUTSIDE,H4,D1,5,2,3,-0.09533248185619039,40.0,1.261668795359524,-1.0
EURCAD,W,OUTSIDE,H4,D1,4,2,2,0.06965343016105402,50.0,1.1393068603221082,-1.0
EURCHF,W,OUTSIDE,H4,D1,3,3,0,1.0465489423098806,100.0,1.0465489423098806,
EURGBP,W,OUTSIDE,H4,D1,8,4,4,0.11161492348989574,50.0,1.2232298469797915,-1.0
EURJPY,W,OUTSIDE,H4,D1,4,4,0,1.2529304886395938,100.0,1.2529304886395938,
EURNZD,W,OUTSIDE,H4,D1,8,3,5,-0.14906411148809895,37.5,1.2691623693650695,-1.0
EURUSD,W,OUTSIDE,H4,D1,5,2,3,-0.04705245004723313,40.0,1.3823688748819172,-1.0
GBPCAD,W,OUTSIDE,H4,D1,2,1,1,0.11027825853521656,50.0,1.2205565170704331,-1.0
GBPCHF,W,OUTSIDE,H4,D1,5,4,1,0.8254749035720443,80.0,1.2818436294650555,-1.0
GBPJPY,W,OUTSIDE,H4,D1,6,3,3,0.027605403141718554,50.0,1.055210806283437,-1.0
GBPNZD,W,OUTSIDE,H4,D1,3,1,2,-0.25765043600714793,33.33333333333333,1.2270486919785561,-1.0
GBPUSD,W,OUTSIDE,H4,D1,5,1,4,-0.502,20.0,1.49,-1.0
NZDCAD,W,OUTSIDE,H4,D1,4,2,2,0.245,50.0,1.49,-1.0
NZDCHF,W,OUTSIDE,H4,D1,4,2,2,0.13866535755499898,50.0,1.277330715109998,-1.0
NZDJPY,W,OUTSIDE,H4,D1,3,1,2,-0.2518676940204514,33.33333333333333,1.2443969179386458,-1.0
NZDUSD,W,OUTSIDE,H4,D1,4,1,3,-0.4731919040073156,25.0,1.1072323839707376,-1.0
USDCAD,W,OUTSIDE,H4,D1,6,2,4,-0.2540379250751022,33.33333333333333,1.2378862247746933,-1.0
USDCHF,W,OUTSIDE,H4,D1,3,0,3,-1.0,0.0,,-1.0
USDJPY,W,OUTSIDE,H4,D1,9,3,6,-0.2913147299722345,33.33333333333333,1.1260558100832965,-1.0
ALL,ALL,ALL,ALL,ALL,126,52,74,-0.07980274358337887,41.269841269841265,1.2297087367018125,-1.0
