pair,mode,wd_variant,wd_source_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCAD,W,OUTSIDE,H4,H4,2,1,1,0.006086372074165625,50.0,1.0121727441483312,-1.0
AUDCHF,W,OUTSIDE,H4,H4,2,1,1,0.14500431508451805,50.0,1.290008630169036,-1.0
AUDJPY,W,OUTSIDE,H4,H4,3,2,1,0.42697212902221193,66.66666666666666,1.140458193533318,-1.0
AUDNZD,W,OUTSIDE,H4,H4,2,1,1,0.245,50.0,1.49,-1.0
CADCHF,W,OUTSIDE,H4,H4,3,2,1,0.4500281519870506,66.66666666666666,1.175042227980576,-1.0
CADJPY,W,OUTSIDE,H4,H4,7,4,3,0.21484132204412618,57.14285714285714,1.1259723135772208,-1.0
CHFJPY,W,OUTSIDE,H4,H4,5,4,1,0.6280723778756723,80.0,1.0350904723445904,-1.0
EURAUD,W,OUTSIDE,H4,H4,3,2,1,0.66,66.66666666666666,1.49,-1.0
EURCAD,W,OUTSIDE,H4,H4,4,3,1,0.5310223511798455,75.0,1.0413631349064607,-1.0
EURGBP,W,OUTSIDE,H4,H4,2,2,0,1.1698210590609972,100.0,1.1698210590609972,
EURJPY,W,OUTSIDE,H4,H4,4,2,2,0.20645204487409174,50.0,1.4129040897481835,-1.0
EURNZD,W,OUTSIDE,H4,H4,6,5,1,0.7951265182370787,83.33333333333334,1.1541518218844944,-1.0
EURUSD,W,OUTSIDE,H4,H4,3,1,2,-0.21149380514695762,33.33333333333333,1.3655185845591271,-1.0
GBPCAD,W,OUTSIDE,H4,H4,1,0,1,-1.0,0.0,,-1.0
GBPCHF,W,OUTSIDE,H4,H4,2,1,1,0.1091970113212819,50.0,1.2183940226425638,-1.0
GBPJPY,W,OUTSIDE,H4,H4,3,1,2,-0.3269371345029246,33.33333333333333,1.0191885964912262,-1.0
GBPNZD,W,OUTSIDE,H4,H4,3,1,2,-0.3107279058199335,33.33333333333333,1.0678162825401996,-1.0
GBPUSD,W,OUTSIDE,H4,H4,6,1,5,-0.622322196596362,16.666666666666664,1.2660668204218275,-1.0
NZDCAD,W,OUTSIDE,H4,H4,3,2,1,0.6338683580272236,66.66666666666666,1.4508025370408353,-1.0
NZDCHF,W,OUTSIDE,H4,H4,3,1,2,-0.17,33.33333333333333,1.49,-1.0
NZDJPY,W,OUTSIDE,H4,H4,3,0,3,-1.0,0.0,,-1.0
NZDUSD,W,OUTSIDE,H4,H4,2,1,1,-0.016923455328766046,50.0,0.9661530893424679,-1.0
USDCAD,W,OUTSIDE,H4,H4,6,1,5,-0.5940434620469864,16.666666666666664,1.4357392277180812,-1.0
USDJPY,W,OUTSIDE,H4,H4,5,1,4,-0.5273491696447342,20.0,1.3632541517763288,-1.0
ALL,ALL,ALL,ALL,ALL,83,40,43,0.06266828942609767,48.19277108433735,1.2050367005591525,-1.0
