pair,mode,reason
CADJPY,W,no_valid_touch_within_window
CADJPY,W,rr_below_min_at_base_sl
CADJPY,W,pivot_already_traded
CADJPY,W,pivot_already_traded
CADJPY,W,pivot_already_traded
CADJPY,W,pivot_already_traded
CADJPY,W,pivot_already_traded
NZDUSD,W,body_through_zone
NZDUSD,W,no_valid_touch_within_window
NZDUSD,W,no_valid_touch_within_window
NZDUSD,W,no_valid_touch_within_window
EURAUD,W,pivot_already_traded
EURAUD,W,pivot_already_traded
EURAUD,W,body_through_zone
EURAUD,W,body_through_zone
EURAUD,W,pivot_already_traded
EURNZD,W,pivot_already_traded
EURNZD,W,pivot_already_traded
EURNZD,W,body_through_zone
EURNZD,W,body_through_zone
EURNZD,W,body_through_zone
EURNZD,W,no_valid_touch_within_window
AUDUSD,W,body_through_zone
AUDUSD,W,pivot_already_traded
AUDUSD,W,rr_below_min_after_min_sl
NZDCAD,W,body_through_zone
NZDCAD,W,body_through_zone
NZDCAD,W,pivot_already_traded
NZDCAD,W,pivot_already_traded
NZDCAD,W,body_through_zone
USDCAD,W,body_through_zone
USDCAD,W,body_through_zone
USDCAD,W,body_through_zone
USDJPY,W,pivot_already_traded
USDJPY,W,no_valid_touch_within_window
USDJPY,W,rr_below_min_at_base_sl
USDJPY,W,rr_below_min_at_base_sl
USDJPY,W,pivot_already_traded
EURUSD,W,no_valid_touch_within_window
EURUSD,W,no_valid_touch_within_window
EURUSD,W,no_valid_touch_within_window
EURUSD,W,rr_below_min_at_base_sl
EURGBP,W,no_valid_touch_within_window
GBPCAD,W,no_valid_touch_within_window
GBPCAD,W,no_valid_touch_within_window
GBPCAD,W,body_through_zone
GBPCAD,W,pivot_already_traded
GBPCAD,W,pivot_already_traded
GBPCAD,W,pivot_already_traded
GBPCAD,W,pivot_already_traded
USDCHF,W,pivot_already_traded
CADCHF,W,body_through_zone
CADCHF,W,no_valid_touch_within_window
CADCHF,W,no_valid_touch_within_window
CADCHF,W,rr_below_min_at_base_sl
EURCHF,W,body_through_zone
EURCHF,W,no_valid_touch_within_window
EURCHF,W,no_valid_touch_within_window
EURCHF,W,rr_below_min_at_base_sl
EURCHF,W,body_through_zone
EURCHF,W,rr_below_min_at_base_sl
EURCHF,W,pivot_already_traded
EURCHF,W,pivot_already_traded
EURCHF,W,pivot_already_traded
EURCHF,W,pivot_already_traded
AUDCHF,W,pivot_already_traded
AUDCHF,W,body_through_zone
GBPCHF,W,rr_below_min_at_base_sl
GBPCHF,W,rr_below_min_at_base_sl
GBPCHF,W,body_through_zone
GBPCHF,W,rr_below_min_at_base_sl
GBPCHF,W,rr_below_min_at_base_sl
EURJPY,W,no_valid_touch_within_window
EURJPY,W,no_valid_touch_within_window
EURJPY,W,no_valid_touch_within_window
EURJPY,W,rr_below_min_after_min_sl
EURJPY,W,no_valid_touch_within_window
EURJPY,W,pivot_already_traded
EURJPY,W,pivot_already_traded
NZDJPY,W,body_through_zone
NZDJPY,W,no_valid_touch_within_window
AUDNZD,W,body_through_zone
AUDNZD,W,body_through_zone
AUDNZD,W,pivot_already_traded
AUDNZD,W,no_valid_touch_within_window
AUDNZD,W,no_valid_touch_within_window
AUDNZD,W,rr_below_min_at_base_sl
AUDNZD,W,body_through_zone
AUDNZD,W,rr_below_min_after_min_sl
AUDNZD,W,body_through_zone
AUDNZD,W,rr_below_min_after_min_sl
AUDNZD,W,body_through_zone
NZDCHF,W,body_through_zone
GBPUSD,W,no_valid_touch_within_window
GBPUSD,W,no_valid_touch_within_window
AUDCAD,W,entry_past_tp
AUDCAD,W,entry_past_tp
AUDCAD,W,entry_past_tp
AUDCAD,W,entry_past_tp
AUDCAD,W,no_valid_touch_within_window
AUDCAD,W,no_valid_touch_within_window
AUDCAD,W,no_valid_touch_within_window
GBPNZD,W,rr_below_min_at_base_sl
CHFJPY,W,pivot_already_traded
CHFJPY,W,no_valid_touch_within_window
CHFJPY,W,pivot_already_traded
CHFJPY,W,pivot_already_traded
CHFJPY,W,rr_below_min_at_base_sl
CHFJPY,W,no_valid_touch_within_window
CHFJPY,W,no_valid_touch_within_window
CHFJPY,W,body_through_zone
CHFJPY,W,rr_below_min_at_base_sl
GBPAUD,W,body_through_zone
GBPAUD,W,no_valid_touch_within_window
GBPAUD,W,no_valid_touch_within_window
GBPAUD,W,no_valid_touch_within_window
AUDJPY,W,rr_below_min_after_min_sl
AUDJPY,W,body_through_zone
AUDJPY,W,pivot_already_traded
EURCAD,W,pivot_already_traded
EURCAD,W,pivot_already_traded
EURCAD,W,pivot_already_traded
EURCAD,W,pivot_already_traded
EURCAD,W,pivot_already_traded
EURCAD,W,pivot_already_traded
