mode,ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,pivot_touch_time,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed
2W,D1,GBPNZD,short,2024-05-20,2024-06-03,2.0741,2.08974,0.015639999999999876,2024-06-17,2024-06-07,2024-06-10,2.08472,2.0861,2024-06-28,2.0758,2.05846,2.091304,2024-07-03,2.091304,loss,-1.0
2W,D1,EURCHF,long,2023-11-20,2023-12-04,0.94036,0.94574,0.005380000000000051,2023-12-18,2023-12-12,2023-12-13,0.94347,0.94358,2023-12-20,0.94406,0.9511200000000001,0.93906,2023-12-27,0.93906,loss,-1.0
2W,D1,AUDJPY,long,2024-01-29,2024-02-12,95.502,97.39,1.8880000000000052,2024-02-26,2024-02-13,2024-02-14,97.068,97.16,2024-03-11,97.182,99.278,95.3132,2024-03-20,99.278,win,1.1215753424657509
2W,D1,CADJPY,long,2023-10-09,2023-10-23,107.49,109.278,1.788000000000011,2023-11-06,2023-10-30,2023-10-31,107.49,107.78,2023-11-21,108.294,111.06600000000002,106.43359731543623,2023-12-07,106.43359731543623,loss,-1.0
2W,D1,USDCAD,short,2024-02-12,2024-02-26,1.35093,1.36061,0.009680000000000133,2024-03-11,2024-03-05,2024-03-06,1.36002,1.36053,2024-03-19,1.35666,1.3412499999999998,1.3670022818791947,2024-04-10,1.3670022818791947,loss,-1.0
2W,D1,AUDCHF,long,2023-11-06,2023-11-20,0.57251,0.57702,0.004510000000000014,2023-12-04,2023-11-10,2023-11-13,0.57251,0.57316,2023-12-05,0.57327,0.58153,0.567726375838926,2023-12-13,0.58153,win,1.49
2W,D1,CHFJPY,long,2024-01-29,2024-02-12,169.282,170.656,1.3739999999999952,2024-02-26,2024-02-07,2024-02-08,169.282,169.288,2024-03-06,169.392,172.03,167.62153020134227,2024-03-08,167.62153020134227,loss,-1.0
2W,D1,CHFJPY,long,2024-01-29,2024-02-12,169.282,170.656,1.3739999999999952,2024-02-26,2024-02-13,2024-02-14,169.424,169.462,2024-03-01,169.977,172.03,168.59914765100672,2024-03-07,168.59914765100672,loss,-1.0
2W,D1,CHFJPY,short,2024-03-11,2024-03-25,168.754,170.804,2.0500000000000114,2024-04-08,2024-03-20,2024-03-21,170.718,170.804,2024-04-19,169.848,166.70399999999998,171.958067114094,2024-04-26,171.958067114094,loss,-1.0
2W,D1,CHFJPY,short,2024-08-12,2024-08-26,170.181,172.822,2.640999999999991,2024-09-23,2024-09-02,2024-09-03,172.664,172.822,2024-10-03,172.31,167.54000000000002,175.5113422818792,2024-10-23,175.5113422818792,loss,-1.0
2W,D1,NZDJPY,short,2024-03-25,2024-04-08,91.18,92.391,1.2109999999999985,2024-04-22,2024-04-11,2024-04-12,91.97,92.018,2024-04-23,91.784,89.96900000000001,93.00212080536913,2024-04-26,93.00212080536913,loss,-1.0
2W,D1,EURNZD,short,2023-12-04,2023-12-18,1.7549,1.774,0.019100000000000117,2024-01-01,2023-12-14,2023-12-15,1.77338,1.774,2024-01-16,1.77192,1.7357999999999998,1.796161610738255,2024-03-19,1.796161610738255,loss,-1.0
2W,D1,EURNZD,short,2023-12-04,2023-12-18,1.7549,1.774,0.019100000000000117,2024-01-01,2023-12-18,2023-12-19,1.75916,1.76097,2024-01-04,1.75566,1.7357999999999998,1.77591,2024-01-17,1.77591,loss,-1.0
2W,D1,EURNZD,long,2024-03-25,2024-04-08,1.7845,1.80228,0.01778000000000013,2024-04-22,2024-04-11,2024-04-12,1.7845,1.78661,2024-05-03,1.7907,1.8200600000000002,1.7709953020134226,2024-05-22,1.7709953020134226,loss,-1.0
2W,D1,GBPJPY,short,2023-11-20,2023-12-04,186.599,188.666,2.0670000000000073,2024-01-15,2023-11-24,2023-11-27,188.53,188.666,2024-01-19,188.238,184.53199999999998,190.72524832214765,2024-02-22,190.72524832214765,loss,-1.0
2W,D1,EURJPY,short,2024-04-08,2024-04-22,164.798,171.605,6.806999999999988,2024-05-06,2024-04-30,2024-05-01,168.604,168.669,2024-05-13,168.558,157.991,175.64994630872482,2024-08-05,157.991,win,1.49
2W,D1,EURJPY,long,2024-07-29,2024-08-12,154.414,159.889,5.475000000000023,2024-08-26,2024-08-06,2024-08-07,157.296,157.671,2024-09-06,157.754,165.36400000000003,152.6466174496644,2024-10-28,165.36400000000003,win,1.49
2W,D1,GBPAUD,long,2024-03-25,2024-04-08,1.91144,1.92085,0.009409999999999918,2024-04-22,2024-04-09,2024-04-10,1.91144,1.91166,2024-04-23,1.91924,1.9302599999999999,1.910499,2024-04-24,1.910499,loss,-1.0
2W,D1,GBPAUD,short,2024-06-03,2024-06-17,1.91782,1.9353,0.01747999999999994,2024-07-15,2024-06-07,2024-06-10,1.93358,1.9353,2024-07-17,1.93314,1.9003400000000001,1.955153422818792,2024-07-24,1.955153422818792,loss,-1.0
2W,D1,EURUSD,long,2024-03-11,2024-03-25,1.07245,1.08077,0.008320000000000105,2024-04-08,2024-04-01,2024-04-02,1.07245,1.07309,2024-04-10,1.07427,1.0890900000000001,1.064323691275168,2024-04-12,1.064323691275168,loss,-1.0
