mode,ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed
2W,D1,AUDCAD,long,2015-07-20,2015-08-03,0.941125,0.95601,0.014885000000000037,2015-07-29,2015-07-30,0.941125,0.94238,2015-08-24,0.9507,0.9708950000000001,0.9371463087248322,2015-08-31,0.9371463087248322,loss,-1.0
2W,D1,AUDCAD,long,2016-11-07,2016-11-21,0.9852,0.99075,0.005550000000000055,2016-12-01,2016-12-02,0.9852,0.98524,2016-12-07,0.990205,0.9963000000000001,0.984645,2016-12-08,0.984645,loss,-1.0
2W,D1,AUDCAD,short,2016-11-21,2016-12-05,0.99096,1.00948,0.01851999999999998,2016-11-25,2016-11-28,1.0071,1.00948,2017-01-19,1.007035,0.97244,1.030253120805369,2017-03-20,1.030253120805369,loss,-1.0
2W,D1,AUDCAD,short,2017-03-13,2017-03-27,1.019855,1.03339,0.013535000000000075,2017-03-29,2017-03-30,1.0239,1.02549,2017-04-25,1.0225,1.0063199999999999,1.0347435,2017-05-09,1.0063199999999999,win,1.3215175399191397
2W,D1,AUDCHF,long,2015-06-22,2015-07-06,0.69508,0.70697,0.011889999999999956,2015-07-10,2015-07-13,0.69508,0.69683,2015-07-27,0.69994,0.7188599999999999,0.6872420134228189,2015-08-04,0.7188599999999999,win,1.49
2W,D1,AUDCHF,long,2016-05-09,2016-05-23,0.70668,0.715175,0.00849500000000003,2016-05-13,2016-05-16,0.70668,0.707115,2016-06-15,0.71213,0.72367,0.7043850335570471,2016-06-16,0.7043850335570471,loss,-1.0
2W,D1,AUDCHF,long,2017-01-16,2017-01-30,0.74796,0.754215,0.0062550000000000106,2017-01-31,2017-02-01,0.74796,0.7486,2017-03-27,0.750675,0.76047,0.7441011744966443,2017-03-29,0.76047,win,1.49
2W,D1,AUDCHF,long,2017-03-13,2017-03-27,0.74755,0.755875,0.008324999999999916,2017-03-27,2017-03-28,0.74755,0.74824,2017-04-19,0.74828,0.7641999999999999,0.7375954362416107,2017-05-03,0.7375954362416107,loss,-1.0
2W,D1,AUDCHF,long,2019-11-11,2019-11-25,0.66884,0.67678,0.007940000000000058,2019-11-14,2019-11-15,0.66884,0.67032,2019-12-10,0.67038,0.6847200000000001,0.6607558389261744,2020-01-27,0.6607558389261744,loss,-1.0
2W,D1,AUDJPY,long,2015-01-19,2015-02-02,89.376,91.294,1.9179999999999922,2015-02-04,2015-02-05,90.7295,90.751,2015-04-02,90.8915,93.21199999999999,89.1842,2015-04-24,93.21199999999999,win,1.3591635916359222
