mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,wickdiff_file,dyn_min_sl_pips
2W,ALL,H12,H4,AUDCAD,long,2024-07-29,2024-08-12,0.88536,0.90158,0.016220000000000012,2024-08-07 09:00:00,2024-08-07 21:00:00,0.89505,0.89568,2024-12-20 10:00:00,0.89749,0.9178000000000001,0.8788116666666667,2025-04-04 01:00:00,0.8788116666666667,loss,-1.0,wickdiffs_2W_H12_ALL_20260101_142945.csv,186.78333333333347
2W,ALL,H12,H4,AUDCAD,short,2024-09-09,2024-09-23,0.92237,0.93772,0.015349999999999975,2024-10-03 21:00:00,2024-10-04 09:00:00,0.92778,0.92856,2024-10-11 01:00:00,0.92736,0.90702,0.9448059090909091,2024-11-13 14:00:00,0.90702,win,1.165889372345686,wickdiffs_2W_H12_ALL_20260101_142945.csv,174.45909090909103
2W,ALL,H12,H4,AUDNZD,long,2023-11-20,2023-12-04,1.06604,1.07492,0.008879999999999999,2023-12-12 10:00:00,2023-12-12 22:00:00,1.06886,1.06929,2024-01-17 22:00:00,1.06972,1.0838,1.0553434848484848,2024-03-20 21:00:00,1.0838,win,0.9793750329346109,wickdiffs_2W_H12_ALL_20260101_142945.csv,143.7651515151516
2W,ALL,H12,H4,AUDNZD,short,2024-11-04,2024-11-18,1.10153,1.11806,0.016530000000000156,2024-11-28 10:00:00,2024-11-28 22:00:00,1.10451,1.1046,2024-12-11 22:00:00,1.10418,1.0849999999999997,1.119713,2025-04-04 09:00:00,1.0849999999999997,win,1.2347904461469241,wickdiffs_2W_H12_ALL_20260101_142945.csv,139.1030303030306
2W,ALL,H12,H4,AUDUSD,long,2022-05-09,2022-05-23,0.6829,0.7046,0.021700000000000053,2022-05-12 09:00:00,2022-05-12 21:00:00,0.6829,0.68544,2022-06-14 17:00:00,0.68714,0.7263000000000001,0.660858120805369,2022-09-21 21:00:00,0.660858120805369,loss,-1.0,wickdiffs_2W_H12_ALL_20260101_142945.csv,256.2424242424242
2W,ALL,H12,H4,CADJPY,long,2024-06-03,2024-06-17,112.962,114.616,1.6539999999999964,2024-06-06 21:00:00,2024-06-07 09:00:00,113.445,113.522,2024-07-23 01:00:00,113.56,116.27,110.76372727272728,2024-07-24 21:00:00,110.76372727272728,loss,-1.0,wickdiffs_2W_H12_ALL_20260101_142945.csv,279.6272727272726
2W,ALL,H12,H4,CHFJPY,long,2025-01-20,2025-02-03,165.882,168.963,3.080999999999989,2025-02-07 10:00:00,2025-02-09 22:00:00,165.882,166.069,2025-02-20 14:00:00,166.404,172.04399999999998,161.91598484848484,2025-04-07 05:00:00,172.04399999999998,win,1.2566802494184808,wickdiffs_2W_H12_ALL_20260101_142945.csv,448.80151515151556
2W,ALL,H12,H4,CHFJPY,short,2024-03-11,2024-03-25,168.754,170.804,2.0500000000000114,2024-03-20 09:00:00,2024-03-20 21:00:00,170.718,170.804,2024-04-19 01:00:00,169.904,166.70399999999998,173.01848484848486,2024-04-26 17:00:00,173.01848484848486,loss,-1.0,wickdiffs_2W_H12_ALL_20260101_142945.csv,311.4484848484852
2W,ALL,H12,H4,CHFJPY,short,2024-04-08,2024-04-22,169.848,175.068,5.219999999999999,2024-04-29 21:00:00,2024-04-30 09:00:00,172.222,172.298,2024-05-13 13:00:00,172.176,164.62800000000001,177.24177181208051,2024-06-17 17:00:00,177.24177181208051,loss,-1.0,wickdiffs_2W_H12_ALL_20260101_142945.csv,352.2121212121218
2W,ALL,H12,H4,EURAUD,short,2022-05-09,2022-05-23,1.49806,1.52797,0.029910000000000103,2022-05-26 09:00:00,2022-05-26 21:00:00,1.51402,1.51654,2022-06-14 09:00:00,1.51384,1.4681499999999998,1.5605298484848487,2022-07-22 05:00:00,1.4681499999999998,win,0.9785853131399055,wickdiffs_2W_H12_ALL_20260101_142945.csv,466.89848484848517
2W,ALL,H12,H4,EURCAD,long,2024-08-26,2024-09-09,1.48891,1.50376,0.01485000000000003,2024-08-30 09:00:00,2024-09-01 21:00:00,1.48891,1.48968,2024-10-02 13:00:00,1.49025,1.51861,1.4695539393939394,2024-11-21 06:00:00,1.4695539393939394,loss,-1.0,wickdiffs_2W_H12_ALL_20260101_142945.csv,206.96060606060584
2W,ALL,H12,H4,EURGBP,long,2022-10-10,2022-10-24,0.8572,0.87311,0.01591000000000009,2022-10-28 09:00:00,2022-10-30 21:00:00,0.8572,0.85726,2022-11-24 14:00:00,0.85858,0.8890200000000001,0.8317928787878788,2023-01-12 14:00:00,0.8890200000000001,win,1.1363669787041535,wickdiffs_2W_H12_ALL_20260101_142945.csv,267.8712121212122
2W,ALL,H12,H4,EURGBP,short,2022-09-12,2022-09-26,0.89336,0.92785,0.03448999999999991,2022-09-28 21:00:00,2022-09-29 09:00:00,0.89742,0.89796,2023-02-03 14:00:00,0.89648,0.8588700000000001,0.931299,2023-05-31 13:00:00,0.8588700000000001,win,1.0801573853355924,wickdiffs_2W_H12_ALL_20260101_142945.csv,193.01363636363646
