mode,ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed
2W,D1,AUDCAD,long,2024-12-16,2024-12-30,0.88922,0.89627,0.007050000000000001,2025-01-06,2025-01-07,0.89417,0.89446,2025-01-06,0.89512,0.90332,0.888515,2025-01-10,0.888515,loss,-1.0
2W,D1,AUDCAD,short,2017-03-13,2017-03-27,1.019855,1.03339,0.013535000000000075,2017-03-29,2017-03-30,1.0239,1.02549,2017-04-25,1.0225,1.0063199999999999,1.0347435,2017-05-09,1.0063199999999999,win,1.3215175399191397
2W,D1,AUDCAD,short,2021-01-04,2021-01-18,0.9807,0.99012,0.009419999999999984,2021-01-28,2021-01-29,0.98554,0.98584,2021-02-12,0.9852,0.97128,0.9945422818791946,2021-02-22,0.9945422818791946,loss,-1.0
2W,D1,AUDCHF,short,2021-08-30,2021-09-13,0.67519,0.68254,0.007350000000000079,2021-09-13,2021-09-14,0.67996,0.68012,2021-10-08,0.6777,0.6678399999999999,0.6843174496644295,2021-10-12,0.6843174496644295,loss,-1.0
2W,D1,AUDJPY,long,2018-10-08,2018-10-22,78.564,80.123,1.5590000000000117,2018-10-31,2018-11-01,79.842,79.856,2018-12-19,79.962,81.68200000000002,78.40809999999999,2018-12-21,78.40809999999999,loss,-1.0
2W,D1,AUDJPY,long,2019-02-04,2019-02-18,77.442,78.868,1.426000000000002,2019-02-21,2019-02-22,78.336,78.414,2019-03-06,78.598,80.294,77.29939999999999,2019-04-12,80.294,win,1.306021869705828
2W,D1,AUDJPY,long,2021-08-16,2021-08-30,77.896,80.34,2.4440000000000026,2021-08-30,2021-08-31,79.98,80.074,2021-09-15,80.207,82.784,77.6516,2021-10-11,82.784,win,1.0084526884245208
2W,D1,AUDJPY,long,2024-01-29,2024-02-12,95.502,97.39,1.8880000000000052,2024-02-13,2024-02-14,97.068,97.16,2024-03-11,97.182,99.278,95.3132,2024-03-20,99.278,win,1.1215753424657509
2W,D1,AUDJPY,short,2016-07-04,2016-07-18,79.433,81.512,2.0789999999999935,2016-07-20,2016-07-21,80.074,80.46,2016-10-26,79.932,77.35400000000001,81.7199,2016-11-08,81.7199,loss,-1.0
2W,D1,AUDJPY,short,2024-10-21,2024-11-04,100.707,102.406,1.6990000000000123,2024-11-14,2024-11-15,101.177,101.202,2024-11-20,101.121,99.00799999999998,102.5759,2024-11-26,99.00799999999998,win,1.4523334937109083
2W,D1,AUDNZD,long,2018-02-12,2018-02-26,1.06549,1.07483,0.009339999999999904,2018-03-08,2018-03-09,1.0705,1.07146,2018-03-14,1.074375,1.0841699999999999,1.064556,2018-03-19,1.064556,loss,-1.0
2W,D1,AUDNZD,short,2020-02-03,2020-02-17,1.04347,1.05055,0.007080000000000197,2020-02-18,2020-02-19,1.0477,1.04792,2020-03-02,1.0447,1.0363899999999997,1.051258,2020-03-04,1.051258,loss,-1.0
2W,D1,AUDNZD,short,2024-10-07,2024-10-21,1.10408,1.1091,0.0050200000000000244,2024-10-25,2024-10-28,1.10576,1.10606,2024-11-05,1.10522,1.09906,1.11022,2024-11-21,1.11022,loss,-1.0
