mode,ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed
2W,D1,AUDJPY,long,2024-01-29,2024-02-12,95.502,97.39,1.8880000000000052,2024-02-13,2024-02-14,97.068,97.16,2024-03-11,97.182,99.278,95.3132,2024-03-20,99.278,win,1.1215753424657509
2W,D1,CHFJPY,long,2024-01-29,2024-02-12,169.282,170.656,1.3739999999999952,2024-02-07,2024-02-08,169.282,169.288,2024-03-06,169.392,172.03,167.62153020134227,2024-03-08,167.62153020134227,loss,-1.0
2W,D1,CHFJPY,short,2024-03-11,2024-03-25,168.754,170.804,2.0500000000000114,2024-03-20,2024-03-21,170.718,170.804,2024-04-19,169.848,166.70399999999998,171.958067114094,2024-04-26,171.958067114094,loss,-1.0
2W,D1,EURAUD,short,2024-01-29,2024-02-12,1.65328,1.66119,0.007909999999999862,2024-02-13,2024-02-14,1.66069,1.66119,2024-02-26,1.65921,1.6453700000000002,1.6684985906040268,2024-02-28,1.6684985906040268,loss,-1.0
2W,D1,EURJPY,short,2024-04-08,2024-04-22,164.798,171.605,6.806999999999988,2024-04-30,2024-05-01,168.604,168.669,2024-05-13,168.558,157.991,175.64994630872482,2024-08-05,157.991,win,1.49
2W,D1,EURNZD,long,2024-03-25,2024-04-08,1.7845,1.80228,0.01778000000000013,2024-04-11,2024-04-12,1.7845,1.78661,2024-05-03,1.7907,1.8200600000000002,1.7709953020134226,2024-05-22,1.7709953020134226,loss,-1.0
2W,D1,EURUSD,long,2024-03-11,2024-03-25,1.07245,1.08077,0.008320000000000105,2024-04-01,2024-04-02,1.07245,1.07309,2024-04-10,1.07427,1.0890900000000001,1.064323691275168,2024-04-12,1.064323691275168,loss,-1.0
2W,D1,NZDCHF,short,2024-03-25,2024-04-08,0.54242,0.54959,0.00717000000000001,2024-04-11,2024-04-12,0.54673,0.54756,2024-05-09,0.54668,0.53525,0.5543511409395974,2024-05-16,0.5543511409395974,loss,-1.0
2W,D1,NZDJPY,short,2024-01-01,2024-01-15,90.433,90.988,0.5549999999999926,2024-01-23,2024-01-24,90.57,90.608,2024-01-30,90.567,89.87800000000001,91.067,2024-01-31,89.87800000000001,win,1.3779999999999575
2W,D1,NZDJPY,short,2024-03-25,2024-04-08,91.18,92.391,1.2109999999999985,2024-04-11,2024-04-12,91.97,92.018,2024-04-23,91.784,89.96900000000001,93.00212080536913,2024-04-26,93.00212080536913,loss,-1.0
2W,D1,USDCAD,short,2024-02-12,2024-02-26,1.35093,1.36061,0.009680000000000133,2024-03-05,2024-03-06,1.36002,1.36053,2024-03-19,1.35666,1.3412499999999998,1.3670022818791947,2024-04-10,1.3670022818791947,loss,-1.0
