pair,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCHF,1,1,0,1.49,100.0,1.49,
AUDJPY,1,1,0,1.1215753424657509,100.0,1.1215753424657509,
CADJPY,1,0,1,-1.0,0.0,,-1.0
CHFJPY,4,0,4,-1.0,0.0,,-1.0
EURCHF,1,0,1,-1.0,0.0,,-1.0
EURJPY,2,2,0,1.49,100.0,1.49,
EURNZD,3,0,3,-1.0,0.0,,-1.0
EURUSD,1,0,1,-1.0,0.0,,-1.0
GBPAUD,2,0,2,-1.0,0.0,,-1.0
GBPJPY,1,0,1,-1.0,0.0,,-1.0
GBPNZD,1,0,1,-1.0,0.0,,-1.0
NZDJPY,1,0,1,-1.0,0.0,,-1.0
USDCAD,1,0,1,-1.0,0.0,,-1.0
ALL,20,4,16,-0.5204212328767125,20.0,1.3978938356164379,-1.0
