pair,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCAD,3,1,2,-0.22616082002695345,33.33333333333333,1.3215175399191397,-1.0
AUDCHF,1,0,1,-1.0,0.0,,-1.0
AUDJPY,6,4,2,0.4813972323845013,66.66666666666666,1.222095848576752,-1.0
AUDNZD,4,1,3,-0.4484046272166748,25.0,1.2063814911333008,-1.0
AUDUSD,3,1,2,-0.2984786283506384,33.33333333333333,1.104564114948085,-1.0
CADCHF,7,4,3,0.3166004648341409,57.14285714285714,1.3040508134597466,-1.0
CADJPY,3,1,2,-0.17,33.33333333333333,1.49,-1.0
CHFJPY,4,2,2,0.16111525734419868,50.0,1.3222305146883975,-1.0
EURAUD,3,2,1,0.5493287423948653,66.66666666666666,1.323993113592298,-1.0
EURCAD,6,3,3,0.21478992826819135,50.0,1.4295798565363826,-1.0
EURCHF,4,1,3,-0.5100000000000042,25.0,0.9599999999999831,-1.0
EURGBP,4,3,1,0.6867298434645619,75.0,1.2489731246194158,-1.0
EURJPY,4,2,2,0.14167866639907895,50.0,1.283357332798158,-1.0
EURNZD,5,3,2,0.3315462482387789,60.0,1.2192437470646313,-1.0
EURUSD,6,4,2,0.4905575254076271,66.66666666666666,1.2358362881114406,-1.0
GBPAUD,4,3,1,0.6309894122192966,75.0,1.1746525496257287,-1.0
GBPCAD,3,0,3,-1.0,0.0,,-1.0
GBPCHF,6,3,3,0.17029413847670768,50.0,1.3405882769534154,-1.0
GBPNZD,5,4,1,0.8205582107903349,80.0,1.2756977634879185,-1.0
GBPUSD,3,0,3,-1.0,0.0,,-1.0
NZDCAD,4,0,4,-1.0,0.0,,-1.0
NZDCHF,9,4,5,-0.1189091770152285,44.44444444444444,0.9824543517157359,-1.0
NZDJPY,5,3,2,0.33096408457436927,60.0,1.2182734742906154,-1.0
NZDUSD,5,2,3,-0.051746364558678294,40.0,1.3706340886033042,-1.0
USDCAD,4,1,3,-0.3775,25.0,1.49,-1.0
USDCHF,4,3,1,0.5616904018598847,75.0,1.082253869146513,-1.0
USDJPY,4,1,3,-0.3775,25.0,1.49,-1.0
ALL,119,56,63,0.05784981681917066,47.05882352941176,1.2479308607407376,-1.0
