pair,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCAD,10,4,6,-0.020848246008086012,40.0,1.447879384979785,-1.0
AUDCHF,9,5,4,0.38333333333333325,55.55555555555556,1.49,-1.0
AUDJPY,11,6,5,0.2655931923851911,54.54545454545454,1.3202541860395172,-1.0
AUDNZD,11,4,7,-0.1437354472078195,36.36363636363637,1.3547275201784963,-1.0
AUDUSD,6,1,5,-0.585,16.666666666666664,1.49,-1.0
CADCHF,12,5,7,-0.05664972884674981,41.66666666666667,1.2640406507678006,-1.0
CADJPY,13,5,8,-0.07362714298537008,38.46153846153847,1.4085694282380379,-1.0
CHFJPY,14,6,8,0.02663180573167114,42.857142857142854,1.3954742133738993,-1.0
EURAUD,5,2,3,-0.07040275456308076,40.0,1.323993113592298,-1.0
EURCAD,13,7,6,0.30117585633649147,53.84615384615385,1.4164694474820556,-1.0
EURCHF,7,3,4,-0.008571428571431021,42.857142857142854,1.3133333333333275,-1.0
EURGBP,8,4,4,0.13168940468365128,50.0,1.2633788093673026,-1.0
EURJPY,10,5,5,0.2036714665596316,50.0,1.407342933119263,-1.0
EURNZD,11,6,5,0.28433920374489946,54.54545454545454,1.354621873532316,-1.0
EURUSD,10,5,5,0.11928268386931809,50.0,1.2385653677386361,-1.0
NZDCAD,8,0,8,-1.0,0.0,,-1.0
NZDCHF,18,7,11,-0.1440002673656845,38.88888888888889,1.201142169631097,-1.0
NZDJPY,11,5,6,0.08918042314658098,45.45454545454545,1.3961969309224782,-1.0
NZDUSD,10,5,5,0.1759182173148471,50.0,1.351836434629694,-1.0
USDCAD,10,2,8,-0.502,20.0,1.49,-1.0
USDCHF,8,6,2,0.6755004720885214,75.0,1.234000629451362,-1.0
USDJPY,10,3,7,-0.253,30.0,1.49,-1.0
ALL,225,96,129,0.0032181090957382036,42.66666666666667,1.3512924431931364,-1.0
