mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,wickdiff_file,dyn_min_sl_pips,VOL
3D,ALL,3D,H4,AUDCAD,long,2023-06-01,2023-07-03,0.87442,0.88236,0.007940000000000058,2023-06-27,2023-06-30,0.87442,0.87538,2023-08-02 01:00:00,0.87557,0.8903000000000001,0.8656840939597314,2023-08-17 01:00:00,0.8656840939597314,loss,-1.0,wickdiffs_M_20260120_183646.csv,68.39999999999986,1.0
3D,ALL,3D,H4,AUDCHF,long,2018-06-01,2018-07-02,0.7276,0.73368,0.006079999999999974,2018-07-30,2018-08-02,0.73134,0.7316,2018-08-02 09:00:00,0.73296,0.73976,0.7269433333333333,2018-08-07 05:00:00,0.73976,win,1.1301939058171782,wickdiffs_M_20260120_183646.csv,60.16666666666673,1.0
3D,ALL,3D,H4,AUDCHF,long,2019-11-01,2019-12-02,0.66884,0.67626,0.007419999999999982,2019-12-16,2019-12-19,0.67062,0.67134,2020-01-06 14:00:00,0.67149,0.68368,0.6633087919463088,2020-01-07 22:00:00,0.6633087919463088,loss,-1.0,wickdiffs_M_20260120_183646.csv,45.33787878787886,1.0
3D,ALL,3D,H4,AUDCHF,long,2024-07-01,2024-08-01,0.53656,0.57423,0.03766999999999998,2024-08-22,2024-08-27,0.56966,0.57051,2024-09-03 13:00:00,0.5714,0.6119,0.5327930000000001,2025-04-04 01:00:00,0.5327930000000001,loss,-1.0,wickdiffs_M_20260120_183646.csv,51.98787878787875,1.0
3D,ALL,3D,H4,AUDCHF,short,2020-06-01,2020-07-01,0.65395,0.67434,0.02039000000000002,2020-07-24,2020-07-29,0.65908,0.66032,2020-08-06 21:00:00,0.65864,0.63356,0.6763790000000001,2020-12-24 10:00:00,0.6763790000000001,loss,-1.0,wickdiffs_M_20260120_183646.csv,67.83181818181814,1.0
3D,ALL,3D,H4,AUDCHF,short,2022-03-01,2022-04-01,0.6906,0.70946,0.018859999999999988,2022-04-18,2022-04-21,0.70693,0.70784,2022-05-04 21:00:00,0.7047,0.67174,0.7268208053691275,2022-06-17 09:00:00,0.67174,win,1.49,wickdiffs_M_20260120_183646.csv,67.06363636363633,1.0
3D,ALL,3D,H4,AUDJPY,short,2016-08-01,2016-09-01,77.7505,79.132,1.3815000000000026,2016-09-01,2016-09-06,78.9,79.132,2016-10-05 13:00:00,78.8975,76.369,80.5944798657718,2016-11-01 05:00:00,80.5944798657718,loss,-1.0,wickdiffs_M_20260120_183646.csv,95.78484848484842,1.0
3D,ALL,3D,H4,AUDNZD,long,2015-07-01,2015-08-03,1.089805,1.10786,0.018055000000000154,2015-08-20,2015-08-25,1.092375,1.094635,2015-09-04 09:00:00,1.096075,1.1259150000000002,1.0760481543624159,2015-09-10 13:00:00,1.1259150000000002,win,1.49,wickdiffs_M_20260120_183646.csv,113.4060606060605,1.0
3D,ALL,3D,H4,AUDNZD,short,2019-01-01,2019-02-01,1.05144,1.06704,0.015600000000000058,2019-02-07,2019-02-12,1.05362,1.05461,2019-04-04 17:00:00,1.05324,1.0358399999999999,1.0686,2019-04-16 21:00:00,1.0686,loss,-1.0,wickdiffs_M_20260120_183646.csv,61.04393939393937,1.0
3D,ALL,3D,H4,AUDNZD,short,2024-07-01,2024-08-01,1.09938,1.1156,0.0162199999999999,2024-08-14,2024-08-19,1.10336,1.10576,2024-10-04 05:00:00,1.10298,1.0831600000000001,1.117222,2024-11-22 02:00:00,1.117222,loss,-1.0,wickdiffs_M_20260120_183646.csv,54.92575757575749,1.0
