mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,wickdiff_file,dyn_min_sl_pips,VOL
3D,ALL,D1,H4,AUDCAD,long,2018-01-22,2018-01-25,0.99143,0.99568,0.004249999999999976,2018-01-25,2018-01-26,0.99143,0.99164,2018-01-31 18:00:00,0.99203,0.99993,0.9861204545454545,2018-02-01 06:00:00,0.9861204545454545,loss,-1.0,wickdiffs_3D_D1_ALL_20260123_102131.csv,59.09545454545457,1.0
3D,ALL,D1,H4,AUDCAD,long,2018-06-18,2018-06-21,0.9739,0.98065,0.006750000000000034,2018-06-20,2018-06-21,0.97876,0.97952,2018-06-27 13:00:00,0.97982,0.9874,0.973225,2018-06-28 21:00:00,0.973225,loss,-1.0,wickdiffs_3D_D1_ALL_20260123_102131.csv,57.43939393939394,1.0
3D,ALL,D1,H4,AUDCAD,long,2019-08-07,2019-08-12,0.88898,0.8973,0.008319999999999994,2019-08-12,2019-08-13,0.89222,0.89328,2019-08-25 21:00:00,0.89412,0.90562,0.886401879194631,2019-09-11 13:00:00,0.90562,win,1.49,wickdiffs_3D_D1_ALL_20260123_102131.csv,51.47575757575754,1.0
3D,ALL,D1,H4,AUDCAD,long,2022-10-11,2022-10-14,0.86048,0.86607,0.005589999999999984,2022-10-14,2022-10-17,0.86053,0.86066,2022-10-20 01:00:00,0.86158,0.87166,0.8543493939393939,2022-10-21 17:00:00,0.87166,win,1.3940740119860828,wickdiffs_3D_D1_ALL_20260123_102131.csv,72.30606060606061,1.0
3D,ALL,D1,H4,AUDCAD,long,2024-08-01,2024-08-06,0.88536,0.89818,0.012819999999999943,2024-08-07,2024-08-08,0.89505,0.89568,2024-12-20 10:00:00,0.89749,0.9109999999999999,0.884078,2025-03-10 09:00:00,0.9109999999999999,win,1.0073068893528132,wickdiffs_3D_D1_ALL_20260123_102131.csv,62.34090909090913,1.0
3D,ALL,D1,H4,AUDCAD,long,2024-10-11,2024-10-16,0.91614,0.9234,0.007260000000000044,2024-10-16,2024-10-17,0.91614,0.91639,2024-10-23 17:00:00,0.91792,0.93066,0.9093696644295302,2024-11-06 02:00:00,0.9093696644295302,loss,-1.0,wickdiffs_3D_D1_ALL_20260123_102131.csv,60.83333333333339,1.0
3D,ALL,D1,H4,AUDCHF,long,2016-11-08,2016-11-11,0.72441,0.7514,0.02698999999999996,2016-11-11,2016-11-14,0.74354,0.745665,2016-11-17 18:00:00,0.74615,0.7783899999999999,0.721711,2017-02-22 06:00:00,0.7783899999999999,win,1.3192029133761591,wickdiffs_3D_D1_ALL_20260123_102131.csv,74.76666666666661,1.0
3D,ALL,D1,H4,AUDCHF,long,2019-05-23,2019-05-28,0.69018,0.6944,0.0042200000000000015,2019-05-23,2019-05-24,0.69018,0.69096,2019-06-04 01:00:00,0.69194,0.69862,0.6871910606060606,2019-06-13 01:00:00,0.6871910606060606,loss,-1.0,wickdiffs_3D_D1_ALL_20260123_102131.csv,47.48939393939393,1.0
3D,ALL,D1,H4,AUDCHF,long,2020-01-06,2020-01-09,0.66218,0.66861,0.006430000000000047,2020-01-09,2020-01-10,0.66592,0.66675,2020-01-14 22:00:00,0.66724,0.6750400000000001,0.661537,2020-01-24 18:00:00,0.661537,loss,-1.0,wickdiffs_3D_D1_ALL_20260123_102131.csv,46.0060606060607,1.0
3D,ALL,D1,H4,AUDCHF,long,2020-05-01,2020-05-06,0.61347,0.62578,0.012310000000000043,2020-05-06,2020-05-07,0.62199,0.62361,2020-05-15 13:00:00,0.62374,0.63809,0.612239,2020-05-19 05:00:00,0.63809,win,1.2477175897748114,wickdiffs_3D_D1_ALL_20260123_102131.csv,105.6939393939395,1.0
