mode,wd_variant,wd_entry_ltf,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,planned_rr,wickdiff_file,dyn_min_sl_pips,VOL
3D,ALL,H4,H4,H4,AUDCAD,long,2017-02-16,2017-02-21,1.00226,1.007635,0.00537500000000013,2017-02-17 06:00:00,2017-02-17 10:00:00,1.00226,1.00284,2017-02-24 10:00:00,1.00389,1.0130100000000002,0.9966824999999999,2017-02-27 22:00:00,1.0130100000000002,win,1.2653485952133519,1.2653485952133519,wickdiffs_3D_H4_ALL_20260121_202249.csv,72.07500000000005,1.0
3D,ALL,H4,H4,H4,AUDCAD,long,2017-12-20,2017-12-25,0.97754,0.98165,0.004110000000000058,2017-12-21 14:00:00,2017-12-21 18:00:00,0.97832,0.97859,2017-12-29 06:00:00,0.97979,0.9857600000000001,0.9740181818181819,2018-01-05 10:00:00,0.9740181818181819,loss,-1.0,1.0343361159237718,wickdiffs_3D_H4_ALL_20260121_202249.csv,57.71818181818187,1.0
3D,ALL,H4,H4,H4,AUDCAD,long,2018-01-30,2018-02-02,0.98068,0.986125,0.005445000000000033,2018-02-06 02:00:00,2018-02-06 06:00:00,0.98402,0.98414,2018-02-07 06:00:00,0.98437,0.9915700000000001,0.9782683333333333,2018-02-14 18:00:00,0.9915700000000001,win,1.18000546298827,1.18000546298827,wickdiffs_3D_H4_ALL_20260121_202249.csv,61.01666666666667,1.0
3D,ALL,H4,H4,H4,AUDCAD,long,2018-06-18,2018-06-21,0.9739,0.98065,0.006750000000000034,2018-06-21 05:00:00,2018-06-21 09:00:00,0.97876,0.97948,2018-06-27 13:00:00,0.97982,0.9874,0.973225,2018-06-28 21:00:00,0.973225,loss,-1.0,1.1493555724033375,wickdiffs_3D_H4_ALL_20260121_202249.csv,57.43939393939394,1.0
3D,ALL,H4,H4,H4,AUDCAD,long,2021-03-31,2021-04-05,0.9491,0.9566,0.007499999999999951,2021-04-06 05:00:00,2021-04-06 09:00:00,0.95504,0.95625,2021-04-09 09:00:00,0.95657,0.9641,0.94835,2021-04-14 05:00:00,0.9641,win,0.9160583941605743,0.9160583941605743,wickdiffs_3D_H4_ALL_20260121_202249.csv,61.09999999999997,1.0
3D,ALL,H4,H4,H4,AUDCAD,long,2021-07-27,2021-07-30,0.91464,0.92073,0.00609000000000004,2021-08-02 21:00:00,2021-08-03 01:00:00,0.92006,0.92019,2021-08-10 13:00:00,0.92046,0.9268200000000001,0.914031,2021-08-18 09:00:00,0.914031,loss,-1.0,0.9892673821745583,wickdiffs_3D_H4_ALL_20260121_202249.csv,55.78636363636355,1.0
3D,ALL,H4,H4,H4,AUDCAD,long,2022-07-01,2022-07-06,0.87462,0.88576,0.011140000000000039,2022-07-06 17:00:00,2022-07-06 21:00:00,0.88273,0.88385,2022-07-11 05:00:00,0.88445,0.8969,0.8735059999999999,2022-07-27 17:00:00,0.8969,win,1.137609649122807,1.137609649122807,wickdiffs_3D_H4_ALL_20260121_202249.csv,78.00909090909079,1.0
3D,ALL,H4,H4,H4,AUDCAD,long,2022-10-11,2022-10-14,0.86048,0.86607,0.005589999999999984,2022-10-18 05:00:00,2022-10-18 09:00:00,0.86318,0.86321,2022-10-19 13:00:00,0.86352,0.87166,0.8562346969696969,2022-10-21 17:00:00,0.87166,win,1.1173179710084695,1.1173179710084695,wickdiffs_3D_H4_ALL_20260121_202249.csv,72.8530303030303,1.0
3D,ALL,H4,H4,H4,AUDCAD,long,2023-10-02,2023-10-05,0.86248,0.86939,0.006909999999999972,2023-10-09 01:00:00,2023-10-09 05:00:00,0.86701,0.86715,2023-10-12 09:00:00,0.86818,0.8763,0.8615236363636363,2023-10-13 13:00:00,0.8615236363636363,loss,-1.0,1.2198852772466564,wickdiffs_3D_H4_ALL_20260121_202249.csv,66.56363636363636,1.0
3D,ALL,H4,H4,H4,AUDCAD,long,2024-01-30,2024-02-02,0.87425,0.87973,0.00548000000000004,2024-02-06 10:00:00,2024-02-06 14:00:00,0.87832,0.87864,2024-02-07 10:00:00,0.87868,0.88521,0.8726278787878788,2024-02-20 10:00:00,0.88521,win,1.0789605447626733,1.0789605447626733,wickdiffs_3D_H4_ALL_20260121_202249.csv,60.52121212121213,1.0
