mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,wickdiff_file,dyn_min_sl_pips,VOL
3D,ALL,H4,D1,AUDCAD,long,2016-06-06,2016-06-09,0.93904,0.94832,0.009280000000000066,2016-06-12 21:00:00,2016-06-13 01:00:00,0.94148,0.9422,2016-06-14,0.94718,0.9576000000000001,0.938112,2016-06-15,0.9576000000000001,win,1.149095721217469,wickdiffs_3D_H4_ALL_20260121_202249.csv,81.35378787878781,1.0
3D,ALL,H4,D1,AUDCAD,long,2017-02-16,2017-02-21,1.00226,1.007635,0.00537500000000013,2017-02-17 06:00:00,2017-02-17 10:00:00,1.00226,1.00284,2017-02-24,1.00436,1.0130100000000002,0.9971524999999999,2017-02-28,1.0130100000000002,win,1.2001387443635467,wickdiffs_3D_H4_ALL_20260121_202249.csv,72.07500000000005,1.0
3D,ALL,H4,D1,AUDCAD,long,2018-01-22,2018-01-25,0.99143,0.99568,0.004249999999999976,2018-01-25 18:00:00,2018-01-25 22:00:00,0.99143,0.99164,2018-01-31,0.99203,0.99993,0.9861204545454545,2018-02-01,0.9861204545454545,loss,-1.0,wickdiffs_3D_H4_ALL_20260121_202249.csv,59.09545454545457,1.0
3D,ALL,H4,D1,AUDCAD,long,2018-12-06,2018-12-11,0.9567,0.96322,0.00651999999999997,2018-12-10 02:00:00,2018-12-10 06:00:00,0.95928,0.95934,2018-12-14,0.96046,0.9697399999999999,0.9538769696969697,2018-12-19,0.9697399999999999,win,1.4096851408580313,wickdiffs_3D_H4_ALL_20260121_202249.csv,65.83030303030299,1.0
3D,ALL,H4,D1,AUDCAD,long,2022-01-06,2022-01-11,0.90374,0.90935,0.005610000000000004,2022-01-12 06:00:00,2022-01-12 10:00:00,0.90374,0.90433,2022-01-14,0.90523,0.91496,0.8986997986577181,2022-01-18,0.8986997986577181,loss,-1.0,wickdiffs_3D_H4_ALL_20260121_202249.csv,55.43636363636364,1.0
3D,ALL,H4,D1,AUDCAD,long,2022-01-27,2022-02-01,0.89082,0.89818,0.007360000000000033,2022-01-30 22:00:00,2022-01-31 02:00:00,0.8923,0.89233,2022-05-12,0.89419,0.90554,0.8865725503355705,2022-05-20,0.90554,win,1.49,wickdiffs_3D_H4_ALL_20260121_202249.csv,75.47121212121213,1.0
3D,ALL,H4,D1,AUDCAD,long,2022-04-05,2022-04-08,0.93592,0.94178,0.005859999999999976,2022-04-11 21:00:00,2022-04-12 01:00:00,0.93637,0.93643,2022-04-13,0.93663,0.9476399999999999,0.9292407382550335,2022-04-18,0.9292407382550335,loss,-1.0,wickdiffs_3D_H4_ALL_20260121_202249.csv,67.06363636363642,1.0
3D,ALL,H4,D1,AUDCAD,long,2023-03-27,2023-03-30,0.8988,0.90624,0.007440000000000002,2023-04-02 21:00:00,2023-04-03 01:00:00,0.8988,0.90016,2023-04-05,0.90443,0.91368,0.8964734848484848,2023-04-11,0.8964734848484848,loss,-1.0,wickdiffs_3D_H4_ALL_20260121_202249.csv,79.56515151515151,1.0
3D,ALL,H4,D1,AUDCAD,long,2024-10-11,2024-10-16,0.91614,0.9234,0.007260000000000044,2024-10-16 17:00:00,2024-10-16 21:00:00,0.91614,0.91639,2024-10-23,0.91792,0.93066,0.9093696644295302,2024-11-06,0.9093696644295302,loss,-1.0,wickdiffs_3D_H4_ALL_20260121_202249.csv,60.83333333333339,1.0
3D,ALL,H4,D1,AUDCAD,long,2025-07-17,2025-07-22,0.88766,0.89268,0.0050200000000000244,2025-07-17 05:00:00,2025-07-17 09:00:00,0.88766,0.88854,2025-07-30,0.8899,0.8977,0.8839351515151516,2025-08-08,0.8977,win,1.3076610445031551,wickdiffs_3D_H4_ALL_20260121_202249.csv,59.64848484848482,1.0
