mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,wickdiff_file,dyn_min_sl_pips,VOL
3D,ALL,H4,H12,AUDCAD,long,2016-06-06,2016-06-09,0.93904,0.94832,0.009280000000000066,2016-06-12 21:00:00,2016-06-13 01:00:00,0.94148,0.9422,2016-06-14 09:00:00,0.94718,0.9576000000000001,0.938112,2016-06-15 09:00:00,0.9576000000000001,win,1.149095721217469,wickdiffs_3D_H4_ALL_20260121_202249.csv,81.35378787878781,1.0
3D,ALL,H4,H12,AUDCAD,long,2017-02-16,2017-02-21,1.00226,1.007635,0.00537500000000013,2017-02-17 06:00:00,2017-02-17 10:00:00,1.00226,1.00284,2017-02-24 10:00:00,1.00436,1.0130100000000002,0.9971524999999999,2017-02-27 22:00:00,1.0130100000000002,win,1.2001387443635467,wickdiffs_3D_H4_ALL_20260121_202249.csv,72.07500000000005,1.0
3D,ALL,H4,H12,AUDCAD,long,2017-12-20,2017-12-25,0.97754,0.98165,0.004110000000000058,2017-12-21 14:00:00,2017-12-21 18:00:00,0.97832,0.97859,2017-12-28 22:00:00,0.979795,0.9857600000000001,0.9739517424242424,2018-01-05 10:00:00,0.9739517424242424,loss,-1.0,wickdiffs_3D_H4_ALL_20260121_202249.csv,58.43257575757581,1.0
3D,ALL,H4,H12,AUDCAD,long,2018-01-22,2018-01-25,0.99143,0.99568,0.004249999999999976,2018-01-25 18:00:00,2018-01-25 22:00:00,0.99143,0.99164,2018-01-31 10:00:00,0.99203,0.99993,0.9861204545454545,2018-01-31 22:00:00,0.9861204545454545,loss,-1.0,wickdiffs_3D_H4_ALL_20260121_202249.csv,59.09545454545457,1.0
3D,ALL,H4,H12,AUDCAD,long,2018-01-30,2018-02-02,0.98068,0.986125,0.005445000000000033,2018-02-02 18:00:00,2018-02-04 22:00:00,0.98206,0.98207,2018-02-07 22:00:00,0.983725,0.9915700000000001,0.9776233333333333,2018-02-14 10:00:00,0.9915700000000001,win,1.2857142857143022,wickdiffs_3D_H4_ALL_20260121_202249.csv,61.01666666666667,1.0
3D,ALL,H4,H12,AUDCAD,long,2022-01-06,2022-01-11,0.90374,0.90935,0.005610000000000004,2022-01-12 06:00:00,2022-01-12 10:00:00,0.90374,0.90433,2022-01-14 10:00:00,0.90523,0.91496,0.8986997986577181,2022-01-18 10:00:00,0.8986997986577181,loss,-1.0,wickdiffs_3D_H4_ALL_20260121_202249.csv,55.43636363636364,1.0
3D,ALL,H4,H12,AUDCAD,long,2022-01-27,2022-02-01,0.89082,0.89818,0.007360000000000033,2022-01-30 22:00:00,2022-01-31 02:00:00,0.8923,0.89233,2022-05-12 09:00:00,0.89419,0.90554,0.8865725503355705,2022-05-20 09:00:00,0.90554,win,1.49,wickdiffs_3D_H4_ALL_20260121_202249.csv,75.47121212121213,1.0
3D,ALL,H4,H12,AUDCAD,long,2022-04-05,2022-04-08,0.93592,0.94178,0.005859999999999976,2022-04-11 21:00:00,2022-04-12 01:00:00,0.93637,0.93643,2022-04-13 09:00:00,0.93663,0.9476399999999999,0.9292407382550335,2022-04-17 21:00:00,0.9292407382550335,loss,-1.0,wickdiffs_3D_H4_ALL_20260121_202249.csv,67.06363636363642,1.0
3D,ALL,H4,H12,AUDCAD,long,2022-10-11,2022-10-14,0.86048,0.86607,0.005589999999999984,2022-10-16 21:00:00,2022-10-17 01:00:00,0.86066,0.86074,2022-10-19 21:00:00,0.86382,0.87166,0.856534696969697,2022-10-21 09:00:00,0.87166,win,1.076139176008147,wickdiffs_3D_H4_ALL_20260121_202249.csv,72.8530303030303,1.0
3D,ALL,H4,H12,AUDCAD,long,2023-03-27,2023-03-30,0.8988,0.90624,0.007440000000000002,2023-04-02 21:00:00,2023-04-03 01:00:00,0.8988,0.90016,2023-04-05 09:00:00,0.90443,0.91368,0.8964734848484848,2023-04-11 09:00:00,0.8964734848484848,loss,-1.0,wickdiffs_3D_H4_ALL_20260121_202249.csv,79.56515151515151,1.0
