mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,exit_reason,wickdiff_file,dyn_min_sl_pips,VOL,max_hold_days,RR_MIN,RR_MAX,active_trades_at_entry
3D,ALL,H4,H4,USDJPY,long,2015-01-01,2015-01-06,118.056,119.6355,1.579499999999996,2015-01-06 18:00:00,2015-01-06 22:00:00,118.088,118.384,2015-01-11 22:00:00,118.3875,121.21499999999999,116.21250000000002,2015-01-14 10:00:00,116.21250000000002,loss,-1.0,sl,wickdiffs_3D_H4_ALL_20260121_202249.csv,117.7992424242424,1.0,30,0.9,1.3,1
3D,ALL,H4,H4,NZDJPY,long,2015-01-09,2015-01-14,89.843,91.248,1.4050000000000011,2015-01-16 06:00:00,2015-01-16 10:00:00,90.6925,90.6965,2015-01-20 18:00:00,90.7485,92.653,89.2835,2015-01-21 14:00:00,89.2835,loss,-1.0,sl,wickdiffs_3D_H4_ALL_20260121_202249.csv,101.9484848484849,1.0,30,0.9,1.3,1
3D,ALL,H4,H4,AUDJPY,long,2015-01-09,2015-01-14,94.2575,96.299,2.0415000000000134,2015-01-14 10:00:00,2015-01-14 14:00:00,94.8165,94.9025,2015-01-22 18:00:00,95.1205,98.34050000000002,92.64357692307692,2015-01-25 22:00:00,92.64357692307692,loss,-1.0,sl,wickdiffs_3D_H4_ALL_20260121_202249.csv,107.5022727272727,1.0,30,0.9,1.3,1
3D,ALL,H4,H4,GBPJPY,long,2015-01-14,2015-01-19,175.849,178.066,2.217000000000013,2015-01-21 10:00:00,2015-01-21 14:00:00,177.0645,177.196,2015-01-23 06:00:00,177.392,180.28300000000002,175.1681538461538,2015-02-05 18:00:00,180.28300000000002,win,1.3,tp,wickdiffs_3D_H4_ALL_20260121_202249.csv,184.990909090909,1.0,30,0.9,1.3,2
3D,ALL,H4,H4,EURJPY,long,2015-01-22,2015-01-27,130.1565,133.114,2.9575000000000102,2015-01-28 18:00:00,2015-01-28 22:00:00,132.3955,132.451,2015-01-30 14:00:00,132.536,136.07150000000001,129.8163846153846,2015-02-11 14:00:00,136.07150000000001,win,1.3,tp,wickdiffs_3D_H4_ALL_20260121_202249.csv,154.0704545454545,1.0,30,0.9,1.3,2
3D,ALL,H4,H4,AUDNZD,long,2015-01-22,2015-01-27,1.058245,1.066885,0.008639999999999981,2015-01-23 10:00:00,2015-01-23 14:00:00,1.058245,1.0585,2015-02-03 14:00:00,1.05975,1.075525,1.0476153846153846,2015-02-11 02:00:00,1.0476153846153846,loss,-1.0,sl,wickdiffs_3D_H4_ALL_20260121_202249.csv,82.55303030303013,1.0,30,0.9,1.3,3
3D,ALL,H4,H4,EURCAD,short,2015-01-27,2015-01-30,1.428525,1.449195,0.020669999999999966,2015-02-03 10:00:00,2015-02-03 14:00:00,1.434415,1.43488,2015-02-04 14:00:00,1.433995,1.407855,1.454102692307692,2015-02-10 10:00:00,1.407855,win,1.3,tp,wickdiffs_3D_H4_ALL_20260121_202249.csv,149.3500000000001,1.0,30,0.9,1.3,4
3D,ALL,H4,H4,USDCHF,short,2015-01-27,2015-01-30,0.92389,0.934595,0.010704999999999965,2015-02-02 10:00:00,2015-02-02 14:00:00,0.931005,0.932695,2015-02-05 10:00:00,0.92644,0.913185,0.9395789393939394,2015-02-18 10:00:00,0.9395789393939394,loss,-1.0,sl,wickdiffs_3D_H4_ALL_20260121_202249.csv,131.3893939393938,1.0,30,0.9,1.3,5
3D,ALL,H4,H4,AUDNZD,long,2015-01-30,2015-02-04,1.051185,1.0587,0.007514999999999938,2015-02-04 18:00:00,2015-02-04 22:00:00,1.051185,1.05156,2015-02-09 06:00:00,1.052345,1.066215,1.0416757692307694,2015-02-11 22:00:00,1.0416757692307694,loss,-1.0,sl,wickdiffs_3D_H4_ALL_20260121_202249.csv,84.79393939393923,1.0,30,0.9,1.3,5
3D,ALL,H4,H4,EURJPY,long,2015-02-04,2015-02-09,132.542,134.832,2.289999999999992,2015-02-10 06:00:00,2015-02-10 10:00:00,134.047,134.092,2015-02-16 18:00:00,134.536,137.12199999999999,132.313,2015-03-05 06:00:00,132.313,loss,-1.0,sl,wickdiffs_3D_H4_ALL_20260121_202249.csv,160.3856060606059,1.0,30,0.9,1.3,2
3D,ALL,H4,H4,AUDUSD,short,2015-02-04,2015-02-09,0.779615,0.787645,0.008030000000000093,2015-02-10 02:00:00,2015-02-10 06:00:00,0.783085,0.784185,2015-02-18 02:00:00,0.782215,0.7715849999999999,0.7915367424242424,2015-03-06 14:00:00,0.7715849999999999,win,1.140344746316463,tp,wickdiffs_3D_H4_ALL_20260121_202249.csv,93.21742424242424,1.0,30,0.9,1.3,3
3D,ALL,H4,H4,GBPNZD,long,2015-02-12,2015-02-17,2.032005,2.04802,0.016015000000000335,2015-02-17 18:00:00,2015-02-17 22:00:00,2.033195,2.034465,2015-02-20 06:00:00,2.036375,2.0640350000000005,2.0135712121212124,2015-02-24 02:00:00,2.0640350000000005,win,1.2129563801867265,tp,wickdiffs_3D_H4_ALL_20260121_202249.csv,228.0378787878785,1.0,30,0.9,1.3,3
3D,ALL,H4,H4,EURNZD,long,2015-02-17,2015-02-20,1.494645,1.512325,0.017679999999999918,2015-02-23 10:00:00,2015-02-23 14:00:00,1.50238,1.50291,2015-02-25 02:00:00,1.50304,1.5300049999999998,1.4822976923076923,2015-02-27 14:00:00,1.4822976923076923,loss,-1.0,sl,wickdiffs_3D_H4_ALL_20260121_202249.csv,179.7431818181817,1.0,30,0.9,1.3,3
3D,ALL,H4,H4,NZDJPY,short,2015-02-17,2015-02-20,89.4125,90.1105,0.6980000000000075,2015-02-17 18:00:00,2015-02-17 22:00:00,89.9885,90.1105,2015-02-25 22:00:00,89.87,88.71449999999999,90.9776893939394,2015-03-04 18:00:00,90.9776893939394,loss,-1.0,sl,wickdiffs_3D_H4_ALL_20260121_202249.csv,110.7689393939394,1.0,30,0.9,1.3,4
3D,ALL,H4,H4,NZDUSD,short,2015-02-17,2015-02-20,0.75175,0.7574,0.005649999999999933,2015-02-18 22:00:00,2015-02-19 02:00:00,0.75673,0.757305,2015-02-25 22:00:00,0.75507,0.7461000000000001,0.7645753787878788,2015-03-05 14:00:00,0.7461000000000001,win,0.9436762279729893,tp,wickdiffs_3D_H4_ALL_20260121_202249.csv,95.0537878787879,1.0,30,0.9,1.3,5
