pair,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCHF,7,4,3,0.35805756929637916,57.14285714285714,1.3766007462686636,-1.0
AUDJPY,13,4,9,-0.2738461538461554,30.76923076923077,1.359999999999995,-1.0
AUDNZD,6,5,1,0.9200706040415664,83.33333333333334,1.3040847248498797,-1.0
AUDUSD,6,2,4,-0.17966666666666484,33.33333333333333,1.4610000000000056,-1.0
CADCHF,8,5,3,0.4804999999999985,62.5,1.3687999999999976,-1.0
CADJPY,6,4,2,0.5760584958217255,66.66666666666666,1.3640877437325885,-1.0
CHFJPY,4,3,1,0.8020000000000045,75.0,1.4026666666666727,-1.0
EURAUD,7,3,4,0.053362679542444384,42.857142857142854,1.4578462522657036,-1.0
EURCAD,11,5,6,0.05420934160695219,45.45454545454545,1.3192605515352949,-1.0
EURCHF,5,2,3,-0.10279999999999175,40.0,1.2430000000000208,-1.0
EURGBP,2,2,0,1.4249999999999918,100.0,1.4249999999999918,
EURJPY,8,4,4,0.18299999999999997,50.0,1.3659999999999999,-1.0
EURNZD,8,5,3,0.5456109247723997,62.5,1.4729774796358397,-1.0
EURUSD,4,4,0,1.244137344798039,100.0,1.244137344798039,
GBPAUD,5,1,4,-0.502,20.0,1.49,-1.0
GBPCAD,5,3,2,0.4190769230769192,60.0,1.3651282051281985,-1.0
GBPCHF,10,4,6,-0.08024725118127932,40.0,1.2993818720468018,-1.0
GBPJPY,8,2,6,-0.3922500000000053,25.0,1.4309999999999787,-1.0
GBPNZD,6,3,3,0.20217194570135813,50.0,1.4043438914027162,-1.0
GBPUSD,8,4,4,0.2234504241781512,50.0,1.4469008483563026,-1.0
NZDCAD,8,2,6,-0.4297499999999964,25.0,1.2810000000000143,-1.0
NZDCHF,9,3,6,-0.22680604534005283,33.33333333333333,1.3195818639798416,-1.0
NZDJPY,6,3,3,0.17666666666666883,50.0,1.3533333333333377,-1.0
NZDUSD,8,6,2,0.7506564443188259,75.0,1.3342085924251013,-1.0
USDCHF,8,2,6,-0.396249999999999,25.0,1.415000000000004,-1.0
USDJPY,5,2,3,-0.115616665088533,40.0,1.2109583372786674,-1.0
ALL,181,87,94,0.1353144578361989,48.06629834254144,1.361976055958069,-1.0
