mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,wickdiff_file,dyn_min_sl_pips,VOL
M,ALL,D1,H4,AUDCAD,long,2017-03-01,2017-04-03,0.9926,1.01595,0.02334999999999987,2017-04-12,2017-04-13,0.9926,0.99593,2017-06-01 13:00:00,0.99682,1.0393,0.9683099328859062,2017-09-06 13:00:00,0.9683099328859062,loss,-1.0,wickdiffs_M_D1_ALL_20260123_102131.csv,66.76363636363646,1.0
M,ALL,D1,H4,AUDCAD,long,2021-11-01,2021-12-01,0.89722,0.91087,0.01364999999999994,2021-12-03,2021-12-06,0.89722,0.8982,2022-01-18 10:00:00,0.89908,0.9245199999999999,0.8820061744966443,2022-03-01 18:00:00,0.9245199999999999,win,1.49,wickdiffs_M_D1_ALL_20260123_102131.csv,56.18787878787878,1.0
M,ALL,D1,H4,AUDCAD,long,2023-06-01,2023-07-03,0.87442,0.88236,0.007940000000000058,2023-06-28,2023-06-29,0.87442,0.87464,2023-08-02 05:00:00,0.87646,0.8903000000000001,0.8671714093959731,2023-08-16 21:00:00,0.8671714093959731,loss,-1.0,wickdiffs_M_D1_ALL_20260123_102131.csv,68.39999999999986,1.0
M,ALL,D1,H4,AUDCAD,long,2025-04-01,2025-05-01,0.84416,0.88334,0.03917999999999999,2025-04-22,2025-04-23,0.87901,0.87924,2025-06-23 09:00:00,0.8808,0.92252,0.840242,2025-09-11 21:00:00,0.92252,win,1.02865032792544,wickdiffs_M_D1_ALL_20260123_102131.csv,78.69393939393936,1.0
M,ALL,D1,H4,AUDCAD,short,2016-07-01,2016-08-01,0.99106,1.0118,0.02073999999999998,2016-08-15,2016-08-16,0.9938,0.99539,2016-09-08 05:00:00,0.99337,0.9703200000000001,1.013874,2016-09-27 05:00:00,1.013874,loss,-1.0,wickdiffs_M_D1_ALL_20260123_102131.csv,83.91742424242429,1.0
M,ALL,D1,H4,AUDCAD,short,2021-08-02,2021-09-01,0.9229,0.93769,0.01478999999999997,2021-09-20,2021-09-21,0.9304,0.93162,2021-10-26 05:00:00,0.9284,0.9081100000000001,0.9420174496644295,2021-11-25 22:00:00,0.9081100000000001,win,1.49,wickdiffs_M_D1_ALL_20260123_102131.csv,53.08939393939396,1.0
M,ALL,D1,H4,AUDCAD,short,2025-06-02,2025-07-01,0.89435,0.90226,0.007909999999999973,2025-07-29,2025-07-30,0.89762,0.89833,2025-08-08 13:00:00,0.89732,0.88644,0.9046220134228188,2025-09-05 09:00:00,0.9046220134228188,loss,-1.0,wickdiffs_M_D1_ALL_20260123_102131.csv,57.61060606060605,1.0
M,ALL,D1,H4,AUDCHF,long,2015-05-01,2015-06-01,0.708095,0.71867,0.010575000000000001,2015-06-17,2015-06-18,0.709095,0.709945,2015-07-03 05:00:00,0.70998,0.729245,0.6970504697986578,2015-07-08 05:00:00,0.6970504697986578,loss,-1.0,wickdiffs_M_D1_ALL_20260123_102131.csv,97.43636363636352,1.0
M,ALL,D1,H4,AUDCHF,long,2016-02-01,2016-03-01,0.67534,0.71296,0.03761999999999999,2016-02-24,2016-02-25,0.70668,0.70774,2016-05-13 05:00:00,0.707775,0.75058,0.671578,2016-07-12 09:00:00,0.75058,win,1.1825565654612245,wickdiffs_M_D1_ALL_20260123_102131.csv,96.61439393939396,1.0
M,ALL,D1,H4,AUDCHF,long,2018-06-01,2018-07-02,0.7276,0.73368,0.006079999999999974,2018-07-23,2018-07-24,0.73144,0.73206,2018-08-02 09:00:00,0.73296,0.73976,0.7269433333333333,2018-08-07 05:00:00,0.73976,win,1.1301939058171782,wickdiffs_M_D1_ALL_20260123_102131.csv,60.16666666666673,1.0
