mode,wd_variant,wd_entry_ltf,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,planned_rr,wickdiff_file,dyn_min_sl_pips,VOL
M,ALL,H4,H4,H4,AUDCAD,long,2016-08-01,2016-09-01,0.9762,0.98514,0.008940000000000059,2016-09-13 21:00:00,2016-09-14 01:00:00,0.98165,0.98254,2016-12-08 14:00:00,0.98477,0.9940800000000001,0.975306,2016-12-16 14:00:00,0.975306,loss,-1.0,0.983727810650889,wickdiffs_M_H4_ALL_20260121_202249.csv,78.82803030303029,1.0
M,ALL,H4,H4,H4,AUDCAD,long,2017-03-01,2017-04-03,0.9926,1.01595,0.02334999999999987,2017-04-27 09:00:00,2017-04-27 13:00:00,1.01274,1.01314,2017-05-05 13:00:00,1.01562,1.0393,0.9902650000000001,2017-07-04 01:00:00,0.9902650000000001,loss,-1.0,0.9339380792743053,wickdiffs_M_H4_ALL_20260121_202249.csv,68.50000000000006,1.0
M,ALL,H4,H4,H4,AUDCAD,long,2022-04-01,2022-05-02,0.89192,0.90796,0.016039999999999943,2022-05-26 13:00:00,2022-05-26 17:00:00,0.90396,0.90554,2022-06-06 01:00:00,0.90581,0.9239999999999999,0.8903160000000001,2022-06-14 09:00:00,0.8903160000000001,loss,-1.0,1.1740028398089615,wickdiffs_M_H4_ALL_20260121_202249.csv,77.20303030303025,1.0
M,ALL,H4,H4,H4,AUDCAD,long,2022-06-01,2022-07-01,0.87359,0.8889,0.015310000000000046,2022-07-21 13:00:00,2022-07-21 17:00:00,0.8877,0.88796,2022-08-02 21:00:00,0.88826,0.9042100000000001,0.8720589999999999,2022-08-10 09:00:00,0.9042100000000001,win,0.9845071291895494,0.9845071291895494,wickdiffs_M_H4_ALL_20260121_202249.csv,79.5969696969696,1.0
M,ALL,H4,H4,H4,AUDCAD,long,2024-01-01,2024-02-01,0.87264,0.88227,0.009630000000000027,2024-02-19 22:00:00,2024-02-20 02:00:00,0.88102,0.88104,2024-03-05 06:00:00,0.88141,0.8919,0.8716769999999999,2024-03-07 10:00:00,0.8919,win,1.0777766361861594,1.0777766361861594,wickdiffs_M_H4_ALL_20260121_202249.csv,54.8727272727273,1.0
M,ALL,H4,H4,H4,AUDCAD,long,2025-04-01,2025-05-01,0.84416,0.88334,0.03917999999999999,2025-04-22 17:00:00,2025-04-22 21:00:00,0.87901,0.87924,2025-06-23 09:00:00,0.8808,0.92252,0.840242,2025-09-11 21:00:00,0.92252,win,1.02865032792544,1.02865032792544,wickdiffs_M_H4_ALL_20260121_202249.csv,78.69393939393936,1.0
M,ALL,H4,H4,H4,AUDCAD,short,2016-07-01,2016-08-01,0.99106,1.0118,0.02073999999999998,2016-08-16 05:00:00,2016-08-16 09:00:00,0.99418,0.99539,2016-09-08 09:00:00,0.99363,0.9703200000000001,1.013874,2016-09-27 05:00:00,1.013874,loss,-1.0,1.1514522821576776,wickdiffs_M_H4_ALL_20260121_202249.csv,83.91742424242429,1.0
M,ALL,H4,H4,H4,AUDCAD,short,2021-08-02,2021-09-01,0.9229,0.93769,0.01478999999999997,2021-09-22 21:00:00,2021-09-23 01:00:00,0.92535,0.92546,2021-10-20 01:00:00,0.92502,0.9081100000000001,0.939169,2021-11-25 22:00:00,0.9081100000000001,win,1.1951374655452525,1.1951374655452525,wickdiffs_M_H4_ALL_20260121_202249.csv,54.21515151515155,1.0
M,ALL,H4,H4,H4,AUDCHF,long,2016-02-01,2016-03-01,0.67534,0.71296,0.03761999999999999,2016-02-24 14:00:00,2016-02-24 18:00:00,0.70668,0.70709,2016-05-13 09:00:00,0.70935,0.75058,0.671578,2016-07-12 09:00:00,0.75058,win,1.0915492957746469,1.0915492957746469,wickdiffs_M_H4_ALL_20260121_202249.csv,96.61439393939396,1.0
M,ALL,H1,H1,H4,AUDCHF,long,2016-05-02,2016-06-01,0.70331,0.718835,0.015525000000000011,2016-06-27 17:00:00,2016-06-27 18:00:00,0.71609,0.71652,2017-06-01 01:00:00,0.7166,0.73436,0.7017575,2017-06-14 05:00:00,0.73436,win,1.1965639211723107,1.1965639211723107,wickdiffs_M_H1_ALL_20260126_192005.csv,63.33484848484847,1.0
