mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,wickdiff_file,dyn_min_sl_pips
M,ALL,H12,H4,AUDCAD,long,2022-04-01,2022-05-02,0.89192,0.90796,0.016039999999999943,2022-05-18 09:00:00,2022-05-18 21:00:00,0.89472,0.89571,2022-06-13 09:00:00,0.89642,0.9239999999999999,0.8737689393939394,2022-07-13 13:00:00,0.8737689393939394,loss,-1.0,wickdiffs_M_H12_ALL_20260101_142945.csv,226.51060606060594
M,ALL,H12,H4,AUDCAD,short,2023-07-03,2023-08-01,0.88602,0.90567,0.019649999999999945,2023-07-19 21:00:00,2023-07-20 09:00:00,0.8983,0.89866,2023-11-20 02:00:00,0.89714,0.8663700000000001,0.9177910067114095,2024-06-12 17:00:00,0.9177910067114095,loss,-1.0,wickdiffs_M_H12_ALL_20260101_142945.csv,190.3969696969697
M,ALL,H12,H4,AUDCHF,long,2023-10-02,2023-11-01,0.56136,0.57688,0.015519999999999978,2023-11-16 10:00:00,2023-11-16 22:00:00,0.57356,0.57376,2023-12-05 02:00:00,0.57398,0.5923999999999999,0.559808,2024-03-21 05:00:00,0.5923999999999999,win,1.2997459779847436,wickdiffs_M_H12_ALL_20260101_142945.csv,130.4075757575759
M,ALL,H12,H4,AUDCHF,long,2024-07-01,2024-08-01,0.53656,0.57423,0.03766999999999998,2024-08-28 09:00:00,2024-08-28 21:00:00,0.56966,0.57058,2024-09-03 13:00:00,0.5714,0.6119,0.5327930000000001,2025-04-04 01:00:00,0.5327930000000001,loss,-1.0,wickdiffs_M_H12_ALL_20260101_142945.csv,156.2818181818181
M,ALL,H12,H4,AUDCHF,short,2023-06-01,2023-07-03,0.59614,0.61691,0.020769999999999955,2023-07-05 21:00:00,2023-07-06 09:00:00,0.59899,0.60001,2024-04-04 09:00:00,0.5986,0.57537,0.618987,2024-04-19 01:00:00,0.57537,win,1.1394516113209423,wickdiffs_M_H12_ALL_20260101_142945.csv,112.99090909090899
M,ALL,H12,H4,AUDCHF,short,2024-05-01,2024-06-03,0.60034,0.60999,0.009650000000000047,2024-05-28 21:00:00,2024-05-29 09:00:00,0.60714,0.60796,2024-07-10 21:00:00,0.60695,0.5906899999999999,0.6191745454545454,2024-07-22 09:00:00,0.5906899999999999,win,1.3301108053841084,wickdiffs_M_H12_ALL_20260101_142945.csv,122.24545454545421
M,ALL,H12,H4,AUDCHF,short,2025-01-01,2025-02-03,0.56383,0.57628,0.012449999999999961,2025-02-26 22:00:00,2025-02-27 10:00:00,0.56578,0.56621,2025-03-06 02:00:00,0.56456,0.5513800000000001,0.5778157575757575,2025-03-10 21:00:00,0.5513800000000001,win,0.9942849305047445,wickdiffs_M_H12_ALL_20260101_142945.csv,132.5575757575757
M,ALL,H12,H4,AUDJPY,long,2023-12-01,2024-01-01,93.74,96.04,2.3000000000000114,2023-12-18 10:00:00,2023-12-18 22:00:00,95.485,95.672,2024-02-01 06:00:00,95.818,98.34000000000002,93.42424242424242,2024-02-20 06:00:00,98.34000000000002,win,1.0535736891409566,wickdiffs_M_H12_ALL_20260101_142945.csv,239.37575757575735
M,ALL,H12,H4,AUDJPY,long,2024-07-01,2024-08-01,90.139,98.066,7.927000000000007,2024-08-09 09:00:00,2024-08-11 21:00:00,96.219,96.22,2024-09-04 21:00:00,96.618,105.99300000000001,89.3463,2025-04-04 09:00:00,89.3463,loss,-1.0,wickdiffs_M_H12_ALL_20260101_142945.csv,360.7606060606059
M,ALL,H12,H4,AUDNZD,short,2023-06-01,2023-07-03,1.08527,1.10548,0.02021000000000006,2023-07-26 21:00:00,2023-07-27 09:00:00,1.08918,1.08992,2023-08-31 01:00:00,1.08796,1.06506,1.107501,2023-10-08 21:00:00,1.06506,win,1.171894990020987,wickdiffs_M_H12_ALL_20260101_142945.csv,173.92727272727217
