mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,wickdiff_file,dyn_min_sl_pips,VOL
M,ALL,H4,D1,AUDCAD,long,2016-08-01,2016-09-01,0.9762,0.98514,0.008940000000000059,2016-08-19 05:00:00,2016-08-19 09:00:00,0.9762,0.9763,2016-12-12,0.98414,0.9940800000000001,0.975306,2016-12-16,0.975306,loss,-1.0,wickdiffs_M_H4_ALL_20260121_202249.csv,78.85530303030302,1.0
M,ALL,H4,D1,AUDCAD,long,2017-03-01,2017-04-03,0.9926,1.01595,0.02334999999999987,2017-04-18 05:00:00,2017-04-18 09:00:00,1.00574,1.00618,2017-05-09,1.00764,1.0393,0.9863916778523493,2017-07-04,0.9863916778523493,loss,-1.0,wickdiffs_M_H4_ALL_20260121_202249.csv,67.76666666666672,1.0
M,ALL,H4,D1,AUDCAD,long,2017-06-01,2017-07-03,0.9736,0.9967,0.02310000000000001,2017-07-12 13:00:00,2017-07-12 17:00:00,0.9736,0.97466,2017-09-06,0.97814,1.0198,0.9501802684563758,2018-03-13,1.0198,win,1.49,wickdiffs_M_H4_ALL_20260121_202249.csv,76.59242424242424,1.0
M,ALL,H4,D1,AUDCAD,long,2021-11-01,2021-12-01,0.89722,0.91087,0.01364999999999994,2021-12-03 18:00:00,2021-12-05 22:00:00,0.89804,0.8982,2022-01-18,0.89895,0.9245199999999999,0.8817889261744968,2022-03-01,0.9245199999999999,win,1.49,wickdiffs_M_H4_ALL_20260121_202249.csv,56.18787878787878,1.0
M,ALL,H4,D1,AUDCAD,long,2022-04-01,2022-05-02,0.89192,0.90796,0.016039999999999943,2022-05-16 01:00:00,2022-05-16 05:00:00,0.89192,0.89227,2022-06-13,0.8933,0.9239999999999999,0.8726959731543624,2022-10-10,0.8726959731543624,loss,-1.0,wickdiffs_M_H4_ALL_20260121_202249.csv,75.76060606060601,1.0
M,ALL,H4,D1,AUDCAD,long,2025-02-03,2025-03-03,0.89324,0.89806,0.0048199999999999354,2025-03-04 06:00:00,2025-03-04 10:00:00,0.89664,0.89712,2025-04-02,0.89728,0.9028799999999999,0.8915034848484849,2025-04-03,0.8915034848484849,loss,-1.0,wickdiffs_M_H4_ALL_20260121_202249.csv,57.76515151515149,1.0
M,ALL,H4,D1,AUDCAD,short,2016-07-01,2016-08-01,0.99106,1.0118,0.02073999999999998,2016-08-11 17:00:00,2016-08-11 21:00:00,1.00039,1.00067,2016-09-21,0.99882,0.9703200000000001,1.0179475167785235,2016-10-24,1.0179475167785235,loss,-1.0,wickdiffs_M_H4_ALL_20260121_202249.csv,82.32121212121214,1.0
M,ALL,H4,D1,AUDCAD,short,2019-03-01,2019-04-01,0.94733,0.96146,0.014129999999999976,2019-04-18 01:00:00,2019-04-18 05:00:00,0.96016,0.96084,2020-07-21,0.9594,0.9332,0.9769838926174497,2020-10-15,0.9332,win,1.49,wickdiffs_M_H4_ALL_20260121_202249.csv,73.32272727272729,1.0
M,ALL,H4,D1,AUDCAD,short,2020-12-01,2021-01-01,0.9791,0.99012,0.01102000000000003,2021-01-27 02:00:00,2021-01-27 06:00:00,0.98466,0.98472,2021-02-09,0.98232,0.9680799999999999,0.9918770469798658,2021-02-19,0.9918770469798658,loss,-1.0,wickdiffs_M_H4_ALL_20260121_202249.csv,60.09545454545449,1.0
M,ALL,H4,D1,AUDCAD,short,2021-08-02,2021-09-01,0.9229,0.93769,0.01478999999999997,2021-09-20 09:00:00,2021-09-20 13:00:00,0.93129,0.93162,2021-10-27,0.92936,0.9081100000000001,0.9436217449664428,2021-11-26,0.9081100000000001,win,1.49,wickdiffs_M_H4_ALL_20260121_202249.csv,53.0348484848485,1.0
M,ALL,H4,D1,AUDCAD,short,2023-07-03,2023-08-01,0.88602,0.90567,0.019649999999999945,2023-07-18 01:00:00,2023-07-18 05:00:00,0.90134,0.90159,2023-11-21,0.89832,0.8663700000000001,0.9197629530201342,2024-07-05,0.9197629530201342,loss,-1.0,wickdiffs_M_H4_ALL_20260121_202249.csv,64.04090909090912,1.0
M,ALL,H4,D1,AUDCAD,short,2025-06-02,2025-07-01,0.89435,0.90226,0.007909999999999973,2025-07-11 01:00:00,2025-07-11 05:00:00,0.90222,0.90226,2025-08-13,0.90062,0.88644,0.9101367785234898,2025-09-08,0.9101367785234898,loss,-1.0,wickdiffs_M_H4_ALL_20260121_202249.csv,55.98333333333332,1.0
