mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,exit_reason,wickdiff_file,dyn_min_sl_pips,VOL,max_hold_days,RR_MIN,RR_MAX,active_trades_at_entry
M,ALL,H4,H4,EURJPY,long,2015-01-01,2015-02-02,130.1565,132.666,2.5095000000000027,2015-02-03 02:00:00,2015-02-03 06:00:00,132.3955,132.482,2015-03-04 14:00:00,132.62,135.1755,129.90555,2015-03-10 13:00:00,129.90555,loss,-1.0,sl,wickdiffs_M_H4_ALL_20260121_202249.csv,157.5537878787879,1.0,30,0.9,1.3,1
M,ALL,H4,H4,AUDUSD,long,2015-01-01,2015-02-02,0.76264,0.77681,0.014170000000000016,2015-02-12 10:00:00,2015-02-12 14:00:00,0.76676,0.76713,2015-03-09 21:00:00,0.767495,0.79098,0.7494296153846154,2015-03-24 09:00:00,0.79098,win,1.3,tp,wickdiffs_M_H4_ALL_20260121_202249.csv,90.40075757575764,1.0,30,0.9,1.3,2
M,ALL,H4,H4,EURCHF,long,2015-01-01,2015-02-02,0.9714,1.03936,0.06796000000000002,2015-01-30 14:00:00,2015-01-30 18:00:00,1.03575,1.03724,2015-04-10 13:00:00,1.037475,1.10732,0.964604,2015-05-10 21:00:00,1.04313,win,0.07760288729398489,time_stop,wickdiffs_M_H4_ALL_20260121_202249.csv,148.7537878787876,1.0,30,0.9,1.3,1
M,ALL,H4,H4,AUDCHF,short,2015-02-02,2015-03-02,0.74487,0.77446,0.029590000000000005,2015-03-23 01:00:00,2015-03-23 05:00:00,0.76515,0.765595,2015-04-28 13:00:00,0.764775,0.71528,0.8028480769230769,2015-05-28 13:00:00,0.72481,win,1.0496918880695036,time_stop,wickdiffs_M_H4_ALL_20260121_202249.csv,96.1818181818182,1.0,30,0.9,1.3,2
M,ALL,H4,H4,CHFJPY,short,2015-01-01,2015-02-02,127.63,139.142,11.512,2015-01-27 10:00:00,2015-01-27 14:00:00,131.246,132.17,2015-05-07 09:00:00,130.363,116.118,141.3206923076923,2015-06-07 21:00:00,133.681,loss,-0.30280098280098383,time_stop,wickdiffs_M_H4_ALL_20260121_202249.csv,141.0128787878789,1.0,30,0.9,1.3,3
M,ALL,H4,H4,EURCHF,long,2015-03-02,2015-04-01,1.023445,1.04364,0.020194999999999963,2015-04-24 09:00:00,2015-04-24 13:00:00,1.032415,1.03272,2015-05-07 09:00:00,1.03396,1.0638349999999999,1.010979230769231,2015-06-07 21:00:00,1.044395,win,0.4540753138075321,time_stop,wickdiffs_M_H4_ALL_20260121_202249.csv,88.135606060606,1.0,30,0.9,1.3,4
M,ALL,H4,H4,NZDJPY,long,2015-03-02,2015-04-01,87.3135,89.742,2.4284999999999997,2015-04-01 21:00:00,2015-04-02 01:00:00,88.8425,88.904,2015-05-07 09:00:00,89.18,92.1705,86.87961538461539,2015-06-07 21:00:00,88.5135,loss,-0.2897341581675366,time_stop,wickdiffs_M_H4_ALL_20260121_202249.csv,100.8742424242424,1.0,30,0.9,1.3,5
M,ALL,H4,H4,NZDUSD,long,2015-03-02,2015-04-01,0.71913,0.74698,0.02784999999999993,2015-03-18 05:00:00,2015-03-18 09:00:00,0.72752,0.72844,2015-05-20 17:00:00,0.7307,0.7748299999999999,0.6967538461538463,2015-06-11 09:00:00,0.6967538461538463,loss,-1.0,sl,wickdiffs_M_H4_ALL_20260121_202249.csv,101.7575757575758,1.0,30,0.9,1.3,5
M,ALL,H4,H4,USDJPY,short,2015-03-02,2015-04-01,120.142,122.0285,1.886499999999998,2015-03-16 21:00:00,2015-03-17 01:00:00,121.5035,121.5225,2015-05-22 09:00:00,121.483,118.2555,123.96569230769232,2015-05-27 17:00:00,123.96569230769232,loss,-1.0,sl,wickdiffs_M_H4_ALL_20260121_202249.csv,80.64166666666685,1.0,30,0.9,1.3,6
M,ALL,H4,H4,GBPCHF,long,2015-04-01,2015-05-01,1.381755,1.43143,0.049674999999999914,2015-05-08 09:00:00,2015-05-08 13:00:00,1.4203,1.422325,2015-06-08 17:00:00,1.42358,1.481105,1.3767875,2015-07-01 17:00:00,1.481105,win,1.2293636800769314,tp,wickdiffs_M_H4_ALL_20260121_202249.csv,159.9863636363638,1.0,30,0.9,1.3,2
M,ALL,H4,H4,GBPUSD,short,2015-04-01,2015-05-01,1.535245,1.58152,0.046275000000000066,2015-05-18 01:00:00,2015-05-18 05:00:00,1.572855,1.5731,2015-06-17 05:00:00,1.57235,1.48897,1.6364884615384614,2015-07-17 05:00:00,1.56334,win,0.14047733269369092,time_stop,wickdiffs_M_H4_ALL_20260121_202249.csv,155.1386363636364,1.0,30,0.9,1.3,2
M,ALL,H4,H4,USDCHF,long,2015-04-01,2015-05-01,0.90721,0.93244,0.025230000000000086,2015-05-15 17:00:00,2015-05-17 21:00:00,0.913795,0.91513,2015-06-18 13:00:00,0.92326,0.9576700000000001,0.8967907692307691,2015-07-16 09:00:00,0.9576700000000001,win,1.3,tp,wickdiffs_M_H4_ALL_20260121_202249.csv,126.7212121212121,1.0,30,0.9,1.3,3
M,ALL,H4,H4,AUDCHF,long,2015-05-01,2015-06-01,0.708095,0.71867,0.010575000000000001,2015-06-17 13:00:00,2015-06-17 17:00:00,0.709095,0.709835,2015-07-03 05:00:00,0.70998,0.729245,0.6951607692307693,2015-07-10 13:00:00,0.6951607692307693,loss,-1.0,sl,wickdiffs_M_H4_ALL_20260121_202249.csv,97.43636363636352,1.0,30,0.9,1.3,3
M,ALL,H4,H4,USDCHF,short,2015-05-01,2015-06-01,0.940125,0.95432,0.014194999999999958,2015-05-27 09:00:00,2015-05-27 13:00:00,0.95381,0.95432,2015-07-15 13:00:00,0.952445,0.92593,0.9728411538461538,2015-08-04 13:00:00,0.9728411538461538,loss,-1.0,sl,wickdiffs_M_H4_ALL_20260121_202249.csv,117.3378787878787,1.0,30,0.9,1.3,3
M,ALL,H4,H4,AUDCAD,short,2015-06-01,2015-07-01,0.962915,0.971755,0.00884000000000007,2015-06-03 17:00:00,2015-06-03 21:00:00,0.96972,0.97015,2015-08-04 05:00:00,0.96902,0.9540749999999999,0.9805161538461539,2015-08-12 01:00:00,0.9540749999999999,win,1.3,tp,wickdiffs_M_H4_ALL_20260121_202249.csv,90.81060606060603,1.0,30,0.9,1.3,2
