mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,exit_reason,wickdiff_file,dyn_min_sl_pips,VOL,wd_special,active_trades_at_entry
M,ALL,H4,H4,GBPCHF,long,2015-04-01,2015-05-01,1.381755,1.43143,0.049674999999999914,2015-05-08 09:00:00,2015-05-08 13:00:00,1.4203,1.422325,2015-06-08 17:00:00,1.42358,1.481105,1.3767875,2015-07-01 17:00:00,1.481105,win,1.2293636800769314,TP,wickdiffs_M_H4_ALL_20260121_202249.csv,159.9863636363638,1.0,,1
M,ALL,H4,H4,USDCHF,short,2015-03-02,2015-04-01,0.97255,1.012865,0.04031499999999988,2015-04-14 05:00:00,2015-04-14 09:00:00,0.97898,0.97956,2015-08-04 17:00:00,0.9785,0.9322350000000001,1.0168964999999999,2015-08-24 13:00:00,0.9322350000000001,win,1.2049275324573878,TP,wickdiffs_M_H4_ALL_20260121_202249.csv,106.2431818181817,1.0,WD-INV-VAL,1
M,ALL,H4,H4,AUDNZD,long,2015-07-01,2015-08-03,1.089805,1.10786,0.018055000000000154,2015-08-27 21:00:00,2015-08-28 01:00:00,1.106335,1.106415,2015-09-01 21:00:00,1.107245,1.1259150000000002,1.0879995,2015-09-10 13:00:00,1.1259150000000002,win,0.9700969057701884,TP,wickdiffs_M_H4_ALL_20260121_202249.csv,112.7424242424242,1.0,,1
M,ALL,H4,H4,GBPUSD,long,2015-05-01,2015-06-01,1.50894,1.52935,0.02041000000000004,2015-06-08 05:00:00,2015-06-08 09:00:00,1.52214,1.522355,2015-09-03 13:00:00,1.525545,1.54976,1.506899,2015-09-16 13:00:00,1.54976,win,1.2986699560227488,TP,wickdiffs_M_H4_ALL_20260121_202249.csv,117.0772727272727,1.0,,2
M,ALL,H4,H4,CADJPY,short,2015-10-01,2015-11-02,92.233,93.262,1.0289999999999964,2015-11-20 10:00:00,2015-11-20 14:00:00,92.4275,92.5605,2015-12-01 06:00:00,92.3385,91.20400000000001,93.3649,2015-12-07 14:00:00,91.20400000000001,win,1.1053195635229716,TP,wickdiffs_M_H4_ALL_20260121_202249.csv,93.65454545454544,1.0,,1
M,ALL,H4,H4,NZDCHF,long,2016-02-01,2016-03-01,0.637245,0.657955,0.020710000000000006,2016-03-29 05:00:00,2016-03-29 09:00:00,0.654845,0.656235,2016-04-04 13:00:00,0.656705,0.678665,0.6351739999999999,2016-04-20 17:00:00,0.678665,win,1.0199247596488736,TP,wickdiffs_M_H4_ALL_20260121_202249.csv,103.3098484848485,1.0,,1
M,ALL,H4,H4,NZDJPY,long,2016-04-01,2016-05-02,72.547,74.176,1.6290000000000049,2016-05-27 17:00:00,2016-05-29 21:00:00,73.741,73.8205,2016-06-05 21:00:00,73.8875,75.805,72.38409999999999,2016-06-08 21:00:00,75.805,win,1.2754423307170326,TP,wickdiffs_M_H4_ALL_20260121_202249.csv,104.9219696969698,1.0,,1
M,ALL,H4,H4,EURUSD,long,2016-06-01,2016-07-01,1.0912,1.11062,0.019419999999999993,2016-07-28 13:00:00,2016-07-28 17:00:00,1.10686,1.10734,2016-08-05 13:00:00,1.10882,1.13004,1.089258,2016-08-16 09:00:00,1.13004,win,1.0847561599018594,TP,wickdiffs_M_H4_ALL_20260121_202249.csv,88.70151515151521,1.0,,1
M,ALL,H4,H4,EURCAD,short,2016-01-01,2016-02-01,1.51351,1.61053,0.0970200000000001,2016-02-24 10:00:00,2016-02-24 14:00:00,1.522565,1.526675,2016-11-09 02:00:00,1.51859,1.4164899999999998,1.6202320000000001,2016-12-01 14:00:00,1.4164899999999998,win,1.0045060112945465,TP,wickdiffs_M_H4_ALL_20260121_202249.csv,113.5840909090907,1.0,WD-INV-VAL,1
M,ALL,H4,H4,AUDCHF,short,2016-10-03,2016-11-01,0.752635,0.76647,0.01383499999999993,2016-11-25 18:00:00,2016-11-27 22:00:00,0.75484,0.75567,2016-12-04 22:00:00,0.75439,0.7388000000000001,0.7678535,2016-12-22 10:00:00,0.7388000000000001,win,1.1579455565046182,TP,wickdiffs_M_H4_ALL_20260121_202249.csv,76.09999999999998,1.0,,1
M,ALL,H4,H4,GBPNZD,long,2017-01-02,2017-02-01,1.68348,1.720455,0.03697499999999998,2017-02-28 14:00:00,2017-02-28 18:00:00,1.71632,1.71734,2017-03-01 18:00:00,1.720575,1.75743,1.6797825000000002,2017-03-08 10:00:00,1.75743,win,0.9034749034749102,TP,wickdiffs_M_H4_ALL_20260121_202249.csv,183.4818181818181,1.0,,1
