mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,exit_reason,planned_rr,wickdiff_special,wickdiff_file,dyn_min_sl_pips,VOL,active_trades_at_entry
M,ALL,H4,H4,EURJPY,long,2015-01-01,2015-02-02,130.1565,132.666,2.5095000000000027,2015-02-03 02:00:00,2015-02-03 06:00:00,132.3955,132.482,2015-03-04 14:00:00,132.62,135.1755,129.90555,2015-03-10 13:00:00,129.90555,loss,-1.0,sl_hit,0.9414430179225978,,wickdiffs_M_H4_ALL_20260121_202249.csv,157.5537878787879,1.0,1
M,ALL,H4,H4,EURCHF,long,2015-01-01,2015-02-02,0.9714,1.03936,0.06796000000000002,2015-01-30 14:00:00,2015-01-30 18:00:00,1.03575,1.03724,2015-04-10 13:00:00,1.037475,1.10732,0.964604,2015-05-10 21:00:00,1.04313,time_exit,0.07760288729398489,time_stop_30d,0.9584745646416304,,wickdiffs_M_H4_ALL_20260121_202249.csv,148.7537878787876,1.0,1
M,ALL,H4,H4,CHFJPY,short,2015-01-01,2015-02-02,127.63,139.142,11.512,2015-02-13 06:00:00,2015-02-13 10:00:00,128.259,128.2815,2015-04-30 17:00:00,128.035,116.118,140.29319999999998,2015-05-31 21:00:00,132.0435,time_exit,-0.32700559625393627,time_stop_30d,0.9721655708015869,,wickdiffs_M_H4_ALL_20260121_202249.csv,143.3181818181819,1.0,2
M,ALL,H4,H4,USDJPY,short,2015-03-02,2015-04-01,120.142,122.0285,1.886499999999998,2015-04-13 13:00:00,2015-04-13 17:00:00,120.242,120.43,2015-05-03 21:00:00,120.1655,118.2555,122.21714999999999,2015-05-26 05:00:00,122.21714999999999,loss,-1.0,sl_hit,0.9309580094070632,,wickdiffs_M_H4_ALL_20260121_202249.csv,88.7492424242426,1.0,3
M,ALL,H4,H4,NZDJPY,long,2015-03-02,2015-04-01,87.3135,89.742,2.4284999999999997,2015-04-15 05:00:00,2015-04-15 09:00:00,89.485,89.6205,2015-05-06 01:00:00,89.7525,92.1705,87.07065,2015-06-05 01:00:00,88.6775,time_exit,-0.40084270186625054,time_stop_30d,0.9016164215000873,,wickdiffs_M_H4_ALL_20260121_202249.csv,103.6242424242424,1.0,4
M,ALL,H4,H4,NZDUSD,long,2015-03-02,2015-04-01,0.71913,0.74698,0.02784999999999993,2015-04-13 09:00:00,2015-04-13 13:00:00,0.7422,0.74348,2015-05-07 13:00:00,0.74417,0.7748299999999999,0.716345,2015-05-28 09:00:00,0.716345,loss,-1.0,sl_hit,1.1018867924528273,,wickdiffs_M_H4_ALL_20260121_202249.csv,100.7848484848485,1.0,5
M,ALL,H4,H4,GBPCHF,long,2015-04-01,2015-05-01,1.381755,1.43143,0.049674999999999914,2015-05-08 09:00:00,2015-05-08 13:00:00,1.4203,1.422325,2015-06-08 17:00:00,1.42358,1.481105,1.3767875,2015-07-01 17:00:00,1.481105,win,1.2293636800769314,tp_hit,1.2293636800769314,,wickdiffs_M_H4_ALL_20260121_202249.csv,159.9863636363638,1.0,1
M,ALL,H4,H4,USDCHF,short,2015-03-02,2015-04-01,0.97255,1.012865,0.04031499999999988,2015-04-14 05:00:00,2015-04-14 09:00:00,0.97898,0.97956,2015-08-04 17:00:00,0.9785,0.9322350000000001,1.0168964999999999,2015-08-24 13:00:00,0.9322350000000001,win,1.2049275324573878,tp_hit,1.2049275324573878,INV-VAL,wickdiffs_M_H4_ALL_20260121_202249.csv,106.2431818181817,1.0,1
M,ALL,H4,H4,EURUSD,short,2015-06-01,2015-07-01,1.11381,1.14364,0.029830000000000023,2015-07-10 09:00:00,2015-07-10 13:00:00,1.1208,1.121605,2015-08-12 13:00:00,1.1175,1.08398,1.146623,2015-08-24 01:00:00,1.146623,loss,-1.0,sl_hit,1.1509803248291721,,wickdiffs_M_H4_ALL_20260121_202249.csv,129.8272727272728,1.0,2
M,ALL,H4,H4,AUDNZD,long,2015-07-01,2015-08-03,1.089805,1.10786,0.018055000000000154,2015-08-27 21:00:00,2015-08-28 01:00:00,1.106335,1.106415,2015-09-01 21:00:00,1.107245,1.1259150000000002,1.0879995,2015-09-10 13:00:00,1.1259150000000002,win,0.9700969057701884,tp_hit,0.9700969057701884,,wickdiffs_M_H4_ALL_20260121_202249.csv,112.7424242424242,1.0,1
