mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,planned_rr,wickdiff_file,dyn_min_sl_pips,VOL
M,ALL,H4,H4,AUDCAD,long,2022-06-01,2022-07-01,0.87359,0.8889,0.015310000000000046,2022-07-21 13:00:00,2022-07-21 17:00:00,0.8877,0.88796,2022-08-02 21:00:00,0.88826,0.9042100000000001,0.8720589999999999,2022-08-10 09:00:00,0.9042100000000001,win,0.9845071291895494,0.9845071291895494,wickdiffs_M_H4_ALL_20260121_202249.csv,79.5969696969696,1.0
M,ALL,H4,H4,AUDCAD,long,2024-01-01,2024-02-01,0.87264,0.88227,0.009630000000000027,2024-02-19 22:00:00,2024-02-20 02:00:00,0.88102,0.88104,2024-03-05 06:00:00,0.88141,0.8919,0.8716769999999999,2024-03-07 10:00:00,0.8919,win,1.0777766361861594,1.0777766361861594,wickdiffs_M_H4_ALL_20260121_202249.csv,54.8727272727273,1.0
M,ALL,H4,H4,AUDCAD,long,2025-04-01,2025-05-01,0.84416,0.88334,0.03917999999999999,2025-04-22 17:00:00,2025-04-22 21:00:00,0.87901,0.87924,2025-06-23 09:00:00,0.8808,0.92252,0.840242,2025-09-11 21:00:00,0.92252,win,1.02865032792544,1.02865032792544,wickdiffs_M_H4_ALL_20260121_202249.csv,78.69393939393936,1.0
M,ALL,H4,H4,AUDCHF,long,2016-02-01,2016-03-01,0.67534,0.71296,0.03761999999999999,2016-02-24 14:00:00,2016-02-24 18:00:00,0.70668,0.70709,2016-05-13 09:00:00,0.70935,0.75058,0.671578,2016-07-12 09:00:00,0.75058,win,1.0915492957746469,1.0915492957746469,wickdiffs_M_H4_ALL_20260121_202249.csv,96.61439393939396,1.0
M,ALL,H4,H4,AUDCHF,long,2018-06-01,2018-07-02,0.7276,0.73368,0.006079999999999974,2018-07-30 13:00:00,2018-07-30 17:00:00,0.73174,0.73186,2018-08-02 09:00:00,0.73296,0.73976,0.7269433333333333,2018-08-07 05:00:00,0.73976,win,1.1301939058171782,1.1301939058171782,wickdiffs_M_H4_ALL_20260121_202249.csv,60.16666666666673,1.0
M,ALL,H4,H4,AUDCHF,long,2019-08-01,2019-09-02,0.65006,0.66682,0.016759999999999997,2019-09-03 09:00:00,2019-09-03 13:00:00,0.66514,0.6653,2019-10-01 13:00:00,0.66624,0.68358,0.648384,2019-10-31 01:00:00,0.68358,win,0.9711021505376243,0.9711021505376243,wickdiffs_M_H4_ALL_20260121_202249.csv,54.49242424242431,1.0
M,ALL,H4,H4,AUDCHF,long,2020-03-02,2020-04-01,0.53433,0.58957,0.05524000000000007,2020-04-03 17:00:00,2020-04-05 21:00:00,0.58463,0.58537,2023-04-26 13:00:00,0.58912,0.6448100000000001,0.528806,2025-04-04 09:00:00,0.528806,loss,-1.0,0.9233345491925614,wickdiffs_M_H4_ALL_20260121_202249.csv,58.13181818181818,1.0
M,ALL,H4,H4,AUDCHF,long,2023-10-02,2023-11-01,0.56136,0.57688,0.015519999999999978,2023-11-30 10:00:00,2023-11-30 14:00:00,0.57581,0.57656,2023-12-04 22:00:00,0.57682,0.5923999999999999,0.559808,2024-03-21 05:00:00,0.5923999999999999,win,0.9158241241476548,0.9158241241476548,wickdiffs_M_H4_ALL_20260121_202249.csv,43.43636363636367,1.0
M,ALL,H4,H4,AUDCHF,short,2016-10-03,2016-11-01,0.752635,0.76647,0.01383499999999993,2016-11-25 18:00:00,2016-11-27 22:00:00,0.75484,0.75567,2016-12-04 22:00:00,0.75439,0.7388000000000001,0.7678535,2016-12-22 10:00:00,0.7388000000000001,win,1.1579455565046182,1.1579455565046182,wickdiffs_M_H4_ALL_20260121_202249.csv,76.09999999999998,1.0
M,ALL,H4,H4,AUDCHF,short,2023-06-01,2023-07-03,0.59614,0.61691,0.020769999999999955,2023-07-06 05:00:00,2023-07-06 09:00:00,0.59899,0.60001,2024-04-04 09:00:00,0.5986,0.57537,0.618987,2024-04-19 01:00:00,0.57537,win,1.1394516113209423,1.1394516113209423,wickdiffs_M_H4_ALL_20260121_202249.csv,37.12878787878784,1.0
M,ALL,H4,H4,AUDCHF,short,2025-01-01,2025-02-03,0.56383,0.57628,0.012449999999999961,2025-02-26 06:00:00,2025-02-26 10:00:00,0.56602,0.56698,2025-03-06 02:00:00,0.56456,0.5513800000000001,0.5775250000000001,2025-03-10 21:00:00,0.5513800000000001,win,1.016583108368665,1.016583108368665,wickdiffs_M_H4_ALL_20260121_202249.csv,45.11212121212121,1.0
M,ALL,H4,H4,AUDCHF,short,2025-05-01,2025-06-02,0.52951,0.54523,0.015719999999999956,2025-06-20 09:00:00,2025-06-20 13:00:00,0.53031,0.53078,2025-09-11 17:00:00,0.52998,0.5137900000000001,0.546802,2025-10-16 17:00:00,0.5137900000000001,win,0.962430150992743,0.962430150992743,wickdiffs_M_H4_ALL_20260121_202249.csv,36.8181818181819,1.0
M,ALL,H4,H4,AUDJPY,long,2023-12-01,2024-01-01,93.74,96.04,2.3000000000000114,2023-12-18 22:00:00,2023-12-19 02:00:00,95.485,95.664,2024-02-01 06:00:00,95.818,98.34000000000002,93.50999999999999,2024-02-20 06:00:00,98.34000000000002,win,1.092720970537267,1.092720970537267,wickdiffs_M_H4_ALL_20260121_202249.csv,79.89242424242418,1.0
M,ALL,H4,H4,AUDJPY,long,2024-07-01,2024-08-01,90.139,98.066,7.927000000000007,2024-08-09 17:00:00,2024-08-11 21:00:00,96.22,96.341,2024-09-04 21:00:00,96.618,105.99300000000001,89.3463,2025-04-04 09:00:00,89.3463,loss,-1.0,1.289244605800572,wickdiffs_M_H4_ALL_20260121_202249.csv,122.010606060606,1.0
M,ALL,H4,H4,AUDJPY,short,2019-01-01,2019-02-01,79.2,79.844,0.6439999999999912,2019-02-26 14:00:00,2019-02-26 18:00:00,79.546,79.558,2019-03-01 10:00:00,79.453,78.55600000000001,80.32362121212121,2019-03-06 02:00:00,78.55600000000001,win,1.0302988113677005,1.0302988113677005,wickdiffs_M_H4_ALL_20260121_202249.csv,87.0621212121212,1.0
M,ALL,H4,H4,AUDNZD,long,2022-12-01,2023-01-02,1.04712,1.07354,0.026419999999999888,2022-12-30 10:00:00,2022-12-30 14:00:00,1.06794,1.06948,2023-03-14 01:00:00,1.07049,1.0999599999999998,1.044478,2023-06-07 05:00:00,1.0999599999999998,win,1.1329386437029052,1.1329386437029052,wickdiffs_M_H4_ALL_20260121_202249.csv,71.07424242424251,1.0
M,ALL,H4,H4,AUDNZD,long,2025-05-01,2025-06-02,1.07272,1.07878,0.006060000000000176,2025-06-29 21:00:00,2025-06-30 01:00:00,1.07641,1.07673,2025-07-01 09:00:00,1.07754,1.0848400000000002,1.0718983333333332,2025-07-08 01:00:00,1.0848400000000002,win,1.2939438700148167,1.2939438700148167,wickdiffs_M_H4_ALL_20260121_202249.csv,56.41666666666704,1.0
M,ALL,H4,H4,AUDNZD,short,2016-03-01,2016-04-01,1.108245,1.13338,0.02513500000000013,2016-04-27 17:00:00,2016-04-27 21:00:00,1.11205,1.11234,2017-09-01 09:00:00,1.111215,1.0831099999999998,1.1358935000000001,2017-09-21 13:00:00,1.0831099999999998,win,1.1388455538221616,1.1388455538221616,wickdiffs_M_H4_ALL_20260121_202249.csv,70.15303030303036,1.0
M,ALL,H4,H4,AUDNZD,short,2023-06-01,2023-07-03,1.08527,1.10548,0.02021000000000006,2023-07-27 05:00:00,2023-07-27 09:00:00,1.08918,1.08992,2023-08-31 01:00:00,1.08796,1.06506,1.107501,2023-10-08 21:00:00,1.06506,win,1.171894990020987,1.171894990020987,wickdiffs_M_H4_ALL_20260121_202249.csv,57.9196969696968,1.0
M,ALL,H4,H4,AUDNZD,short,2024-10-01,2024-11-01,1.10108,1.11806,0.016979999999999995,2024-11-27 22:00:00,2024-11-28 02:00:00,1.1031,1.10316,2024-12-03 18:00:00,1.103,1.0841,1.119758,2025-04-04 09:00:00,1.0841,win,1.127819548872172,1.127819548872172,wickdiffs_M_H4_ALL_20260121_202249.csv,47.20000000000007,1.0
M,ALL,H4,H4,AUDUSD,long,2018-04-02,2018-05-01,0.74126,0.75299,0.011730000000000018,2018-05-23 05:00:00,2018-05-23 09:00:00,0.75224,0.75263,2018-06-01 09:00:00,0.7529,0.7647200000000001,0.740087,2018-06-04 09:00:00,0.7647200000000001,win,0.9225005853430177,0.9225005853430177,wickdiffs_M_H4_ALL_20260121_202249.csv,59.29545454545456,1.0
M,ALL,H4,H4,AUDUSD,long,2018-12-03,2019-01-01,0.6725,0.70504,0.03254000000000001,2019-01-04 10:00:00,2019-01-04 14:00:00,0.70262,0.70345,2019-03-06 02:00:00,0.70362,0.73758,0.669246,2019-08-07 01:00:00,0.669246,loss,-1.0,0.9879560132658397,wickdiffs_M_H4_ALL_20260121_202249.csv,62.93636363636358,1.0
M,ALL,H4,H4,AUDUSD,short,2021-02-01,2021-03-01,0.77038,0.80072,0.030340000000000034,2021-03-22 13:00:00,2021-03-22 17:00:00,0.77548,0.77566,2021-04-15 05:00:00,0.77546,0.7400399999999999,0.803754,2021-07-16 13:00:00,0.7400399999999999,win,1.2518555170707644,1.2518555170707644,wickdiffs_M_H4_ALL_20260121_202249.csv,73.95909090909092,1.0
M,ALL,H4,H4,CADCHF,long,2016-10-03,2016-11-01,0.70614,0.737645,0.031505000000000005,2016-11-15 06:00:00,2016-11-15 10:00:00,0.7348,0.73502,2017-03-27 13:00:00,0.737035,0.76915,0.7029894999999999,2017-07-27 09:00:00,0.76915,win,0.9432964708992362,0.9432964708992362,wickdiffs_M_H4_ALL_20260121_202249.csv,54.31212121212118,1.0
M,ALL,H4,H4,CADCHF,long,2020-03-02,2020-04-01,0.66057,0.68348,0.022909999999999986,2020-04-22 01:00:00,2020-04-22 05:00:00,0.68138,0.68164,2020-05-01 13:00:00,0.6819,0.70639,0.658279,2020-05-27 09:00:00,0.70639,win,1.0367892976588633,1.0367892976588633,wickdiffs_M_H4_ALL_20260121_202249.csv,80.40757575757574,1.0
M,ALL,H4,H4,CADCHF,long,2021-11-01,2021-12-01,0.70975,0.71874,0.008990000000000054,2021-12-30 22:00:00,2021-12-31 02:00:00,0.71668,0.71698,2022-01-06 06:00:00,0.71856,0.7277300000000001,0.708851,2022-01-10 02:00:00,0.7277300000000001,win,0.9444844989185449,0.9444844989185449,wickdiffs_M_H4_ALL_20260121_202249.csv,53.10303030303032,1.0
M,ALL,H4,H4,CADCHF,short,2020-05-01,2020-06-01,0.69784,0.72023,0.02239000000000002,2020-06-23 09:00:00,2020-06-23 13:00:00,0.69988,0.70184,2020-07-15 17:00:00,0.69904,0.67545,0.722469,2020-07-31 01:00:00,0.67545,win,1.0068718255153855,1.0068718255153855,wickdiffs_M_H4_ALL_20260121_202249.csv,60.57424242424241,1.0
M,ALL,H4,H4,CADJPY,long,2020-03-02,2020-04-01,73.812,76.474,2.662000000000006,2020-04-27 09:00:00,2020-04-27 13:00:00,76.048,76.092,2020-05-01 09:00:00,76.112,79.13600000000001,73.5458,2020-06-01 13:00:00,79.13600000000001,win,1.1783960720131015,1.1783960720131015,wickdiffs_M_H4_ALL_20260121_202249.csv,114.5954545454545,1.0
M,ALL,H4,H4,CADJPY,short,2015-10-01,2015-11-02,92.233,93.262,1.0289999999999964,2015-11-20 10:00:00,2015-11-20 14:00:00,92.4275,92.5605,2015-12-01 06:00:00,92.3385,91.20400000000001,93.3649,2015-12-07 14:00:00,91.20400000000001,win,1.1053195635229716,1.1053195635229716,wickdiffs_M_H4_ALL_20260121_202249.csv,93.65454545454544,1.0
M,ALL,H4,H4,CHFJPY,long,2016-04-01,2016-05-02,109.844,110.846,1.0020000000000095,2016-05-27 09:00:00,2016-05-27 13:00:00,110.4735,110.563,2016-06-01 05:00:00,110.728,111.84800000000001,109.61041666666667,2016-06-03 09:00:00,109.61041666666667,loss,-1.0,1.0021624039967352,wickdiffs_M_H4_ALL_20260121_202249.csv,111.7583333333334,1.0
M,ALL,H4,H4,CHFJPY,long,2021-02-01,2021-03-01,115.914,117.295,1.3810000000000002,2021-03-30 13:00:00,2021-03-30 17:00:00,116.856,117.014,2021-04-01 01:00:00,117.039,118.676,115.77590000000001,2021-04-12 13:00:00,118.676,win,1.2960177341461545,1.2960177341461545,wickdiffs_M_H4_ALL_20260121_202249.csv,62.94696969696971,1.0
M,ALL,H4,H4,CHFJPY,short,2019-10-01,2019-11-01,109.544,110.395,0.8509999999999991,2019-11-28 10:00:00,2019-11-28 14:00:00,109.673,109.682,2019-12-02 02:00:00,109.64,108.693,110.4801,2019-12-10 18:00:00,110.4801,loss,-1.0,1.1272467563385444,wickdiffs_M_H4_ALL_20260121_202249.csv,55.69696969696955,1.0
M,ALL,H4,H4,CHFJPY,short,2020-01-01,2020-02-03,112.47,114.389,1.918999999999997,2020-02-26 22:00:00,2020-02-27 02:00:00,113.238,113.254,2020-03-02 22:00:00,112.814,110.551,114.5809,2020-03-09 01:00:00,110.551,win,1.2807742373648663,1.2807742373648663,wickdiffs_M_H4_ALL_20260121_202249.csv,58.25075757575758,1.0
