mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,wickdiff_file,dyn_min_sl_pips,VOL
M,INNER,H4,H4,AUDCAD,long,2016-08-01,2016-09-01,0.9762,0.98514,0.008940000000000059,2016-08-19 05:00:00,2016-08-19 09:00:00,0.9762,0.9763,2016-12-11 22:00:00,0.97848,0.9940800000000001,0.9666506439393939,2017-01-03 10:00:00,0.9666506439393939,loss,-1.0,wickdiffs_M_H4_INNER_20260102_165320.csv,118.29356060606058,1.5
M,INNER,H4,H4,AUDCAD,long,2017-03-01,2017-04-03,0.9926,1.01595,0.02334999999999987,2017-04-19 13:00:00,2017-04-19 17:00:00,1.00882,1.00951,2017-05-08 01:00:00,1.0108,1.0393,0.9902650000000001,2017-07-04 01:00:00,0.9902650000000001,loss,-1.0,wickdiffs_M_H4_INNER_20260102_165320.csv,101.97575757575768,1.5
M,INNER,H4,H4,AUDCAD,long,2017-06-01,2017-07-03,0.9736,0.9967,0.02310000000000001,2017-07-12 13:00:00,2017-07-12 17:00:00,0.9736,0.97466,2017-09-06 13:00:00,0.97834,1.0198,0.9505144966442952,2018-03-13 13:00:00,1.0198,win,1.49,wickdiffs_M_H4_INNER_20260102_165320.csv,115.00833333333333,1.5
M,INNER,H4,H4,AUDCAD,long,2021-11-01,2021-12-01,0.89722,0.91087,0.01364999999999994,2021-12-03 18:00:00,2021-12-05 22:00:00,0.89804,0.8982,2022-01-18 10:00:00,0.89908,0.9245199999999999,0.8820061744966443,2022-03-01 18:00:00,0.9245199999999999,win,1.49,wickdiffs_M_H4_INNER_20260102_165320.csv,84.27424242424242,1.5
M,INNER,H4,H4,AUDCAD,long,2022-04-01,2022-05-02,0.89192,0.90796,0.016039999999999943,2022-05-16 01:00:00,2022-05-16 05:00:00,0.89192,0.89227,2022-06-13 13:00:00,0.8923,0.9239999999999999,0.8710248322147651,2022-10-10 01:00:00,0.8710248322147651,loss,-1.0,wickdiffs_M_H4_INNER_20260102_165320.csv,113.45681818181811,1.5
M,INNER,H4,H4,AUDCAD,long,2023-06-01,2023-07-03,0.87442,0.88236,0.007940000000000058,2023-06-28 21:00:00,2023-06-29 01:00:00,0.87442,0.8748,2023-08-02 05:00:00,0.87646,0.8903000000000001,0.8662039393939395,2023-08-17 01:00:00,0.8662039393939395,loss,-1.0,wickdiffs_M_H4_INNER_20260102_165320.csv,102.56060606060586,1.5
M,INNER,H4,H4,AUDCAD,short,2015-06-01,2015-07-01,0.962915,0.971755,0.00884000000000007,2015-06-03 17:00:00,2015-06-03 21:00:00,0.96972,0.970145,2015-08-04 05:00:00,0.96902,0.9540749999999999,0.9826342045454546,2015-08-12 01:00:00,0.9540749999999999,win,1.0977505112474513,wickdiffs_M_H4_INNER_20260102_165320.csv,136.1420454545454,1.5
M,INNER,H4,H4,AUDCAD,short,2016-07-01,2016-08-01,0.99106,1.0118,0.02073999999999998,2016-08-12 09:00:00,2016-08-12 13:00:00,1.0,1.00012,2016-09-20 13:00:00,0.99816,0.9703200000000001,1.0168445637583894,2016-10-24 01:00:00,1.0168445637583894,loss,-1.0,wickdiffs_M_H4_INNER_20260102_165320.csv,123.31287878787887,1.5
M,INNER,H4,H4,AUDCAD,short,2019-03-01,2019-04-01,0.94733,0.96146,0.014129999999999976,2019-04-18 01:00:00,2019-04-18 05:00:00,0.96016,0.96084,2020-07-21 17:00:00,0.9594,0.9332,0.9769838926174497,2020-10-15 05:00:00,0.9332,win,1.49,wickdiffs_M_H4_INNER_20260102_165320.csv,110.3356060606061,1.5
M,INNER,H4,H4,AUDCAD,short,2023-07-03,2023-08-01,0.88602,0.90567,0.019649999999999945,2023-07-18 01:00:00,2023-07-18 05:00:00,0.90134,0.90159,2023-11-20 22:00:00,0.90098,0.8663700000000001,0.924208187919463,2024-07-11 13:00:00,0.924208187919463,loss,-1.0,wickdiffs_M_H4_INNER_20260102_165320.csv,95.17803030303033,1.5
M,INNER,H4,H4,AUDCHF,long,2015-05-01,2015-06-01,0.708095,0.71867,0.010575000000000001,2015-06-17 13:00:00,2015-06-17 17:00:00,0.709095,0.709835,2015-07-03 05:00:00,0.70998,0.729245,0.6953601136363637,2015-07-10 13:00:00,0.6953601136363637,loss,-1.0,wickdiffs_M_H4_INNER_20260102_165320.csv,146.19886363636346,1.5
M,INNER,H4,H4,AUDCHF,long,2016-02-01,2016-03-01,0.67534,0.71296,0.03761999999999999,2016-02-24 14:00:00,2016-02-24 18:00:00,0.70668,0.70709,2016-05-13 09:00:00,0.70935,0.75058,0.671578,2016-07-12 09:00:00,0.75058,win,1.0915492957746469,wickdiffs_M_H4_INNER_20260102_165320.csv,145.44886363636365,1.5
