mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,wickdiff_file,dyn_min_sl_pips,VOL
M,OUTSIDE,H4,D1,AUDCAD,long,2016-08-01,2016-09-01,0.9762,0.98514,0.008940000000000059,2016-09-05 17:00:00,2016-09-05 21:00:00,0.98016,0.98026,2016-12-09,0.981655,0.9940800000000001,0.969825946969697,2016-12-20,0.969825946969697,loss,-1.0,wickdiffs_M_H4_OUTSIDE_20260102_165320.csv,118.29053030303027,1.5
M,OUTSIDE,H4,D1,AUDCAD,long,2017-06-01,2017-07-03,0.9736,0.9967,0.02310000000000001,2017-07-28 17:00:00,2017-07-30 21:00:00,0.9925,0.99262,2017-08-22,0.994,1.0198,0.97129,2017-09-06,0.97129,loss,-1.0,wickdiffs_M_H4_OUTSIDE_20260102_165320.csv,114.71969696969698,1.5
M,OUTSIDE,H4,D1,AUDCAD,short,2020-12-01,2021-01-01,0.9791,0.99012,0.01102000000000003,2021-01-27 02:00:00,2021-01-27 06:00:00,0.98466,0.98472,2021-02-09,0.98232,0.9680799999999999,0.9918770469798658,2021-02-19,0.9918770469798658,loss,-1.0,wickdiffs_M_H4_OUTSIDE_20260102_165320.csv,90.46212121212113,1.5
M,OUTSIDE,H4,D1,AUDCAD,short,2021-08-02,2021-09-01,0.9229,0.93769,0.01478999999999997,2021-09-20 17:00:00,2021-09-20 21:00:00,0.9304,0.9308,2021-10-26,0.9294,0.9081100000000001,0.9436885906040268,2021-11-26,0.9081100000000001,win,1.49,wickdiffs_M_H4_OUTSIDE_20260102_165320.csv,79.55681818181822,1.5
M,OUTSIDE,H4,D1,AUDCHF,long,2016-02-01,2016-03-01,0.67534,0.71296,0.03761999999999999,2016-02-29 22:00:00,2016-03-01 02:00:00,0.70936,0.70942,2016-05-09,0.710485,0.75058,0.671578,2016-07-12,0.75058,win,1.0305343511450373,wickdiffs_M_H4_OUTSIDE_20260102_165320.csv,151.3534090909091,1.5
M,OUTSIDE,H4,D1,AUDCHF,long,2019-08-01,2019-09-02,0.65006,0.66682,0.016759999999999997,2019-09-03 09:00:00,2019-09-03 13:00:00,0.66514,0.6653,2019-10-01,0.66575,0.68358,0.648384,2019-10-31,0.68358,win,1.0267188759645296,wickdiffs_M_H4_OUTSIDE_20260102_165320.csv,81.54621212121222,1.5
M,OUTSIDE,H4,D1,AUDCHF,short,2016-10-03,2016-11-01,0.752635,0.76647,0.01383499999999993,2016-11-28 14:00:00,2016-11-28 18:00:00,0.7589,0.75981,2016-12-09,0.75754,0.7388000000000001,0.7701171812080536,2016-12-22,0.7388000000000001,win,1.49,wickdiffs_M_H4_OUTSIDE_20260102_165320.csv,116.44166666666663,1.5
M,OUTSIDE,H4,D1,AUDCHF,short,2020-06-01,2020-07-01,0.65395,0.67434,0.02039000000000002,2020-07-22 09:00:00,2020-07-22 13:00:00,0.66733,0.66872,2020-08-31,0.66658,0.63356,0.6887410738255033,2021-01-08,0.6887410738255033,loss,-1.0,wickdiffs_M_H4_OUTSIDE_20260102_165320.csv,93.10454545454544,1.5
M,OUTSIDE,H4,D1,AUDCHF,short,2022-03-01,2022-04-01,0.6906,0.70946,0.018859999999999988,2022-04-29 09:00:00,2022-04-29 13:00:00,0.69718,0.69732,2022-05-03,0.69447,0.67174,0.711346,2022-06-17,0.67174,win,1.3468831476653251,wickdiffs_M_H4_OUTSIDE_20260102_165320.csv,100.27196969696965,1.5
M,OUTSIDE,H4,D1,AUDCHF,short,2025-01-01,2025-02-03,0.56383,0.57628,0.012449999999999961,2025-02-26 14:00:00,2025-02-26 18:00:00,0.56492,0.56544,2025-03-05,0.56438,0.5513800000000001,0.5775250000000001,2025-03-11,0.5513800000000001,win,0.9889691898059968,wickdiffs_M_H4_OUTSIDE_20260102_165320.csv,65.75075757575756,1.5
