mode,ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed
M,3D,AUDCAD,long,2017-06-01,2017-07-03,0.9736,0.9967,0.02310000000000001,2017-07-21,2017-07-26,0.98614,0.98887,2017-08-24,0.99593,1.0198,0.97129,2017-09-06,0.97129,loss,-1.0
M,3D,AUDCAD,long,2021-11-01,2021-12-01,0.89722,0.91087,0.01364999999999994,2021-12-03,2021-12-08,0.89722,0.89966,2022-01-24,0.90136,0.9245199999999999,0.8858163758389264,2022-02-25,0.9245199999999999,win,1.49
M,3D,AUDCAD,short,2016-07-01,2016-08-01,0.99106,1.0118,0.02073999999999998,2016-08-08,2016-08-11,1.0094,1.0118,2016-09-30,1.00522,0.9703200000000001,1.0286428187919463,2016-10-31,1.0286428187919463,loss,-1.0
M,3D,AUDCAD,short,2019-03-01,2019-04-01,0.94733,0.96146,0.014129999999999976,2019-04-11,2019-04-16,0.96024,0.96146,2020-07-21,0.95176,0.9332,0.9642163758389263,2020-07-29,0.9642163758389263,loss,-1.0
M,3D,AUDCAD,short,2020-12-01,2021-01-01,0.9791,0.99012,0.01102000000000003,2021-01-22,2021-01-27,0.98512,0.98584,2021-02-09,0.98496,0.9680799999999999,0.9962888590604027,2021-02-22,0.9962888590604027,loss,-1.0
M,3D,AUDCHF,long,2023-10-02,2023-11-01,0.56136,0.57688,0.015519999999999978,2023-11-08,2023-11-13,0.57251,0.57316,2023-12-28,0.57318,0.5923999999999999,0.559808,2024-03-20,0.5923999999999999,win,1.4373317379599035
M,3D,AUDCHF,short,2016-10-03,2016-11-01,0.752635,0.76647,0.01383499999999993,2016-11-24,2016-11-29,0.7597,0.75981,2016-12-07,0.75754,0.7388000000000001,0.7701171812080536,2016-12-20,0.7388000000000001,win,1.49
M,3D,AUDCHF,short,2020-06-01,2020-07-01,0.65395,0.67434,0.02039000000000002,2020-07-24,2020-07-29,0.65908,0.66032,2020-08-06,0.6546,0.63356,0.6763790000000001,2020-12-23,0.6763790000000001,loss,-1.0
M,3D,AUDCHF,short,2022-03-01,2022-04-01,0.6906,0.70946,0.018859999999999988,2022-04-18,2022-04-21,0.70693,0.70784,2022-05-04,0.69959,0.67174,0.7182812751677853,2022-06-15,0.67174,win,1.49
M,3D,AUDJPY,long,2017-08-01,2017-09-01,85.454,87.385,1.9310000000000116,2017-09-06,2017-09-11,86.56,86.8505,2017-10-26,87.011,89.31600000000002,85.26089999999999,2017-11-16,85.26089999999999,loss,-1.0
