pair,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCAD,4,1,3,-0.3775,25.0,1.49,-1.0
AUDCHF,2,2,0,1.4636658689799518,100.0,1.4636658689799518,
AUDJPY,4,2,2,0.011652208866755887,50.0,1.0233044177335118,-1.0
AUDNZD,7,3,4,0.04137611950949628,42.857142857142854,1.4298776121888246,-1.0
AUDUSD,1,1,0,1.0596754380293532,100.0,1.0596754380293532,
CADCHF,2,2,0,1.278509171562161,100.0,1.278509171562161,
CADJPY,4,2,2,0.245,50.0,1.49,-1.0
CHFJPY,2,1,1,-0.022720263184950962,50.0,0.9545594736300981,-1.0
EURAUD,1,0,1,-1.0,0.0,,-1.0
EURCAD,8,3,5,-0.10420001620060759,37.5,1.3887999567983798,-1.0
EURCHF,4,2,2,0.19522727272727497,50.0,1.39045454545455,-1.0
EURGBP,5,5,0,1.4272558047231632,100.0,1.4272558047231632,
EURJPY,1,0,1,-1.0,0.0,,-1.0
EURNZD,4,2,2,0.1358996937212842,50.0,1.2717993874425684,-1.0
EURUSD,6,3,3,0.24499999999999997,50.0,1.49,-1.0
GBPAUD,4,2,2,0.245,50.0,1.49,-1.0
GBPCAD,4,3,1,0.8674999999999999,75.0,1.49,-1.0
GBPCHF,1,0,1,-1.0,0.0,,-1.0
GBPJPY,7,5,2,0.731981982392582,71.42857142857143,1.424774775349615,-1.0
GBPNZD,2,0,2,-1.0,0.0,,-1.0
GBPUSD,5,4,1,0.8421471218207589,80.0,1.3026839022759487,-1.0
NZDCAD,2,2,0,1.428725180692867,100.0,1.428725180692867,
NZDCHF,4,3,1,0.8102292576419179,75.0,1.4136390101892238,-1.0
NZDJPY,2,1,1,0.245,50.0,1.49,-1.0
NZDUSD,2,0,2,-1.0,0.0,,-1.0
USDCAD,2,2,0,1.3250000000000028,100.0,1.3250000000000028,
USDCHF,3,3,0,1.4438701165229222,100.0,1.4438701165229222,
USDJPY,6,2,4,-0.17,33.33333333333333,1.49,-1.0
ALL,99,56,43,0.3508747540601659,56.56565656565656,1.3881535830706504,-1.0
