pair,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCAD,1,0,1,-1.0,0.0,,-1.0
AUDCHF,3,2,1,0.6424439126533011,66.66666666666666,1.4636658689799518,-1.0
AUDJPY,3,2,1,0.34886961182234116,66.66666666666666,1.0233044177335118,-1.0
AUDNZD,3,1,2,-0.17,33.33333333333333,1.49,-1.0
AUDUSD,2,1,1,0.029837719014676578,50.0,1.0596754380293532,-1.0
CADJPY,1,0,1,-1.0,0.0,,-1.0
CHFJPY,2,1,1,-0.022720263184950962,50.0,0.9545594736300981,-1.0
EURCAD,4,0,4,-1.0,0.0,,-1.0
EURCHF,3,2,1,0.5080326914682042,66.66666666666666,1.2620490372023063,-1.0
EURGBP,2,2,0,1.4550000000000107,100.0,1.4550000000000107,
EURNZD,2,1,1,0.02679938744256838,50.0,1.0535987748851368,-1.0
EURUSD,4,3,1,0.8246474891918869,75.0,1.432863318922516,-1.0
GBPAUD,2,0,2,-1.0,0.0,,-1.0
GBPCAD,1,0,1,-1.0,0.0,,-1.0
GBPCHF,1,0,1,-1.0,0.0,,-1.0
GBPJPY,3,2,1,0.5971316371488783,66.66666666666666,1.3956974557233175,-1.0
GBPUSD,4,2,2,0.002984846889424325,50.0,1.0059696937788487,-1.0
NZDCHF,2,1,1,0.245,50.0,1.49,-1.0
NZDUSD,3,0,3,-1.0,0.0,,-1.0
USDCAD,1,1,0,1.1600000000000055,100.0,1.1600000000000055,
USDCHF,2,2,0,1.3803586516640163,100.0,1.3803586516640163,
ALL,49,23,26,0.07099007945869522,46.93877551020408,1.2816745171076551,-1.0
