pair,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCAD,5,1,4,-0.502,20.0,1.49,-1.0
AUDCHF,4,3,1,0.8543329344899759,75.0,1.4724439126533013,-1.0
AUDJPY,4,2,2,0.011652208866755887,50.0,1.0233044177335118,-1.0
AUDNZD,8,3,5,-0.08879589542919075,37.5,1.4298776121888246,-1.0
AUDUSD,2,1,1,0.029837719014676578,50.0,1.0596754380293532,-1.0
CADCHF,2,2,0,1.278509171562161,100.0,1.278509171562161,
CADJPY,4,2,2,0.245,50.0,1.49,-1.0
CHFJPY,2,1,1,-0.022720263184950962,50.0,0.9545594736300981,-1.0
EURAUD,1,0,1,-1.0,0.0,,-1.0
EURCAD,9,3,6,-0.20373334773387344,33.33333333333333,1.3887999567983798,-1.0
EURCHF,5,3,2,0.36300143306274246,60.0,1.2716690551045708,-1.0
EURGBP,5,5,0,1.4272558047231632,100.0,1.4272558047231632,
EURJPY,1,0,1,-1.0,0.0,,-1.0
EURNZD,4,2,2,0.1358996937212842,50.0,1.2717993874425684,-1.0
EURUSD,7,4,3,0.3983699938239354,57.14285714285714,1.447147489191887,-1.0
NZDCAD,2,2,0,1.428725180692867,100.0,1.428725180692867,
NZDCHF,4,3,1,0.8102292576419179,75.0,1.4136390101892238,-1.0
NZDJPY,2,1,1,0.245,50.0,1.49,-1.0
NZDUSD,4,0,4,-1.0,0.0,,-1.0
USDCAD,3,3,0,1.380000000000002,100.0,1.380000000000002,
USDCHF,4,4,0,1.435179325832008,100.0,1.435179325832008,
USDJPY,6,2,4,-0.17,33.33333333333333,1.49,-1.0
ALL,88,47,41,0.26924756989813603,53.40909090909091,1.376463535128425,-1.0
