mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,wickdiff_file
W,ALL,H1,H12,AUDCHF,long,2024-01-08,2024-01-15,0.56394,0.5701,0.006160000000000054,2024-01-18 02:00:00,2024-01-18 03:00:00,0.56624,0.56632,2024-01-30 22:00:00,0.56802,0.5762600000000001,0.562489798657718,2024-02-01 10:00:00,0.562489798657718,loss,-1.0,wickdiffs_W_H1_ALL_20251228_173936.csv
W,ALL,H1,H12,AUDJPY,short,2024-01-01,2024-01-08,97.14,97.8,0.6599999999999966,2024-01-11 02:00:00,2024-01-11 03:00:00,97.775,97.8,2024-01-21 22:00:00,97.569,96.48,98.29987248322148,2024-01-31 10:00:00,96.48,win,1.49,wickdiffs_W_H1_ALL_20251228_173936.csv
W,ALL,H1,H12,AUDJPY,short,2024-05-13,2024-05-20,104.184,104.566,0.382000000000005,2024-05-20 04:00:00,2024-05-20 05:00:00,104.47,104.493,2024-05-27 21:00:00,104.464,103.80199999999999,104.964,2024-05-29 21:00:00,103.80199999999999,win,1.3240000000000123,wickdiffs_W_H1_ALL_20251228_173936.csv
W,ALL,H1,H12,AUDNZD,short,2024-01-22,2024-01-29,1.0796,1.08332,0.0037200000000001676,2024-01-23 01:00:00,2024-01-23 02:00:00,1.08328,1.08332,2024-03-20 09:00:00,1.08318,1.0758799999999997,1.08818,2024-03-24 21:00:00,1.08818,loss,-1.0,wickdiffs_W_H1_ALL_20251228_173936.csv
W,ALL,H1,H12,AUDNZD,short,2024-04-22,2024-04-29,1.10002,1.10276,0.0027399999999999647,2024-05-02 14:00:00,2024-05-02 15:00:00,1.10242,1.10246,2024-05-06 09:00:00,1.10241,1.09728,1.1074099999999998,2024-05-07 21:00:00,1.09728,win,1.0259999999999714,wickdiffs_W_H1_ALL_20251228_173936.csv
W,ALL,H1,H12,AUDUSD,long,2024-03-18,2024-03-25,0.64854,0.65146,0.0029200000000000337,2024-03-28 09:00:00,2024-03-28 10:00:00,0.64854,0.64874,2024-04-01 09:00:00,0.64901,0.6543800000000001,0.64401,2024-04-03 09:00:00,0.6543800000000001,win,1.0740000000000194,wickdiffs_W_H1_ALL_20251228_173936.csv
W,ALL,H1,H12,CADCHF,long,2024-04-15,2024-04-22,0.653,0.6622,0.009199999999999986,2024-04-19 15:00:00,2024-04-19 16:00:00,0.66091,0.66111,2024-05-03 09:00:00,0.66142,0.6714,0.65208,2024-06-04 09:00:00,0.65208,loss,-1.0,wickdiffs_W_H1_ALL_20251228_173936.csv
W,ALL,H1,H12,CADCHF,short,2024-01-01,2024-01-08,0.63648,0.64118,0.0046999999999999265,2024-01-03 11:00:00,2024-01-03 12:00:00,0.64062,0.64118,2024-01-17 10:00:00,0.64002,0.6317800000000001,0.6455502013422818,2024-01-19 10:00:00,0.6455502013422818,loss,-1.0,wickdiffs_W_H1_ALL_20251228_173936.csv
W,ALL,H1,H12,CADJPY,long,2024-01-22,2024-01-29,108.822,110.126,1.304000000000002,2024-02-02 11:00:00,2024-02-02 12:00:00,109.51,109.512,2024-02-06 10:00:00,109.654,111.43,108.46205369127516,2024-02-15 22:00:00,111.43,win,1.49,wickdiffs_W_H1_ALL_20251228_173936.csv
W,ALL,H1,H12,CADJPY,short,2024-01-01,2024-01-08,108.254,109.238,0.9839999999999947,2024-01-11 13:00:00,2024-01-11 14:00:00,109.136,109.238,2024-01-16 10:00:00,109.074,107.27000000000001,110.28473825503355,2024-01-19 10:00:00,110.28473825503355,loss,-1.0,wickdiffs_W_H1_ALL_20251228_173936.csv
W,ALL,H1,H12,CHFJPY,long,2024-02-12,2024-02-19,169.424,170.506,1.0819999999999936,2024-02-14 08:00:00,2024-02-14 09:00:00,169.462,169.49,2024-03-01 10:00:00,169.977,171.588,168.89579194630875,2024-03-06 22:00:00,168.89579194630875,loss,-1.0,wickdiffs_W_H1_ALL_20251228_173936.csv
W,ALL,H1,H12,CHFJPY,short,2024-01-01,2024-01-08,170.09,171.494,1.4039999999999964,2024-01-11 19:00:00,2024-01-11 20:00:00,170.729,170.768,2024-01-15 10:00:00,170.354,168.686,171.6344,2024-01-26 10:00:00,171.6344,loss,-1.0,wickdiffs_W_H1_ALL_20251228_173936.csv
W,ALL,H1,H12,CHFJPY,short,2024-03-18,2024-03-25,168.754,170.804,2.0500000000000114,2024-03-21 10:00:00,2024-03-21 11:00:00,169.316,169.361,2024-04-15 21:00:00,169.166,166.70399999999998,171.00900000000001,2024-04-25 21:00:00,171.00900000000001,loss,-1.0,wickdiffs_W_H1_ALL_20251228_173936.csv
W,ALL,H1,H12,CHFJPY,short,2024-04-22,2024-04-29,173.152,175.068,1.9160000000000252,2024-04-29 03:00:00,2024-04-29 04:00:00,174.603,174.774,2024-06-02 21:00:00,173.986,171.23599999999996,175.83163758389261,2024-06-12 09:00:00,175.83163758389261,loss,-1.0,wickdiffs_W_H1_ALL_20251228_173936.csv
W,ALL,H1,H12,CHFJPY,short,2024-05-06,2024-05-13,171.846,172.718,0.8719999999999857,2024-05-15 02:00:00,2024-05-15 03:00:00,172.686,172.694,2024-05-29 09:00:00,172.642,170.97400000000002,173.7614630872483,2024-05-30 21:00:00,173.7614630872483,loss,-1.0,wickdiffs_W_H1_ALL_20251228_173936.csv
W,ALL,H1,H12,EURAUD,long,2024-01-22,2024-01-29,1.63506,1.65067,0.015610000000000124,2024-02-02 12:00:00,2024-02-02 13:00:00,1.64644,1.6468,2024-02-06 22:00:00,1.6494,1.6662800000000002,1.633499,2024-02-28 10:00:00,1.6662800000000002,win,1.0615684548141808,wickdiffs_W_H1_ALL_20251228_173936.csv
W,ALL,H1,H12,EURAUD,short,2024-02-26,2024-03-04,1.66101,1.67444,0.013429999999999831,2024-03-06 12:00:00,2024-03-06 13:00:00,1.66694,1.66722,2024-03-18 21:00:00,1.66484,1.6475800000000003,1.6764238926174497,2024-04-03 21:00:00,1.6475800000000003,win,1.49,wickdiffs_W_H1_ALL_20251228_173936.csv
W,ALL,H1,H12,EURAUD,short,2024-03-11,2024-03-18,1.65974,1.66803,0.008289999999999909,2024-03-22 07:00:00,2024-03-22 08:00:00,1.66162,1.66216,2024-03-26 21:00:00,1.66154,1.65145,1.6688589999999999,2024-03-31 21:00:00,1.65145,win,1.3786036343762993,wickdiffs_W_H1_ALL_20251228_173936.csv
W,ALL,H1,H12,EURJPY,short,2024-03-18,2024-03-25,163.661,165.355,1.6939999999999884,2024-03-21 12:00:00,2024-03-21 13:00:00,165.026,165.028,2024-04-09 09:00:00,164.788,161.967,166.68128859060403,2024-04-24 21:00:00,166.68128859060403,loss,-1.0,wickdiffs_W_H1_ALL_20251228_173936.csv
W,ALL,H1,H12,EURNZD,short,2024-02-26,2024-03-04,1.77493,1.78702,0.012090000000000156,2024-03-06 23:00:00,2024-03-07 00:00:00,1.77872,1.7791,2024-03-13 09:00:00,1.7783,1.7628399999999997,1.7886758389261748,2024-03-15 09:00:00,1.7886758389261748,loss,-1.0,wickdiffs_W_H1_ALL_20251228_173936.csv
