mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,wickdiff_file,dyn_min_sl_pips,VOL
W,ALL,H4,H4,AUDCAD,long,2018-12-31,2019-01-07,0.90969,0.95127,0.04157999999999995,2019-01-04 10:00:00,2019-01-04 14:00:00,0.94515,0.94524,2019-01-24 22:00:00,0.94566,0.9928499999999999,0.905532,2019-07-30 13:00:00,0.905532,loss,-1.0,wickdiffs_W_H4_ALL_20260102_165320.csv,248.3553030303031,3.5
W,ALL,H4,H4,AUDCAD,short,2015-06-29,2015-07-06,0.94549,0.96648,0.020989999999999953,2015-07-01 21:00:00,2015-07-02 01:00:00,0.96357,0.963945,2015-07-21 13:00:00,0.96276,0.9245000000000001,0.9958517045454545,2015-09-03 13:00:00,0.9245000000000001,win,1.1561809983963256,wickdiffs_W_H4_ALL_20260102_165320.csv,330.91704545454536,3.5
W,ALL,H4,H4,AUDCAD,short,2018-06-04,2018-06-11,0.98231,0.99346,0.011149999999999993,2018-06-06 17:00:00,2018-06-06 21:00:00,0.993,0.99346,2018-06-22 09:00:00,0.99089,0.97116,1.0113830303030305,2018-06-29 13:00:00,0.97116,win,0.9627663507179101,wickdiffs_W_H4_ALL_20260102_165320.csv,204.93030303030298,3.5
W,ALL,H4,H4,AUDCHF,long,2016-02-08,2016-02-15,0.67534,0.694455,0.019114999999999993,2016-02-12 10:00:00,2016-02-12 14:00:00,0.68886,0.691,2018-09-07 01:00:00,0.69159,0.71357,0.6714618181818182,2018-10-30 13:00:00,0.71357,win,1.092001264622194,wickdiffs_W_H4_ALL_20260102_165320.csv,201.2818181818182,3.5
W,ALL,H4,H4,AUDCHF,long,2018-12-24,2018-12-31,0.66488,0.69296,0.028079999999999994,2019-01-03 18:00:00,2019-01-03 22:00:00,0.68949,0.69088,2019-05-24 05:00:00,0.69172,0.72104,0.662072,2019-08-05 01:00:00,0.662072,loss,-1.0,wickdiffs_W_H4_ALL_20260102_165320.csv,177.22348484848484,3.5
W,ALL,H4,H4,AUDCHF,short,2016-11-07,2016-11-14,0.745665,0.76492,0.019255000000000022,2016-11-15 18:00:00,2016-11-15 22:00:00,0.75742,0.75749,2016-11-25 06:00:00,0.754245,0.72641,0.7803894696969698,2017-02-22 06:00:00,0.7803894696969698,loss,-1.0,wickdiffs_W_H4_ALL_20260102_165320.csv,261.44469696969685,3.5
W,ALL,H4,H4,AUDJPY,long,2015-07-06,2015-07-13,89.168,91.417,2.2489999999999952,2015-07-09 13:00:00,2015-07-09 17:00:00,90.087,90.0975,2015-07-24 09:00:00,90.1955,93.666,86.66663257575757,2015-08-24 09:00:00,86.66663257575757,loss,-1.0,wickdiffs_W_H4_ALL_20260102_165320.csv,352.88674242424224,3.5
W,ALL,H4,H4,AUDJPY,short,2021-10-11,2021-10-18,84.793,86.254,1.4609999999999985,2021-10-20 21:00:00,2021-10-21 01:00:00,86.052,86.254,2021-10-27 01:00:00,85.798,83.33200000000001,88.35155303030304,2021-11-09 14:00:00,83.33200000000001,win,0.9657132515894344,wickdiffs_W_H4_ALL_20260102_165320.csv,255.3553030303031,3.5
W,ALL,H4,H4,AUDNZD,short,2015-08-24,2015-08-31,1.10957,1.14723,0.03766000000000003,2015-08-31 17:00:00,2015-08-31 21:00:00,1.12264,1.126435,2015-09-10 09:00:00,1.122145,1.07191,1.1618936363636363,2015-10-14 21:00:00,1.07191,win,1.2638169405468467,wickdiffs_W_H4_ALL_20260102_165320.csv,397.4863636363634,3.5
W,ALL,H4,H4,CADCHF,long,2021-07-12,2021-07-19,0.71733,0.72908,0.011749999999999927,2021-07-20 01:00:00,2021-07-20 05:00:00,0.7187,0.71916,2021-08-03 13:00:00,0.72033,0.7408299999999999,0.7036346212121213,2021-10-07 17:00:00,0.7408299999999999,win,1.2278846895575284,wickdiffs_W_H4_ALL_20260102_165320.csv,166.95378787878755,3.5
W,ALL,H4,H4,CADCHF,long,2024-07-29,2024-08-05,0.60603,0.61827,0.012240000000000029,2024-08-05 09:00:00,2024-08-05 13:00:00,0.60984,0.61006,2025-03-07 14:00:00,0.61082,0.63051,0.5951594696969696,2025-04-07 05:00:00,0.5951594696969696,loss,-1.0,wickdiffs_W_H4_ALL_20260102_165320.csv,156.6053030303033,3.5
W,ALL,H4,H4,CADJPY,long,2020-03-16,2020-03-23,73.812,77.034,3.2220000000000084,2020-03-23 01:00:00,2020-03-23 05:00:00,75.988,76.188,2020-03-30 13:00:00,76.258,80.25600000000001,72.80528787878788,2020-06-02 13:00:00,80.25600000000001,win,1.1579303051180727,wickdiffs_W_H4_ALL_20260102_165320.csv,345.27121212121205,3.5
W,ALL,H4,H4,CADJPY,long,2023-11-13,2023-11-20,107.235,109.003,1.7680000000000007,2023-11-21 22:00:00,2023-11-22 02:00:00,108.056,108.102,2023-11-29 22:00:00,108.178,110.771,105.48859848484848,2023-12-07 14:00:00,105.48859848484848,loss,-1.0,wickdiffs_W_H4_ALL_20260102_165320.csv,268.94015151515123,3.5
W,ALL,H4,H4,CADJPY,long,2024-07-29,2024-08-05,101.66,105.544,3.8840000000000003,2024-08-06 17:00:00,2024-08-06 21:00:00,104.588,104.7,2024-09-06 13:00:00,104.984,109.428,100.78068181818182,2024-10-04 09:00:00,109.428,win,1.0572599569604109,wickdiffs_W_H4_ALL_20260102_165320.csv,420.3318181818181,3.5
W,ALL,H4,H4,CADJPY,short,2020-11-09,2020-11-16,79.666,81.426,1.7600000000000051,2020-11-10 14:00:00,2020-11-10 18:00:00,80.998,81.106,2020-12-02 06:00:00,80.981,77.90599999999999,83.13843181818181,2021-02-15 06:00:00,83.13843181818181,loss,-1.0,wickdiffs_W_H4_ALL_20260102_165320.csv,215.74318181818182,3.5
W,ALL,H4,H4,EURAUD,long,2022-02-28,2022-03-07,1.45636,1.48306,0.026699999999999946,2022-03-06 22:00:00,2022-03-07 02:00:00,1.45636,1.45974,2022-03-25 17:00:00,1.46129,1.50976,1.413398106060606,2022-05-09 13:00:00,1.50976,win,1.0120710628261549,wickdiffs_W_H4_ALL_20260102_165320.csv,478.9189393939404,3.5
W,ALL,H4,H4,EURAUD,short,2019-08-05,2019-08-12,1.65076,1.67871,0.02794999999999992,2019-08-07 09:00:00,2019-08-07 13:00:00,1.66608,1.66892,2019-08-25 21:00:00,1.6584,1.62281,1.6927352272727274,2019-09-03 09:00:00,1.62281,win,1.0365447625351627,wickdiffs_W_H4_ALL_20260102_165320.csv,343.3522727272735,3.5
W,ALL,H4,H4,EURCAD,short,2018-02-26,2018-03-05,1.58707,1.61225,0.02517999999999998,2018-03-07 14:00:00,2018-03-07 18:00:00,1.61022,1.61225,2018-03-15 13:00:00,1.607085,1.56189,1.647398446969697,2018-04-05 17:00:00,1.56189,win,1.1210899438584983,wickdiffs_W_H4_ALL_20260102_165320.csv,403.13446969696946,3.5
W,ALL,H4,H4,EURCHF,long,2018-08-06,2018-08-13,1.12437,1.13562,0.011249999999999982,2018-08-15 21:00:00,2018-08-16 01:00:00,1.12638,1.12675,2018-08-31 09:00:00,1.12728,1.14687,1.1074128787878788,2018-10-11 13:00:00,1.14687,win,0.9860512648429338,wickdiffs_W_H4_ALL_20260102_165320.csv,198.67121212121208,3.5
W,ALL,H4,H4,EURGBP,long,2015-05-04,2015-05-11,0.712305,0.72564,0.013334999999999986,2015-05-13 05:00:00,2015-05-13 09:00:00,0.712305,0.713045,2015-05-20 13:00:00,0.71371,0.7389749999999999,0.6886846212121212,2015-08-24 13:00:00,0.7389749999999999,win,1.009575128278868,wickdiffs_W_H4_ALL_20260102_165320.csv,250.25378787878776,3.5
W,ALL,H4,H4,EURGBP,short,2020-03-16,2020-03-23,0.91857,0.95003,0.031460000000000043,2020-03-24 05:00:00,2020-03-24 09:00:00,0.92912,0.9317,2020-09-11 09:00:00,0.92475,0.88711,0.953176,2020-11-11 06:00:00,0.88711,win,1.3241398719482138,wickdiffs_W_H4_ALL_20260102_165320.csv,209.81363636363653,3.5
W,ALL,H4,H4,EURJPY,long,2016-06-20,2016-06-27,109.5705,113.499,3.9284999999999997,2016-06-27 09:00:00,2016-06-27 13:00:00,111.3785,111.4815,2016-07-06 01:00:00,111.607,117.4275,106.42161742424243,2016-07-14 05:00:00,117.4275,win,1.1224822691408893,wickdiffs_W_H4_ALL_20260102_165320.csv,518.5382575757578,3.5
W,ALL,H4,H4,EURNZD,short,2019-08-05,2019-08-12,1.73188,1.75748,0.025599999999999845,2019-08-07 01:00:00,2019-08-07 05:00:00,1.75282,1.75748,2019-08-25 21:00:00,1.74664,1.7062800000000002,1.7843080303030303,2019-09-12 09:00:00,1.7062800000000002,win,1.0714656347919755,wickdiffs_W_H4_ALL_20260102_165320.csv,376.680303030303,3.5
W,ALL,H4,H4,GBPCAD,long,2019-09-02,2019-09-09,1.59582,1.61736,0.021539999999999893,2019-09-03 05:00:00,2019-09-03 09:00:00,1.59582,1.59918,2022-04-28 09:00:00,1.59963,1.6388999999999998,1.5609890151515151,2022-06-13 13:00:00,1.5609890151515151,loss,-1.0,wickdiffs_W_H4_ALL_20260102_165320.csv,386.40984848484914,3.5
W,ALL,H4,H4,GBPCHF,long,2024-07-29,2024-08-05,1.07432,1.09807,0.02375000000000016,2024-08-08 05:00:00,2024-08-08 09:00:00,1.08576,1.0892,2025-04-08 09:00:00,1.08968,1.1218200000000003,1.0628418181818182,2025-04-10 21:00:00,1.0628418181818182,loss,-1.0,wickdiffs_W_H4_ALL_20260102_165320.csv,268.3818181818183,3.5
W,ALL,H4,H4,GBPCHF,long,2024-10-28,2024-11-04,1.11074,1.1254,0.014659999999999895,2024-10-31 13:00:00,2024-10-31 17:00:00,1.11074,1.11232,2024-11-22 06:00:00,1.11238,1.1400599999999999,1.0850162121212121,2025-02-13 06:00:00,1.1400599999999999,win,1.0115558607095194,wickdiffs_W_H4_ALL_20260102_165320.csv,273.63787878787815,3.5
W,ALL,H4,H4,GBPJPY,long,2015-07-06,2015-07-13,185.004,190.517,5.513000000000005,2015-07-08 13:00:00,2015-07-08 17:00:00,185.004,185.041,2015-08-24 13:00:00,187.618,196.03,181.949375,2015-09-04 01:00:00,181.949375,loss,-1.0,wickdiffs_W_H4_ALL_20260102_165320.csv,566.8625000000002,3.5
W,ALL,H4,H4,GBPJPY,long,2021-09-13,2021-09-20,148.956,151.066,2.1100000000000136,2021-09-22 17:00:00,2021-09-22 21:00:00,149.469,149.479,2021-10-01 05:00:00,149.712,153.17600000000002,146.10390909090907,2021-10-11 01:00:00,153.17600000000002,win,0.960064501499163,wickdiffs_W_H4_ALL_20260102_165320.csv,360.8090909090911,3.5
W,ALL,H4,H4,GBPJPY,short,2019-12-09,2019-12-16,145.8,147.96,2.1599999999999966,2019-12-12 22:00:00,2019-12-13 02:00:00,147.93,147.96,2021-02-19 10:00:00,147.914,143.64000000000001,151.5565909090909,2021-03-11 02:00:00,151.5565909090909,loss,-1.0,wickdiffs_W_H4_ALL_20260102_165320.csv,364.2590909090912,3.5
W,ALL,H4,H4,GBPJPY,short,2020-11-09,2020-11-16,138.057,140.318,2.261000000000024,2020-11-11 06:00:00,2020-11-11 10:00:00,140.039,140.318,2020-12-01 14:00:00,139.993,135.79599999999996,144.35487121212122,2021-02-04 18:00:00,144.35487121212122,loss,-1.0,wickdiffs_W_H4_ALL_20260102_165320.csv,436.1871212121216,3.5
