mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,exit_reason,wickdiff_file,dyn_min_sl_pips,VOL,wd_special,active_trades_at_entry
W,ALL,H4,H4,USDJPY,long,2015-01-12,2015-01-19,115.855,117.624,1.7689999999999912,2015-01-19 02:00:00,2015-01-19 06:00:00,116.921,117.023,2015-02-01 22:00:00,117.6145,119.39299999999999,115.6781,2015-02-10 10:00:00,119.39299999999999,win,0.9184569303862705,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,129.1992424242424,1.0,,1
W,ALL,H4,H4,AUDUSD,short,2015-02-02,2015-02-09,0.779615,0.787645,0.008030000000000093,2015-02-10 02:00:00,2015-02-10 06:00:00,0.783085,0.784185,2015-02-18 02:00:00,0.782215,0.7715849999999999,0.7915367424242424,2015-03-06 14:00:00,0.7715849999999999,win,1.140344746316463,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,93.21742424242424,1.0,,1
W,ALL,H4,H4,NZDJPY,long,2015-03-02,2015-03-09,87.3135,88.947,1.633499999999998,2015-03-13 13:00:00,2015-03-13 17:00:00,88.695,88.699,2015-03-17 13:00:00,88.798,90.5805,87.15015000000001,2015-03-20 13:00:00,90.5805,win,1.0817125345146756,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,112.4090909090908,1.0,,1
W,ALL,H4,H4,EURJPY,short,2015-03-16,2015-03-23,129.94,131.798,1.858000000000004,2015-03-27 13:00:00,2015-03-27 17:00:00,130.279,130.418,2015-04-02 13:00:00,130.243,128.082,131.9838,2015-04-10 05:00:00,128.082,win,1.2413832720588192,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,171.648484848485,1.0,,1
W,ALL,H4,H4,AUDCHF,short,2015-05-04,2015-05-11,0.73854,0.748435,0.009894999999999987,2015-05-15 09:00:00,2015-05-15 13:00:00,0.74019,0.74134,2015-05-18 17:00:00,0.74017,0.728645,0.7495373484848484,2015-05-28 01:00:00,0.728645,win,1.2303374875656106,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,93.6734848484848,1.0,,1
W,ALL,H4,H4,AUDJPY,short,2015-06-01,2015-06-08,95.7865,96.993,1.2064999999999912,2015-06-11 17:00:00,2015-06-11 21:00:00,95.8225,95.827,2015-06-15 09:00:00,95.815,94.58000000000001,97.11364999999999,2015-06-26 13:00:00,94.58000000000001,win,0.9509875640087706,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,98.86818181818174,1.0,,1
W,ALL,H4,H4,EURCHF,short,2015-06-08,2015-06-15,1.04603,1.055555,0.009525000000000006,2015-06-18 21:00:00,2015-06-19 01:00:00,1.048045,1.049285,2015-06-22 13:00:00,1.045985,1.036505,1.0565075,2015-06-28 21:00:00,1.036505,win,0.9009265858873786,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,75.20227272727274,1.0,,2
W,ALL,H4,H4,GBPCHF,short,2015-06-22,2015-06-29,1.46905,1.48347,0.0144200000000001,2015-07-03 09:00:00,2015-07-03 13:00:00,1.472175,1.47426,2015-07-06 09:00:00,1.471565,1.4546299999999999,1.4871015151515152,2015-07-08 05:00:00,1.4546299999999999,win,1.0900127753776638,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,155.3651515151514,1.0,,1
W,ALL,H4,H4,EURGBP,long,2015-06-22,2015-06-29,0.698845,0.70949,0.010644999999999905,2015-07-01 21:00:00,2015-07-02 01:00:00,0.707125,0.707635,2015-07-06 17:00:00,0.708465,0.7201349999999999,0.6977805,2015-07-08 13:00:00,0.7201349999999999,win,1.0922364172399142,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,71.83181818181814,1.0,,2
W,ALL,H4,H4,CADCHF,long,2015-01-19,2015-01-26,0.69066,0.70858,0.017919999999999936,2015-01-25 22:00:00,2015-01-26 02:00:00,0.70376,0.704415,2015-08-24 09:00:00,0.7056,0.7264999999999999,0.688868,2015-08-27 13:00:00,0.7264999999999999,win,1.2491035142242384,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,79.04999999999995,1.0,,1
