pair,mode,journal_label,ltf,pivot_type,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_width,pivot_first_touch_time,zone_first_time,zone_second_time,zone_low,zone_high,zone_width,zone_pct_of_pivot,entry_time,entry_price,sl_level,tp_level,sl_distance,tp_distance,rr_planned,exit_time,exit_price,exit_mode,outcome_reason,R_result
CADJPY,W,W_H4,H4,long,2018-11-19,2018-11-26,84.614,85.332,0.7179999999999893,2018-12-03,2018-11-20 18:00:00,2018-11-20 22:00:00,84.614,84.65,0.0360000000000013,0.0501392757660193,2018-12-05 14:00:00,84.664,83.73379865771814,86.04999999999998,0.9302013422818668,1.3859999999999815,1.49,2018-12-06 14:00:00,83.73379865771814,SL,hit_sl_first,-1.0
CADJPY,W,W_H4,H4,long,2018-12-03,2018-12-10,83.568,84.63,1.0619999999999976,2018-12-17,2018-12-06 22:00:00,2018-12-07 02:00:00,84.1,84.116,0.0160000000000053,0.0150659133710031,2018-12-17 18:00:00,84.159,83.13014093959733,85.692,1.028859060402676,1.532999999999987,1.49,2018-12-19 18:00:00,83.13014093959733,SL,hit_sl_first,-1.0
NZDUSD,W,W_H4,H4,short,2018-11-26,2018-12-03,0.68727,0.69694,0.009669999999999956,2018-12-10,2018-12-07 06:00:00,2018-12-07 10:00:00,0.68909,0.68989,0.0008,0.0827300930713574,2018-12-10 06:00:00,0.68883,0.697907,0.6776000000000001,0.009077000000000002,0.011229999999999962,1.2371929051448673,2018-12-19 18:00:00,0.6776000000000001,TP,hit_tp_first,1.2371929051448673
EURAUD,W,W_H4,H4,long,2018-11-12,2018-11-19,1.55198,1.55745,0.005470000000000086,2018-11-26,2018-11-15 06:00:00,2018-11-15 10:00:00,1.55198,1.55246,0.00048,0.0877513711151788,2018-11-28 14:00:00,1.55428,1.5484813422818793,1.56292,0.0057986577181207925,0.008639999999999981,1.49,2018-11-30 14:00:00,1.5484813422818793,SL,hit_sl_first,-1.0
EURAUD,W,W_H4,H4,short,2018-11-19,2018-11-26,1.5673,1.57828,0.01097999999999999,2018-12-03,2018-11-26 22:00:00,2018-11-27 02:00:00,1.57006,1.57054,0.00048,0.0437158469945388,2018-12-06 02:00:00,1.56904,1.579378,1.55632,0.010337999999999958,0.012720000000000065,1.2304120719675098,2018-12-07 14:00:00,1.579378,SL,hit_sl_first,-1.0
EURAUD,W,W_H4,H4,short,2018-12-03,2018-12-10,1.57914,1.58857,0.00943000000000005,2018-12-17,2018-12-10 10:00:00,2018-12-10 14:00:00,1.58481,1.58495,0.00014,0.0148462354188789,2018-12-18 14:00:00,1.58389,1.59340677852349,1.56971,0.009516778523489988,0.014180000000000081,1.49,2018-12-19 14:00:00,1.59340677852349,SL,hit_sl_first,-1.0
EURNZD,W,W_H4,H4,long,2018-10-15,2018-10-22,1.73562,1.74735,0.011730000000000018,2018-10-29,2018-10-19 09:00:00,2018-10-19 13:00:00,1.73562,1.73598,0.0003600000000001,0.0306905370844106,2018-10-30 05:00:00,1.73815,1.7241030201342284,1.75908,0.01404697986577174,0.020929999999999893,1.49,2018-11-01 01:00:00,1.7241030201342284,SL,hit_sl_first,-1.0
EURNZD,W,W_H4,H4,long,2018-11-12,2018-11-19,1.65588,1.66027,0.004389999999999894,2018-11-26,2018-11-16 14:00:00,2018-11-16 18:00:00,1.65782,1.65854,0.0007199999999998,0.1640091116172777,2018-11-28 06:00:00,1.65893,1.6539300000000001,1.6646599999999998,0.005,0.005729999999999791,1.1459999999999582,2018-11-28 14:00:00,1.6539300000000001,SL,hit_sl_first,-1.0
AUDUSD,W,W_H4,H4,long,2018-10-22,2018-10-29,0.70213,0.70896,0.006830000000000003,2018-12-17,2018-10-29 17:00:00,2018-10-29 21:00:00,0.7051,0.7053,0.0002,0.0292825768667772,2018-12-23 22:00:00,0.70542,0.6984602684563759,0.71579,0.006959731543624155,0.01036999999999999,1.49,2019-01-02 10:00:00,0.6984602684563759,SL,hit_sl_first,-1.0
AUDUSD,W,W_H4,H4,long,2018-11-19,2018-11-26,0.71992,0.72325,0.003329999999999944,2018-12-03,2018-11-27 14:00:00,2018-11-27 18:00:00,0.71992,0.72024,0.0003199999999999,0.0960960960960937,2018-12-06 10:00:00,0.7205,0.7155,0.7265799999999999,0.005,0.006079999999999863,1.2159999999999727,2018-12-14 06:00:00,0.7155,SL,hit_sl_first,-1.0
NZDCAD,W,W_H4,H4,short,2018-12-03,2018-12-10,0.91389,0.9257,0.011809999999999987,2018-12-17,2018-12-11 10:00:00,2018-12-11 14:00:00,0.92478,0.92516,0.0003799999999999,0.0321761219305619,2018-12-19 06:00:00,0.9244,0.9393798657718121,0.90208,0.014979865771812085,0.022320000000000007,1.49,2019-01-02 22:00:00,0.90208,TP,hit_tp_first,1.49
USDJPY,W,W_H4,H4,short,2018-10-15,2018-10-22,112.54,112.888,0.347999999999999,2018-10-29,2018-10-22 17:00:00,2018-10-22 21:00:00,112.842,112.846,0.0040000000000048,0.0114942528735772,2018-10-30 05:00:00,112.841,113.341,112.19200000000001,0.5,0.6489999999999867,1.2979999999999734,2018-10-31 13:00:00,113.341,SL,hit_sl_first,-1.0
USDJPY,W,W_H4,H4,long,2018-11-12,2018-11-19,112.306,112.827,0.5210000000000008,2018-12-03,2018-11-20 10:00:00,2018-11-20 14:00:00,112.306,112.354,0.0480000000000018,0.0921305182341684,2018-12-06 14:00:00,112.544,112.00440268456376,113.348,0.539597315436243,0.804000000000002,1.49,2018-12-10 18:00:00,113.348,TP,hit_tp_first,1.49
USDJPY,W,W_H4,H4,short,2018-11-26,2018-12-03,113.498,114.036,0.5379999999999967,2018-12-10,2018-12-03 18:00:00,2018-12-03 22:00:00,113.658,113.71,0.0519999999999925,0.0966542750929234,2018-12-13 14:00:00,113.632,114.132,112.96000000000001,0.5,0.671999999999997,1.343999999999994,2018-12-17 14:00:00,112.96000000000001,TP,hit_tp_first,1.343999999999994
USDJPY,W,W_H4,H4,long,2018-12-03,2018-12-10,112.234,112.706,0.4720000000000084,2018-12-17,2018-12-09 22:00:00,2018-12-10 02:00:00,112.241,112.295,0.054000000000002,0.1144067796610192,2018-12-18 06:00:00,112.402,111.88119463087247,113.17800000000001,0.5208053691275238,0.7760000000000105,1.4899999999999998,2018-12-20 06:00:00,111.88119463087247,SL,hit_sl_first,-1.0
EURUSD,W,W_H4,H4,long,2018-11-05,2018-11-12,1.12154,1.1335,0.01195999999999997,2018-11-19,2018-11-15 06:00:00,2018-11-15 10:00:00,1.12708,1.12851,0.0014299999999998,0.1195652173912896,2018-11-27 14:00:00,1.12855,1.1172010067114093,1.14546,0.01134899328859059,0.01690999999999998,1.49,2018-12-20 06:00:00,1.14546,TP,hit_tp_first,1.49
GBPCAD,W,W_H4,H4,short,2018-11-19,2018-11-26,1.69627,1.70948,0.013210000000000166,2018-12-03,2018-11-28 10:00:00,2018-11-28 14:00:00,1.70598,1.70646,0.00048,0.0363361090083292,2018-12-05 14:00:00,1.70384,1.7177863087248324,1.6830599999999998,0.013946308724832377,0.020780000000000243,1.49,2018-12-10 10:00:00,1.6830599999999998,TP,hit_tp_first,1.49
