mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,wickdiff_file,dyn_min_sl_pips
W,INNER,H4,H4,AUDCAD,long,2018-12-31,2019-01-07,0.90969,0.95127,0.04157999999999995,2019-01-04 10:00:00,2019-01-04 14:00:00,0.94515,0.94524,2019-01-24 22:00:00,0.94566,0.9928499999999999,0.905532,2019-07-30 13:00:00,0.905532,loss,-1.0,wickdiffs_W_H4_INNER_20260102_165320.csv,212.62424242424248
W,INNER,H4,H4,AUDCAD,short,2015-06-29,2015-07-06,0.94549,0.96648,0.020989999999999953,2015-07-01 21:00:00,2015-07-02 01:00:00,0.96357,0.963945,2015-07-21 13:00:00,0.96276,0.9245000000000001,0.9910529545454545,2015-09-03 13:00:00,0.9245000000000001,win,1.3522801211351956,wickdiffs_W_H4_INNER_20260102_165320.csv,282.9295454545454
W,INNER,H4,H4,AUDCAD,short,2018-06-04,2018-06-11,0.98231,0.99346,0.011149999999999993,2018-06-06 17:00:00,2018-06-06 21:00:00,0.993,0.99346,2018-06-22 09:00:00,0.99089,0.97116,1.0084600000000001,2018-06-29 13:00:00,0.97116,win,1.122936824132045,wickdiffs_W_H4_INNER_20260102_165320.csv,175.69999999999996
W,INNER,H4,H4,AUDCHF,long,2016-02-08,2016-02-15,0.67534,0.694455,0.019114999999999993,2016-02-12 10:00:00,2016-02-12 14:00:00,0.68886,0.691,2018-09-07 01:00:00,0.69159,0.71357,0.6734285000000001,2018-10-30 13:00:00,0.71357,win,1.2102524571208364,wickdiffs_W_H4_INNER_20260102_165320.csv,172.1227272727273
W,INNER,H4,H4,AUDCHF,long,2018-08-06,2018-08-13,0.71702,0.72659,0.009569999999999967,2018-08-15 21:00:00,2018-08-16 01:00:00,0.71702,0.71793,2018-08-23 01:00:00,0.7182,0.7361599999999999,0.7004663636363636,2018-08-31 05:00:00,0.7004663636363636,loss,-1.0,wickdiffs_W_H4_INNER_20260102_165320.csv,177.33636363636373
W,INNER,H4,H4,AUDCHF,short,2015-06-22,2015-06-29,0.714225,0.728765,0.014539999999999997,2015-06-25 09:00:00,2015-06-25 13:00:00,0.72735,0.728765,2015-08-07 13:00:00,0.72699,0.699685,0.7541631818181818,2015-08-21 01:00:00,0.699685,win,1.0048510396279777,wickdiffs_W_H4_INNER_20260102_165320.csv,271.7318181818178
W,INNER,H4,H4,AUDCHF,short,2022-10-03,2022-10-10,0.6331,0.64802,0.014920000000000044,2022-10-06 01:00:00,2022-10-06 05:00:00,0.641,0.64122,2022-10-26 09:00:00,0.6406,0.61818,0.6616766666666666,2022-12-20 02:00:00,0.61818,win,1.063735568559229,wickdiffs_W_H4_INNER_20260102_165320.csv,210.76666666666648
W,INNER,H4,H4,AUDJPY,long,2015-07-06,2015-07-13,89.168,91.417,2.2489999999999952,2015-07-08 21:00:00,2015-07-09 01:00:00,89.168,89.37,2015-07-28 01:00:00,90.363,93.666,87.32669696969697,2015-08-24 01:00:00,87.32669696969697,loss,-1.0,wickdiffs_W_H4_INNER_20260102_165320.csv,303.6303030303029
W,INNER,H4,H4,AUDJPY,long,2023-07-10,2023-07-17,93.274,94.916,1.641999999999996,2023-07-12 05:00:00,2023-07-12 09:00:00,93.274,93.3,2023-07-27 17:00:00,93.561,96.55799999999999,90.60965151515153,2023-09-29 05:00:00,96.55799999999999,win,1.0154680192413277,wickdiffs_W_H4_INNER_20260102_165320.csv,295.1348484848486
W,INNER,H4,H4,AUDJPY,short,2018-05-14,2018-05-21,83.192,84.482,1.2900000000000063,2018-05-22 05:00:00,2018-05-22 09:00:00,84.382,84.482,2018-06-06 09:00:00,84.352,81.90199999999999,86.74314393939395,2018-06-18 13:00:00,81.90199999999999,win,1.0246141855521238,wickdiffs_W_H4_INNER_20260102_165320.csv,239.11439393939384
W,INNER,H4,H4,AUDJPY,short,2021-10-11,2021-10-18,84.793,86.254,1.4609999999999985,2021-10-20 21:00:00,2021-10-21 01:00:00,86.052,86.254,2021-10-27 01:00:00,85.798,83.33200000000001,87.98912121212122,2021-11-09 14:00:00,83.33200000000001,win,1.1254512011285183,wickdiffs_W_H4_INNER_20260102_165320.csv,219.11212121212128
W,INNER,H4,H4,AUDNZD,long,2017-05-01,2017-05-08,1.0611,1.07199,0.010890000000000066,2017-05-10 17:00:00,2017-05-10 21:00:00,1.0611,1.06148,2017-05-25 09:00:00,1.06178,1.08288,1.042063787878788,2017-06-02 05:00:00,1.042063787878788,loss,-1.0,wickdiffs_W_H4_INNER_20260102_165320.csv,197.16212121212104
W,INNER,H4,H4,AUDNZD,short,2022-06-20,2022-06-27,1.09915,1.1091,0.009949999999999903,2022-06-30 01:00:00,2022-06-30 05:00:00,1.10869,1.1091,2022-07-07 21:00:00,1.10791,1.0892000000000002,1.1270521212121212,2022-09-13 09:00:00,1.1270521212121212,loss,-1.0,wickdiffs_W_H4_INNER_20260102_165320.csv,191.42121212121197
W,INNER,H4,H4,AUDUSD,long,2018-04-30,2018-05-07,0.74126,0.7539,0.012639999999999985,2018-05-09 21:00:00,2018-05-10 01:00:00,0.74498,0.74549,2018-05-15 13:00:00,0.74794,0.76654,0.7291916666666667,2018-06-04 09:00:00,0.76654,win,0.9920881856164959,wickdiffs_W_H4_INNER_20260102_165320.csv,187.48333333333346
W,INNER,H4,H4,CADCHF,long,2017-04-03,2017-04-10,0.74422,0.7527,0.008480000000000043,2017-04-04 09:00:00,2017-04-04 13:00:00,0.74422,0.74431,2017-04-18 17:00:00,0.74448,0.7611800000000001,0.7288461363636364,2017-04-25 13:00:00,0.7288461363636364,loss,-1.0,wickdiffs_W_H4_INNER_20260102_165320.csv,156.3386363636363
W,INNER,H4,H4,CADCHF,long,2021-07-12,2021-07-19,0.71733,0.72908,0.011749999999999927,2021-07-20 01:00:00,2021-07-20 05:00:00,0.7187,0.71916,2021-08-03 13:00:00,0.72033,0.7408299999999999,0.7060277272727273,2021-10-07 17:00:00,0.7408299999999999,win,1.433338630224051,wickdiffs_W_H4_INNER_20260102_165320.csv,143.022727272727
