mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,wickdiff_file,dyn_min_sl_pips,VOL
W,OUTSIDE,H4,H1,AUDCHF,long,2021-03-22,2021-03-29,0.70892,0.71704,0.008120000000000016,2021-04-01 01:00:00,2021-04-01 05:00:00,0.71238,0.71322,2021-04-06 21:00:00,0.71366,0.72516,0.7038340303030303,2021-04-09 06:00:00,0.7038340303030303,loss,-1.0,wickdiffs_W_H4_OUTSIDE_20260102_165320.csv,98.25969696969689,1.7
W,OUTSIDE,H4,H1,AUDCHF,short,2015-06-08,2015-06-15,0.71759,0.729255,0.011665000000000036,2015-06-18 13:00:00,2015-06-18 17:00:00,0.72152,0.72193,2015-06-23 13:00:00,0.72137,0.7059249999999999,0.7376138181818181,2015-07-05 21:00:00,0.7059249999999999,win,0.9508232502434528,wickdiffs_W_H4_OUTSIDE_20260102_165320.csv,162.43818181818165,1.7
W,OUTSIDE,H4,H1,AUDCHF,short,2016-11-07,2016-11-14,0.745665,0.76492,0.019255000000000022,2016-11-15 18:00:00,2016-11-15 22:00:00,0.75742,0.75749,2016-11-25 07:00:00,0.75644,0.72641,0.7765943624161074,2017-02-22 05:00:00,0.7765943624161074,loss,-1.0,wickdiffs_W_H4_OUTSIDE_20260102_165320.csv,127.18545454545448,1.7
W,OUTSIDE,H4,H1,AUDCHF,short,2023-03-27,2023-04-03,0.61178,0.62018,0.008399999999999963,2023-04-04 21:00:00,2023-04-05 01:00:00,0.61278,0.61411,2023-06-12 12:00:00,0.6126,0.60338,0.622244393939394,2023-06-22 05:00:00,0.60338,win,0.955995789672129,wickdiffs_W_H4_OUTSIDE_20260102_165320.csv,96.44393939393942,1.7
W,OUTSIDE,H4,H1,AUDJPY,long,2015-07-06,2015-07-13,89.168,91.417,2.2489999999999952,2015-07-16 01:00:00,2015-07-16 05:00:00,91.026,91.065,2015-07-20 03:00:00,91.1325,93.666,88.9431,2015-08-23 22:00:00,88.9431,loss,-1.0,wickdiffs_W_H4_OUTSIDE_20260102_165320.csv,173.12325757575752,1.7
W,OUTSIDE,H4,H1,AUDJPY,long,2018-06-18,2018-06-25,80.63,81.837,1.2070000000000078,2018-06-28 21:00:00,2018-06-29 01:00:00,81.05,81.064,2018-07-02 15:00:00,81.068,83.04400000000001,79.7418255033557,2018-07-10 01:00:00,83.04400000000001,win,1.49,wickdiffs_W_H4_OUTSIDE_20260102_165320.csv,128.08643939393954,1.7
W,OUTSIDE,H4,H1,AUDJPY,long,2021-03-22,2021-03-29,82.288,83.761,1.472999999999999,2021-04-01 01:00:00,2021-04-01 05:00:00,83.434,83.458,2021-04-08 08:00:00,83.506,85.234,82.1407,2021-05-07 15:00:00,85.234,win,1.2656558998022327,wickdiffs_W_H4_OUTSIDE_20260102_165320.csv,121.83136363636368,1.7
W,OUTSIDE,H4,H1,AUDJPY,long,2023-07-10,2023-07-17,93.274,94.916,1.641999999999996,2023-07-20 21:00:00,2023-07-21 01:00:00,94.654,94.691,2023-07-26 11:00:00,94.692,96.55799999999999,93.01641515151515,2023-07-27 19:00:00,93.01641515151515,loss,-1.0,wickdiffs_W_H4_OUTSIDE_20260102_165320.csv,167.5584848484849,1.7
W,OUTSIDE,H4,H1,AUDJPY,short,2018-05-14,2018-05-21,83.192,84.482,1.2900000000000063,2018-05-23 17:00:00,2018-05-23 21:00:00,83.303,83.333,2018-06-04 01:00:00,83.288,81.90199999999999,84.64485227272726,2018-06-18 16:00:00,81.90199999999999,win,1.0214818723147736,wickdiffs_W_H4_OUTSIDE_20260102_165320.csv,135.68522727272722,1.7
W,OUTSIDE,H4,H1,AUDJPY,short,2020-11-09,2020-11-16,76.078,77.101,1.0229999999999961,2020-11-17 02:00:00,2020-11-17 06:00:00,76.526,76.562,2020-11-24 03:00:00,76.496,75.055,77.73949393939394,2020-12-09 08:00:00,77.73949393939394,loss,-1.0,wickdiffs_W_H4_OUTSIDE_20260102_165320.csv,124.3493939393939,1.7
W,OUTSIDE,H4,H1,AUDNZD,long,2018-11-12,2018-11-19,1.05898,1.066,0.007020000000000026,2018-11-23 02:00:00,2018-11-23 06:00:00,1.06315,1.06384,2018-11-27 15:00:00,1.06392,1.07302,1.054478318181818,2018-12-05 00:00:00,1.054478318181818,loss,-1.0,wickdiffs_W_H4_OUTSIDE_20260102_165320.csv,94.41681818181846,1.7
W,OUTSIDE,H4,H1,AUDNZD,long,2020-11-23,2020-11-30,1.0418,1.05097,0.0091699999999999,2020-12-03 10:00:00,2020-12-03 14:00:00,1.04753,1.04924,2021-08-04 01:00:00,1.04934,1.0601399999999999,1.040883,2021-08-31 00:00:00,1.040883,loss,-1.0,wickdiffs_W_H4_OUTSIDE_20260102_165320.csv,83.55863636363624,1.7
W,OUTSIDE,H4,H1,AUDNZD,short,2015-08-24,2015-08-31,1.10957,1.14723,0.03766000000000003,2015-09-01 05:00:00,2015-09-01 09:00:00,1.119445,1.119575,2015-09-10 07:00:00,1.119355,1.07191,1.151197281879195,2015-10-15 00:00:00,1.07191,win,1.49,wickdiffs_W_H4_OUTSIDE_20260102_165320.csv,193.8087878787878,1.7
W,OUTSIDE,H4,H1,AUDNZD,short,2016-03-07,2016-03-14,1.12138,1.13184,0.010459999999999914,2016-03-16 13:00:00,2016-03-16 17:00:00,1.12831,1.12836,2016-03-22 15:00:00,1.12803,1.1109200000000001,1.1444030606060607,2016-03-29 16:00:00,1.1109200000000001,win,1.045009263183607,wickdiffs_W_H4_OUTSIDE_20260102_165320.csv,163.73060606060625,1.7
W,OUTSIDE,H4,H1,AUDNZD,short,2023-03-20,2023-03-27,1.07143,1.08052,0.00908999999999982,2023-03-30 01:00:00,2023-03-30 05:00:00,1.07561,1.07641,2023-04-03 10:00:00,1.07554,1.0623400000000003,1.087187212121212,2023-04-05 02:00:00,1.0623400000000003,win,1.133318416684415,wickdiffs_W_H4_OUTSIDE_20260102_165320.csv,116.47212121212127,1.7
W,OUTSIDE,H4,H1,AUDUSD,long,2018-04-30,2018-05-07,0.74126,0.7539,0.012639999999999985,2018-05-11 01:00:00,2018-05-11 05:00:00,0.7523,0.75318,2018-05-14 17:00:00,0.7532,0.76654,0.739996,2018-06-04 12:00:00,0.76654,win,1.0102999091184508,wickdiffs_W_H4_OUTSIDE_20260102_165320.csv,106.54393939393947,1.7
W,OUTSIDE,H4,H1,AUDUSD,long,2018-06-25,2018-07-02,0.73106,0.7407,0.009639999999999982,2018-07-05 01:00:00,2018-07-05 05:00:00,0.73616,0.73678,2018-07-11 18:00:00,0.73772,0.75034,0.7274475833333334,2018-08-12 21:00:00,0.7274475833333334,loss,-1.0,wickdiffs_W_H4_OUTSIDE_20260102_165320.csv,102.72416666666655,1.7
W,OUTSIDE,H4,H1,AUDUSD,long,2019-09-23,2019-09-30,0.6671,0.67654,0.009440000000000004,2019-10-04 09:00:00,2019-10-04 13:00:00,0.67446,0.67555,2019-10-07 01:00:00,0.67566,0.68598,0.666156,2019-10-21 01:00:00,0.68598,win,1.0858585858585776,wickdiffs_W_H4_OUTSIDE_20260102_165320.csv,77.89939393939372,1.7
W,OUTSIDE,H4,H1,AUDUSD,long,2020-12-21,2020-12-28,0.7462,0.75916,0.012959999999999972,2020-12-28 14:00:00,2020-12-28 18:00:00,0.75573,0.75674,2021-02-02 14:00:00,0.75688,0.7721199999999999,0.7445990151515152,2021-02-09 02:00:00,0.7721199999999999,win,1.240942822421945,wickdiffs_W_H4_OUTSIDE_20260102_165320.csv,122.8098484848484,1.7
W,OUTSIDE,H4,H1,AUDUSD,long,2022-05-09,2022-05-16,0.6829,0.69391,0.011010000000000075,2022-05-16 01:00:00,2022-05-16 05:00:00,0.68724,0.68786,2022-06-14 14:00:00,0.68847,0.7049200000000001,0.6738906515151516,2022-06-16 16:00:00,0.7049200000000001,win,1.12830830658144,wickdiffs_W_H4_OUTSIDE_20260102_165320.csv,145.7934848484848,1.7
W,OUTSIDE,H4,H1,CADCHF,long,2015-01-19,2015-01-26,0.69066,0.70858,0.017919999999999936,2015-01-25 22:00:00,2015-01-26 02:00:00,0.70376,0.704415,2015-08-24 11:00:00,0.706685,0.7264999999999999,0.688868,2015-08-27 14:00:00,0.7264999999999999,win,1.112140090924395,wickdiffs_W_H4_OUTSIDE_20260102_165320.csv,133.3514393939393,1.7
W,OUTSIDE,H4,H1,CADCHF,long,2017-04-03,2017-04-10,0.74422,0.7527,0.008480000000000043,2017-04-10 01:00:00,2017-04-10 05:00:00,0.75148,0.75184,2017-04-18 07:00:00,0.75201,0.7611800000000001,0.743213962121212,2017-04-19 07:00:00,0.743213962121212,loss,-1.0,wickdiffs_W_H4_OUTSIDE_20260102_165320.csv,87.96037878787874,1.7
