pair,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCAD,15,10,5,0.422121592305801,66.66666666666666,1.1331823884587016,-1.0
AUDCHF,13,4,9,-0.2990305150959098,30.76923076923077,1.2781508259382932,-1.0
AUDJPY,19,6,13,-0.2757711476310568,31.57894736842105,1.2933913658349867,-1.0
AUDNZD,10,4,6,-0.13818189762354066,40.0,1.1545452559411484,-1.0
AUDUSD,10,3,7,-0.3460711347892299,30.0,1.1797628840359005,-1.0
CADCHF,14,5,9,-0.20810962547984588,35.714285714285715,1.2172930486564315,-1.0
CADJPY,22,7,15,-0.2518304598213447,31.818181818181817,1.351389983418631,-1.0
CHFJPY,16,11,5,0.5399051555889914,68.75,1.2398620444930786,-1.0
EURAUD,20,11,9,0.22616442645531923,55.00000000000001,1.2293898662823983,-1.0
EURCAD,18,9,9,0.12815186891778854,50.0,1.256303737835577,-1.0
EURCHF,9,5,4,0.24760332547524883,55.55555555555556,1.2456859858554479,-1.0
EURGBP,13,4,9,-0.2466046252347528,30.76923076923077,1.4485349679870534,-1.0
EURJPY,16,8,8,0.18271643521310008,50.0,1.3654328704262002,-1.0
EURNZD,18,8,10,0.008223482011117729,44.44444444444444,1.2685028345250149,-1.0
EURUSD,15,7,8,0.050662103340403955,46.666666666666664,1.2514187928722944,-1.0
GBPAUD,12,5,7,-0.04050217896011358,41.66666666666667,1.3027947704957274,-1.0
GBPCAD,15,6,9,-0.12618723609918323,40.0,1.1845319097520421,-1.0
GBPCHF,14,7,7,0.195082376655516,50.0,1.390164753311032,-1.0
GBPJPY,13,7,6,0.23385011604878309,53.84615384615385,1.291435929804883,-1.0
GBPNZD,17,10,7,0.2811580521968754,58.82352941176471,1.177968688734688,-1.0
GBPUSD,21,5,16,-0.4281602961867974,23.809523809523807,1.4017267560154507,-1.0
NZDCAD,12,6,6,0.15466293464310224,50.0,1.3093258692862044,-1.0
NZDCHF,16,3,13,-0.5608470394137837,18.75,1.342149123126487,-1.0
NZDJPY,10,4,6,-0.11616873394720562,40.0,1.209578165131986,-1.0
NZDUSD,12,6,6,0.14279846045818076,50.0,1.2855969209163616,-1.0
USDCAD,17,5,12,-0.3556721709750238,29.411764705882355,1.1907146186849191,-1.0
USDCHF,12,1,11,-0.8263333333333337,8.333333333333332,1.083999999999996,-1.0
USDJPY,18,5,13,-0.39508463127037696,27.77777777777778,1.1776953274266426,-1.0
ALL,417,172,245,-0.06769311966826455,41.247002398081534,1.2603021459205446,-1.0
