pair,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDJPY,1,1,0,1.49,100.0,1.49,
AUDNZD,2,1,1,0.019000000000002792,50.0,1.0380000000000056,-1.0
AUDUSD,1,0,1,-1.0,0.0,,-1.0
CADCHF,2,2,0,1.2790909090908966,100.0,1.2790909090908966,
CADJPY,1,0,1,-1.0,0.0,,-1.0
CHFJPY,3,1,2,-0.17,33.33333333333333,1.49,-1.0
EURAUD,1,1,0,1.1867120272163447,100.0,1.1867120272163447,
EURCAD,1,0,1,-1.0,0.0,,-1.0
EURCHF,1,0,1,-1.0,0.0,,-1.0
EURJPY,1,0,1,-1.0,0.0,,-1.0
EURNZD,1,0,1,-1.0,0.0,,-1.0
GBPAUD,1,0,1,-1.0,0.0,,-1.0
GBPCAD,1,1,0,1.49,100.0,1.49,
GBPCHF,1,0,1,-1.0,0.0,,-1.0
GBPJPY,1,0,1,-1.0,0.0,,-1.0
GBPNZD,2,0,2,-1.0,0.0,,-1.0
GBPUSD,2,0,2,-1.0,0.0,,-1.0
NZDCHF,1,1,0,1.1360000000000037,100.0,1.1360000000000037,
NZDJPY,1,0,1,-1.0,0.0,,-1.0
NZDUSD,1,1,0,1.49,100.0,1.49,
USDCAD,1,0,1,-1.0,0.0,,-1.0
ALL,27,9,18,-0.22670763535562416,33.33333333333333,1.3198770939331275,-1.0
