wd_variant,pair,pivot_type,htf,ltf,htf_first_candle_time,htf_second_candle_time,htf_gap_low,htf_gap_high,htf_gap_width,htf_wick_diff_low,htf_wick_diff_high,wd_first_candle_time,wd_second_candle_time,wd_zone_low,wd_zone_high,wd_zone_width,wd_zone_pct_of_htf_gap,htf_first_touch_time,pending_until_htf_touch
ALL,AUDCAD,long,2W,H12,2022-05-09 00:00,2022-05-23 00:00,0.89192,0.90463,0.012709999999999999,0.89192,0.90396,2022-05-15 21:00,2022-05-16 09:00,0.89192,0.89262,0.0006999999999999229,0.05507474429582399,2022-06-06 00:00,False
ALL,AUDCAD,long,2W,H12,2022-05-09 00:00,2022-05-23 00:00,0.89192,0.90463,0.012709999999999999,0.89192,0.90396,2022-05-18 09:00,2022-05-18 21:00,0.89472,0.89571,0.0009900000000000464,0.07789142407553473,2022-06-06 00:00,False
ALL,AUDCAD,long,2W,H12,2022-10-10 00:00,2022-10-24 00:00,0.85993,0.87088,0.010950000000000015,0.85993,0.86206,2022-10-23 21:00,2022-10-24 09:00,0.86206,0.86357,0.0015099999999999003,0.13789954337898613,2022-11-07 00:00,False
ALL,AUDCAD,long,2W,H12,2022-10-10 00:00,2022-10-24 00:00,0.85993,0.87088,0.010950000000000015,0.85993,0.86206,2022-11-03 09:00,2022-11-03 21:00,0.8636,0.86362,2.0000000000020002e-05,0.0018264840182666642,2022-11-07 00:00,False
ALL,AUDCAD,long,2W,H12,2023-02-27 00:00,2023-03-13 00:00,0.90459,0.91,0.005410000000000026,0.90459,0.9087,2023-03-07 10:00,2023-03-07 22:00,0.90459,0.90518,0.0005899999999999794,0.10905730129389586,2023-03-27 00:00,False
ALL,AUDCAD,long,2W,H12,2023-03-27 00:00,2023-04-10 00:00,0.89436,0.90086,0.00649999999999995,0.89436,0.89756,2023-04-16 21:00,2023-04-17 09:00,0.89436,0.89496,0.0005999999999999339,0.09230769230768285,2023-04-24 00:00,False
ALL,AUDCAD,long,2W,H12,2023-03-27 00:00,2023-04-10 00:00,0.89436,0.90086,0.00649999999999995,0.89436,0.89756,2023-04-18 21:00,2023-04-19 09:00,0.89902,0.89962,0.0005999999999999339,0.09230769230768285,2023-04-24 00:00,False
ALL,AUDCAD,long,2W,H12,2023-05-22 00:00,2023-06-05 00:00,0.87838,0.88692,0.008539999999999992,0.87838,0.88492,2023-06-04 21:00,2023-06-05 09:00,0.88492,0.88527,0.00034999999999996145,0.04098360655737257,2023-06-19 00:00,False
ALL,AUDCAD,long,2W,H12,2023-06-19 00:00,2023-07-03 00:00,0.87442,0.88236,0.007940000000000058,0.87442,0.87962,2023-06-28 09:00,2023-06-28 21:00,0.87442,0.87466,0.00024000000000001798,0.03022670025189121,2023-07-17 00:00,False
ALL,AUDCAD,long,2W,H12,2023-06-19 00:00,2023-07-03 00:00,0.87442,0.88236,0.007940000000000058,0.87442,0.87962,2023-06-29 09:00,2023-06-29 21:00,0.87538,0.87626,0.0008799999999999919,0.11083123425692512,2023-07-17 00:00,False
ALL,AUDCAD,long,2W,H12,2023-09-11 00:00,2023-09-25 00:00,0.85648,0.86858,0.0121,0.85648,0.86328,2023-09-27 09:00,2023-09-27 21:00,0.85648,0.85668,0.00019999999999997797,0.01652892561983289,2023-10-09 00:00,False
ALL,AUDCAD,long,2W,H12,2023-09-11 00:00,2023-09-25 00:00,0.85648,0.86858,0.0121,0.85648,0.86328,2023-10-03 09:00,2023-10-03 21:00,0.86248,0.86249,9.99999999995449e-06,0.0008264462809879744,2023-10-09 00:00,False
ALL,AUDCAD,long,2W,H12,2023-10-09 00:00,2023-10-23 00:00,0.85848,0.86605,0.007569999999999966,0.85848,0.86316,2023-10-13 09:00,2023-10-15 21:00,0.85848,0.8598,0.0013199999999999878,0.17437252311756854,2025-03-31 00:00,False
ALL,AUDCAD,long,2W,H12,2023-12-04 00:00,2023-12-18 00:00,0.88778,0.89682,0.009039999999999937,0.88778,0.8954,2023-12-12 22:00,2023-12-13 10:00,0.88972,0.88991,0.00019000000000002348,0.021017699115046994,2024-01-01 00:00,False
ALL,AUDCAD,long,2W,H12,2024-01-29 00:00,2024-02-12 00:00,0.87264,0.87812,0.00548000000000004,0.87264,0.87374,2024-02-08 10:00,2024-02-08 22:00,0.87264,0.87334,0.0007000000000000339,0.12773722627737752,2025-03-31 00:00,False
ALL,AUDCAD,long,2W,H12,2024-03-11 00:00,2024-03-25 00:00,0.88012,0.88644,0.006319999999999992,0.88012,0.88318,2024-04-01 09:00,2024-04-01 21:00,0.88012,0.88024,0.00012000000000000899,0.018987341772153343,2024-04-08 00:00,False
ALL,AUDCAD,long,2W,H12,2024-03-11 00:00,2024-03-25 00:00,0.88012,0.88644,0.006319999999999992,0.88012,0.88318,2024-04-02 21:00,2024-04-03 09:00,0.8828,0.88284,3.999999999992898e-05,0.006329113924039403,2024-04-08 00:00,False
ALL,AUDCAD,long,2W,H12,2024-04-08 00:00,2024-04-22 00:00,0.87817,0.88236,0.004190000000000027,0.87817,0.88148,2024-04-19 09:00,2024-04-21 21:00,0.88148,0.88156,7.999999999996898e-05,0.019093078758942356,2025-03-31 00:00,False
ALL,AUDCAD,long,2W,H12,2024-07-29 00:00,2024-08-12 00:00,0.88536,0.90158,0.016220000000000012,0.88536,0.90158,2024-08-07 09:00,2024-08-07 21:00,0.89505,0.89568,0.0006300000000000194,0.038840937114674415,2024-12-02 00:00,False
