pair,pivot_type,htf_first_candle_time,htf_second_candle_time,htf_gap_low,htf_gap_high,htf_gap_width,htf_wick_diff_low,htf_wick_diff_high,ltf,wd_first_candle_time,wd_second_candle_time,wd_zone_low,wd_zone_high,wd_zone_width,wd_zone_pct_of_htf_gap,htf_first_touch_time,pending_until_htf_touch,inside_or_outside
NZDJPY,short,2024-01-01 00:00,2024-01-15 00:00,90.433,90.988,0.5549999999999926,90.81,90.988,D1,2024-01-19 00:00,2024-01-22 00:00,90.706,90.81,0.1039999999999992,0.18738738738738844,2024-01-29 00:00,False,OUTSIDE
NZDJPY,short,2024-01-01 00:00,2024-01-15 00:00,90.433,90.988,0.5549999999999926,90.81,90.988,D1,2024-01-23 00:00,2024-01-24 00:00,90.57,90.608,0.038000000000010914,0.06846846846848904,2024-01-29 00:00,False,OUTSIDE
NZDJPY,short,2024-03-25 00:00,2024-04-08 00:00,91.18,92.391,1.2109999999999985,91.706,92.391,D1,2024-04-17 00:00,2024-04-18 00:00,91.444,91.614,0.1700000000000017,0.1403798513625119,2024-04-22 00:00,False,OUTSIDE
USDCAD,long,2024-03-25 00:00,2024-04-08 00:00,1.3478,1.35898,0.011179999999999968,1.3478,1.3547,D1,2024-04-09 00:00,2024-04-10 00:00,1.3547,1.35561,0.0009099999999999664,0.08139534883720653,2024-05-06 00:00,False,OUTSIDE
USDCAD,short,2024-04-08 00:00,2024-04-22 00:00,1.3749,1.38462,0.009719999999999951,1.3785,1.38462,D1,2024-04-30 00:00,2024-05-01 00:00,1.37832,1.3785,0.000180000000000069,0.01851851851852571,2024-05-06 00:00,False,OUTSIDE
GBPCAD,short,2024-06-03 00:00,2024-06-17 00:00,1.74234,1.76054,0.018199999999999994,1.74688,1.76054,D1,2024-06-19 00:00,2024-06-20 00:00,1.74428,1.74688,0.0025999999999999357,0.14285714285713938,2024-07-01 00:00,False,OUTSIDE
CADJPY,short,2024-02-12 00:00,2024-02-26 00:00,111.432,111.804,0.3719999999999999,111.626,111.804,D1,2024-02-26 00:00,2024-02-27 00:00,111.596,111.626,0.030000000000001137,0.08064516129032566,2024-03-11 00:00,False,OUTSIDE
NZDCHF,short,2024-03-25 00:00,2024-04-08 00:00,0.54242,0.54959,0.00717000000000001,0.54774,0.54959,D1,2024-04-11 00:00,2024-04-12 00:00,0.54673,0.54756,0.0008299999999999974,0.11576011157601064,2024-04-22 00:00,False,OUTSIDE
EURCHF,short,2024-03-25 00:00,2024-04-08 00:00,0.97752,0.98486,0.007340000000000013,0.98358,0.98486,D1,2024-04-08 00:00,2024-04-09 00:00,0.98352,0.98358,6.0000000000060005e-05,0.008174386920989088,2024-04-22 00:00,False,OUTSIDE
EURCAD,long,2024-01-29 00:00,2024-02-12 00:00,1.4462,1.4517,0.00550000000000006,1.4462,1.44666,D1,2024-02-12 00:00,2024-02-13 00:00,1.44666,1.44725,0.0005899999999998684,0.10727272727270216,,True,OUTSIDE
