wd_variant,pair,pivot_type,htf,ltf,htf_first_candle_time,htf_second_candle_time,htf_gap_low,htf_gap_high,htf_gap_width,htf_wick_diff_low,htf_wick_diff_high,wd_first_candle_time,wd_second_candle_time,wd_zone_low,wd_zone_high,wd_zone_width,wd_zone_pct_of_htf_gap,htf_first_touch_time,pending_until_htf_touch
INNER,AUDNZD,long,M,H1,2024-02-01 00:00,2024-03-01 00:00,1.05699,1.06742,0.01042999999999994,1.05699,1.06638,2024-02-26 21:00,2024-02-26 22:00,1.05906,1.05914,8.000000000008001e-05,0.007670182166834178,,True
INNER,AUDNZD,long,M,H1,2024-02-01 00:00,2024-03-01 00:00,1.05699,1.06742,0.01042999999999994,1.05699,1.06638,2024-02-28 00:00,2024-02-28 01:00,1.06004,1.0603,0.00025999999999992696,0.024928092042179145,,True
INNER,AUDNZD,long,M,H1,2024-02-01 00:00,2024-03-01 00:00,1.05699,1.06742,0.01042999999999994,1.05699,1.06638,2024-02-28 08:00,2024-02-28 09:00,1.06456,1.06462,5.999999999994898e-05,0.005752636625114989,,True
INNER,AUDNZD,long,M,H1,2024-02-01 00:00,2024-03-01 00:00,1.05699,1.06742,0.01042999999999994,1.05699,1.06638,2024-02-28 22:00,2024-02-28 23:00,1.06468,1.06474,5.999999999994898e-05,0.005752636625114989,,True
INNER,AUDUSD,long,M,H1,2024-02-01 00:00,2024-03-01 00:00,0.64428,0.64975,0.005470000000000086,0.64428,0.64775,2024-02-13 19:00,2024-02-13 20:00,0.64428,0.64436,8.000000000008001e-05,0.014625228519210009,2024-04-01 00:00,False
INNER,AUDUSD,long,M,H1,2024-02-01 00:00,2024-03-01 00:00,0.64428,0.64975,0.005470000000000086,0.64428,0.64775,2024-02-14 00:00,2024-02-14 01:00,0.64466,0.64488,0.00021999999999999797,0.04021937842778693,2024-04-01 00:00,False
INNER,AUDUSD,long,M,H1,2024-02-01 00:00,2024-03-01 00:00,0.64428,0.64975,0.005470000000000086,0.64428,0.64775,2024-02-14 02:00,2024-02-14 03:00,0.6453,0.64548,0.000180000000000069,0.03290676416820222,2024-04-01 00:00,False
INNER,AUDUSD,long,M,H1,2024-02-01 00:00,2024-03-01 00:00,0.64428,0.64975,0.005470000000000086,0.64428,0.64775,2024-02-14 08:00,2024-02-14 09:00,0.6468,0.64714,0.00034000000000000696,0.062157221206581646,2024-04-01 00:00,False
INNER,AUDUSD,long,M,H1,2024-02-01 00:00,2024-03-01 00:00,0.64428,0.64975,0.005470000000000086,0.64428,0.64775,2024-02-14 13:00,2024-02-14 14:00,0.64724,0.64734,9.999999999998899e-05,0.018281535648992216,2024-04-01 00:00,False
INNER,AUDUSD,short,M,H1,2024-03-01 00:00,2024-04-01 00:00,0.6516,0.66677,0.015170000000000017,0.66444,0.66677,2024-03-08 14:00,2024-03-08 15:00,0.66491,0.66534,0.00043000000000004146,0.02834541858932373,2024-05-01 00:00,False
INNER,CADCHF,short,M,H1,2024-04-01 00:00,2024-05-01 00:00,0.66732,0.67216,0.0048399999999999554,0.6706,0.67216,2024-04-04 11:00,2024-04-04 12:00,0.672,0.67216,0.00015999999999993797,0.03305785123965691,,True
INNER,CADCHF,short,M,H1,2024-04-01 00:00,2024-05-01 00:00,0.66732,0.67216,0.0048399999999999554,0.6706,0.67216,2024-04-04 14:00,2024-04-04 15:00,0.67091,0.67138,0.00046999999999997044,0.09710743801652372,,True
INNER,CHFJPY,long,M,H1,2024-03-01 00:00,2024-04-01 00:00,166.574,167.883,1.3089999999999975,166.574,166.77,2024-03-27 11:00,2024-03-27 12:00,166.574,166.588,0.013999999999981583,0.010695187165761351,2024-05-01 00:00,False
INNER,CHFJPY,short,M,H1,2024-01-01 00:00,2024-02-01 00:00,170.6,171.83,1.2300000000000182,171.7,171.83,2024-01-29 08:00,2024-01-29 09:00,171.776,171.83,0.054000000000002046,0.04390243902439126,2024-03-01 00:00,False
INNER,EURAUD,short,M,H1,2024-02-01 00:00,2024-03-01 00:00,1.66292,1.67444,0.011519999999999975,1.66982,1.67444,2024-03-05 08:00,2024-03-05 09:00,1.67426,1.67443,0.00017000000000000348,0.014756944444444779,2024-04-01 00:00,False
INNER,EURAUD,short,M,H1,2024-02-01 00:00,2024-03-01 00:00,1.66292,1.67444,0.011519999999999975,1.66982,1.67444,2024-03-05 12:00,2024-03-05 13:00,1.6717,1.67174,4.0000000000040004e-05,0.0034722222222257023,2024-04-01 00:00,False
INNER,EURAUD,short,M,H1,2024-02-01 00:00,2024-03-01 00:00,1.66292,1.67444,0.011519999999999975,1.66982,1.67444,2024-03-06 00:00,2024-03-06 01:00,1.67092,1.671,8.000000000008001e-05,0.006944444444451405,2024-04-01 00:00,False
INNER,EURCAD,long,M,H1,2024-01-01 00:00,2024-02-01 00:00,1.4462,1.45335,0.00714999999999999,1.4462,1.44991,2024-02-13 13:00,2024-02-13 14:00,1.44666,1.44766,0.0009999999999998899,0.13986013986012466,,True
INNER,EURCAD,long,M,H1,2024-01-01 00:00,2024-02-01 00:00,1.4462,1.45335,0.00714999999999999,1.4462,1.44991,2024-02-14 10:00,2024-02-14 11:00,1.44788,1.44833,0.0004499999999998394,0.06293706293704057,,True
INNER,EURCAD,short,M,H1,2024-02-01 00:00,2024-03-01 00:00,1.46723,1.47802,0.010789999999999855,1.47481,1.47802,2024-03-19 13:00,2024-03-19 14:00,1.47739,1.47796,0.0005699999999999594,0.0528266913809052,2024-04-01 00:00,False
INNER,EURCAD,short,M,H1,2024-02-01 00:00,2024-03-01 00:00,1.46723,1.47802,0.010789999999999855,1.47481,1.47802,2024-03-20 07:00,2024-03-20 08:00,1.47648,1.47651,2.999999999997449e-05,0.0027803521779402127,2024-04-01 00:00,False
INNER,EURCHF,short,M,H1,2024-04-01 00:00,2024-05-01 00:00,0.98067,0.99302,0.012349999999999972,0.98486,0.99302,2024-05-27 07:00,2024-05-27 08:00,0.99296,0.99302,6.0000000000060005e-05,0.00485829959514657,,True
INNER,EURCHF,short,M,H1,2024-04-01 00:00,2024-05-01 00:00,0.98067,0.99302,0.012349999999999972,0.98486,0.99302,2024-05-27 11:00,2024-05-27 12:00,0.99277,0.99284,6.999999999990347e-05,0.0056680161943241806,,True
INNER,EURCHF,short,M,H1,2024-04-01 00:00,2024-05-01 00:00,0.98067,0.99302,0.012349999999999972,0.98486,0.99302,2024-05-28 06:00,2024-05-28 07:00,0.99218,0.99259,0.00041000000000002146,0.03319838056680343,,True
INNER,EURCHF,short,M,H1,2024-04-01 00:00,2024-05-01 00:00,0.98067,0.99302,0.012349999999999972,0.98486,0.99302,2024-05-28 11:00,2024-05-28 12:00,0.99099,0.99135,0.00035999999999991594,0.02914979757084346,,True
INNER,EURCHF,short,M,H1,2024-04-01 00:00,2024-05-01 00:00,0.98067,0.99302,0.012349999999999972,0.98486,0.99302,2024-05-29 10:00,2024-05-29 11:00,0.99085,0.99098,0.00012999999999996348,0.01052631578947075,,True
INNER,EURCHF,short,M,H1,2024-04-01 00:00,2024-05-01 00:00,0.98067,0.99302,0.012349999999999972,0.98486,0.99302,2024-05-29 13:00,2024-05-29 14:00,0.98904,0.9892,0.00015999999999993797,0.012955465587039541,,True
INNER,EURCHF,short,M,H1,2024-04-01 00:00,2024-05-01 00:00,0.98067,0.99302,0.012349999999999972,0.98486,0.99302,2024-05-29 16:00,2024-05-29 17:00,0.98822,0.98846,0.00024000000000001798,0.0194331983805683,,True
INNER,EURGBP,short,M,H1,2024-02-01 00:00,2024-03-01 00:00,0.85586,0.86023,0.004370000000000096,0.85782,0.86023,2024-03-22 10:00,2024-03-22 11:00,0.85997,0.86023,0.000260000000000038,0.05949656750572821,2024-04-01 00:00,False
INNER,EURGBP,short,M,H1,2024-02-01 00:00,2024-03-01 00:00,0.85586,0.86023,0.004370000000000096,0.85782,0.86023,2024-03-27 06:00,2024-03-27 07:00,0.8583,0.85838,8.000000000008001e-05,0.018306636155624313,2024-04-01 00:00,False
INNER,EURGBP,short,M,H1,2024-02-01 00:00,2024-03-01 00:00,0.85586,0.86023,0.004370000000000096,0.85782,0.86023,2024-03-27 11:00,2024-03-27 12:00,0.8579,0.85803,0.00012999999999996348,0.0297482837528514,2024-04-01 00:00,False
INNER,NZDCAD,long,M,H1,2024-01-01 00:00,2024-02-01 00:00,0.81514,0.82194,0.006800000000000028,0.81514,0.81776,2024-02-05 00:00,2024-02-05 01:00,0.81561,0.81562,1.0000000000065512e-05,0.0014705882353037456,2024-03-01 00:00,False
