wd_variant,pair,pivot_type,htf,ltf,htf_first_candle_time,htf_second_candle_time,htf_gap_low,htf_gap_high,htf_gap_width,htf_wick_diff_low,htf_wick_diff_high,wd_first_candle_time,wd_second_candle_time,wd_zone_low,wd_zone_high,wd_zone_width,wd_zone_pct_of_htf_gap,htf_first_touch_time,pending_until_htf_touch,wd_search_window_start,wd_search_window_end
INNER,AUDCAD,long,M,H4,2015-10-01 00:00,2015-11-02 00:00,0.924955,0.93338,0.008425000000000016,0.924955,0.930095,2015-10-05 21:00,2015-10-06 01:00,0.924955,0.9258,0.0008449999999999847,0.1002967359050425,2016-05-02 00:00,False,2015-10-01 00:00,2015-11-30 23:59
INNER,AUDCAD,long,M,H4,2016-02-01 00:00,2016-03-01 00:00,0.95986,0.967115,0.0072549999999999,0.95986,0.96223,2016-03-01 14:00,2016-03-01 18:00,0.95986,0.9602,0.00034000000000000696,0.046864231564439925,2016-04-01 00:00,False,2016-02-01 00:00,2016-03-31 23:59
INNER,AUDCAD,long,M,H4,2016-05-02 00:00,2016-06-01 00:00,0.93266,0.946965,0.014304999999999901,0.93266,0.93904,2016-05-26 09:00,2016-05-26 13:00,0.93266,0.93451,0.0018499999999999073,0.1293254106955554,2018-08-01 00:00,False,2016-05-02 00:00,2016-06-30 23:59
INNER,AUDCAD,long,M,H4,2016-05-02 00:00,2016-06-01 00:00,0.93266,0.946965,0.014304999999999901,0.93266,0.93904,2016-05-27 17:00,2016-05-29 21:00,0.93497,0.93556,0.0005899999999999794,0.04124432016777235,2018-08-01 00:00,False,2016-05-02 00:00,2016-06-30 23:59
INNER,AUDCAD,long,M,H4,2016-05-02 00:00,2016-06-01 00:00,0.93266,0.946965,0.014304999999999901,0.93266,0.93904,2016-05-30 01:00,2016-05-30 05:00,0.93593,0.93657,0.0006399999999999739,0.04473960153792229,2018-08-01 00:00,False,2016-05-02 00:00,2016-06-30 23:59
INNER,AUDCAD,long,M,H4,2016-05-02 00:00,2016-06-01 00:00,0.93266,0.946965,0.014304999999999901,0.93266,0.93904,2016-05-30 17:00,2016-05-30 21:00,0.93676,0.93706,0.00029999999999996696,0.020971688220899617,2018-08-01 00:00,False,2016-05-02 00:00,2016-06-30 23:59
INNER,AUDCAD,long,M,H4,2016-08-01 00:00,2016-09-01 00:00,0.9762,0.98514,0.008940000000000059,0.9762,0.97922,2016-08-19 05:00,2016-08-19 09:00,0.9762,0.9763,9.999999999998899e-05,0.011185682326620618,2016-12-01 00:00,False,2016-08-01 00:00,2016-10-02 23:59
INNER,AUDCAD,long,M,H4,2016-12-01 00:00,2017-01-02 00:00,0.96453,0.96791,0.0033800000000000496,0.96453,0.96712,2017-01-06 18:00,2017-01-08 22:00,0.96524,0.96576,0.0005199999999999649,0.15384615384614123,2017-11-01 00:00,False,2016-12-01 00:00,2017-01-31 23:59
INNER,AUDCAD,long,M,H4,2017-03-01 00:00,2017-04-03 00:00,0.9926,1.01595,0.02334999999999987,0.9926,1.01042,2017-04-12 13:00,2017-04-12 17:00,0.9926,0.994715,0.002114999999999978,0.09057815845824367,2017-05-01 00:00,False,2017-03-01 00:00,2017-04-30 23:59
INNER,AUDCAD,long,M,H4,2017-03-01 00:00,2017-04-03 00:00,0.9926,1.01595,0.02334999999999987,0.9926,1.01042,2017-04-18 05:00,2017-04-18 09:00,1.00574,1.00618,0.00043999999999999595,0.018843683083511708,2017-05-01 00:00,False,2017-03-01 00:00,2017-04-30 23:59
INNER,AUDCAD,long,M,H4,2017-03-01 00:00,2017-04-03 00:00,0.9926,1.01595,0.02334999999999987,0.9926,1.01042,2017-04-19 01:00,2017-04-19 05:00,1.00696,1.00781,0.0008500000000000174,0.0364025695931487,2017-05-01 00:00,False,2017-03-01 00:00,2017-04-30 23:59
