wd_variant,pair,pivot_type,htf,ltf,htf_first_candle_time,htf_second_candle_time,htf_gap_low,htf_gap_high,htf_gap_width,htf_wick_diff_low,htf_wick_diff_high,wd_first_candle_time,wd_second_candle_time,wd_zone_low,wd_zone_high,wd_zone_width,wd_zone_pct_of_htf_gap,htf_first_touch_time,pending_until_htf_touch,wd_search_window_start,wd_search_window_end
OUTSIDE,AUDCAD,long,M,H4,2015-05-01 00:00,2015-06-01 00:00,0.936925,0.951725,0.014800000000000035,0.936925,0.94408,2015-06-30 01:00,2015-06-30 05:00,0.95052,0.950955,0.0004349999999999632,0.029391891891889333,2015-07-01 00:00,False,2015-05-01 00:00,2015-06-30 23:59
OUTSIDE,AUDCAD,long,M,H4,2015-10-01 00:00,2015-11-02 00:00,0.924955,0.93338,0.008425000000000016,0.924955,0.930095,2015-11-10 14:00,2015-11-10 18:00,0.93132,0.93143,0.00010999999999994348,0.013056379821951724,2016-05-02 00:00,False,2015-10-01 00:00,2015-11-30 23:59
OUTSIDE,AUDCAD,long,M,H4,2016-05-02 00:00,2016-06-01 00:00,0.93266,0.946965,0.014304999999999901,0.93266,0.93904,2016-06-10 09:00,2016-06-10 13:00,0.93904,0.94012,0.0010799999999999699,0.07549807759524484,2018-08-01 00:00,False,2016-05-02 00:00,2016-06-30 23:59
OUTSIDE,AUDCAD,long,M,H4,2016-05-02 00:00,2016-06-01 00:00,0.93266,0.946965,0.014304999999999901,0.93266,0.93904,2016-06-14 05:00,2016-06-14 09:00,0.9421,0.94284,0.0007399999999999629,0.05173016427822216,2018-08-01 00:00,False,2016-05-02 00:00,2016-06-30 23:59
OUTSIDE,AUDCAD,long,M,H4,2016-05-02 00:00,2016-06-01 00:00,0.93266,0.946965,0.014304999999999901,0.93266,0.93904,2016-06-14 21:00,2016-06-15 01:00,0.94419,0.94423,4.0000000000040004e-05,0.0027962250961230534,2018-08-01 00:00,False,2016-05-02 00:00,2016-06-30 23:59
OUTSIDE,AUDCAD,long,M,H4,2016-08-01 00:00,2016-09-01 00:00,0.9762,0.98514,0.008940000000000059,0.9762,0.97922,2016-09-05 17:00,2016-09-05 21:00,0.98016,0.98026,9.999999999998899e-05,0.011185682326620618,2016-12-01 00:00,False,2016-08-01 00:00,2016-10-02 23:59
OUTSIDE,AUDCAD,long,M,H4,2016-08-01 00:00,2016-09-01 00:00,0.9762,0.98514,0.008940000000000059,0.9762,0.97922,2016-09-13 13:00,2016-09-13 17:00,0.98104,0.98113,8.999999999992347e-05,0.010067114093951106,2016-12-01 00:00,False,2016-08-01 00:00,2016-10-02 23:59
OUTSIDE,AUDCAD,long,M,H4,2016-08-01 00:00,2016-09-01 00:00,0.9762,0.98514,0.008940000000000059,0.9762,0.97922,2016-09-13 21:00,2016-09-14 01:00,0.98165,0.98254,0.0008899999999999464,0.09955257270692847,2016-12-01 00:00,False,2016-08-01 00:00,2016-10-02 23:59
OUTSIDE,AUDCAD,long,M,H4,2016-08-01 00:00,2016-09-01 00:00,0.9762,0.98514,0.008940000000000059,0.9762,0.97922,2016-09-14 05:00,2016-09-14 09:00,0.98281,0.98288,7.00000000000145e-05,0.007829977628636917,2016-12-01 00:00,False,2016-08-01 00:00,2016-10-02 23:59
OUTSIDE,AUDCAD,long,M,H4,2017-03-01 00:00,2017-04-03 00:00,0.9926,1.01595,0.02334999999999987,0.9926,1.01042,2017-04-26 13:00,2017-04-26 17:00,1.01192,1.01508,0.0031600000000000517,0.13533190578158755,2017-05-01 00:00,False,2017-03-01 00:00,2017-04-30 23:59
OUTSIDE,AUDCAD,long,M,H4,2017-03-01 00:00,2017-04-03 00:00,0.9926,1.01595,0.02334999999999987,0.9926,1.01042,2017-04-27 01:00,2017-04-27 05:00,1.0125,1.01348,0.0009799999999999809,0.041970021413275646,2017-05-01 00:00,False,2017-03-01 00:00,2017-04-30 23:59
OUTSIDE,AUDCAD,long,M,H4,2017-03-01 00:00,2017-04-03 00:00,0.9926,1.01595,0.02334999999999987,0.9926,1.01042,2017-04-27 09:00,2017-04-27 13:00,1.01274,1.01314,0.00039999999999995595,0.017130620985008914,2017-05-01 00:00,False,2017-03-01 00:00,2017-04-30 23:59
OUTSIDE,AUDCAD,long,M,H4,2017-06-01 00:00,2017-07-03 00:00,0.9736,0.9967,0.02310000000000001,0.9736,0.99209,2017-07-28 17:00,2017-07-30 21:00,0.9925,0.99262,0.00011999999999989797,0.005194805194800776,2017-08-01 00:00,False,2017-06-01 00:00,2017-07-31 23:59
OUTSIDE,AUDCAD,long,M,H4,2017-06-01 00:00,2017-07-03 00:00,0.9736,0.9967,0.02310000000000001,0.9736,0.99209,2017-07-31 09:00,2017-07-31 13:00,0.99322,0.99366,0.00043999999999999595,0.019047619047618865,2017-08-01 00:00,False,2017-06-01 00:00,2017-07-31 23:59
OUTSIDE,AUDCAD,long,M,H4,2017-09-01 00:00,2017-10-02 00:00,0.96829,0.97692,0.008630000000000027,0.96829,0.96998,2017-10-11 17:00,2017-10-11 21:00,0.96998,0.97028,0.000300000000000078,0.03476245654693825,2017-11-01 00:00,False,2017-09-01 00:00,2017-10-31 23:59
OUTSIDE,AUDCAD,long,M,H4,2017-11-01 00:00,2017-12-01 00:00,0.95792,0.97575,0.017830000000000013,0.95792,0.96123,2017-12-08 18:00,2017-12-10 22:00,0.964615,0.96484,0.00022500000000003073,0.012619181155357855,2018-01-01 00:00,False,2017-11-01 00:00,2017-12-31 23:59
