pair,timeframe,ltf,pivot_type,first_candle_time,second_candle_time,gap_low,gap_high,first_touch_time,wd_first_candle_time,wd_second_candle_time,wd_zone_low,wd_zone_high
AUDCAD,M,3D,long,2024-01-01,2024-02-01,0.87264,0.88227,2024-03-01,2024-03-28,2024-04-02,0.88012,0.88024
AUDNZD,M,3D,short,2024-04-01,2024-05-01,1.09958,1.10304,,2024-05-01,2024-05-06,1.10276,1.10304
AUDUSD,M,3D,long,2024-02-01,2024-03-01,0.64428,0.64975,2024-04-01,2024-04-26,2024-05-01,0.64653,0.64718
AUDUSD,M,3D,short,2024-03-01,2024-04-01,0.6516,0.66677,2024-05-01,2024-05-01,2024-05-06,0.66439,0.66494
CADCHF,M,3D,short,2024-04-01,2024-05-01,0.66732,0.67216,,2024-05-22,2024-05-27,0.67002,0.6706
EURCAD,M,3D,long,2024-01-01,2024-02-01,1.4462,1.45335,,2024-02-02,2024-02-07,1.4462,1.44923
EURCAD,M,3D,long,2024-03-01,2024-04-01,1.45463,1.46172,,2024-04-18,2024-04-23,1.45806,1.4586
EURCAD,M,3D,short,2024-02-01,2024-03-01,1.46723,1.47802,2024-04-01,2024-04-05,2024-04-10,1.47401,1.47644
EURCAD,M,3D,short,2024-02-01,2024-03-01,1.46723,1.47802,2024-04-01,2024-04-15,2024-04-18,1.4701,1.47298
EURCHF,M,3D,short,2024-04-01,2024-05-01,0.98067,0.99302,,2024-05-22,2024-05-27,0.99292,0.99302
EURGBP,M,3D,long,2024-01-01,2024-02-01,0.84984,0.85263,2024-03-01,2024-03-07,2024-03-12,0.85042,0.85236
EURGBP,M,3D,short,2024-02-01,2024-03-01,0.85586,0.86023,2024-04-01,2024-04-02,2024-04-05,0.85828,0.85864
NZDCAD,M,3D,short,2024-02-01,2024-03-01,0.82645,0.8378,2024-05-01,2024-05-14,2024-05-17,0.8345,0.83562
NZDJPY,M,3D,short,2024-02-01,2024-03-01,91.29,93.454,2024-04-01,2024-04-05,2024-04-10,92.19,92.391
USDCAD,M,3D,long,2024-03-01,2024-04-01,1.342,1.35437,,2024-04-02,2024-04-05,1.3478,1.35404
USDCAD,M,3D,short,2024-04-01,2024-05-01,1.37774,1.38462,,2024-06-07,2024-06-12,1.37794,1.37918
