pair,pivot_type,timeframe,ltf,htf_first_candle_time,htf_second_candle_time,htf_gap_low,htf_gap_high,htf_gap_width,wd_first_candle_time,wd_second_candle_time,wd_zone_low,wd_zone_high,wd_zone_width,wd_zone_pct_of_htf_gap,htf_first_touch_time,pending_until_htf_touch
AUDCAD,long,M,3D,2015-10-01 00:00,2015-11-02 00:00,0.924955,0.93338,0.008425000000000016,2015-10-01 00:00,2015-10-06 00:00,0.924955,0.92548,0.0005249999999999977,0.06231454005934679,2016-05-02 00:00,False
AUDCAD,long,M,3D,2015-10-01 00:00,2015-11-02 00:00,0.924955,0.93338,0.008425000000000016,2015-10-27 00:00,2015-10-30 00:00,0.930095,0.930745,0.0006500000000000394,0.07715133531157724,2016-05-02 00:00,False
AUDCAD,long,M,3D,2016-05-02 00:00,2016-06-01 00:00,0.93266,0.946965,0.014304999999999901,2016-05-24 00:00,2016-05-27 00:00,0.93266,0.93497,0.0023099999999999232,0.16148199930093948,2018-08-01 00:00,False
AUDCAD,long,M,3D,2016-08-01 00:00,2016-09-01 00:00,0.9762,0.98514,0.008940000000000059,2016-09-01 00:00,2016-09-06 00:00,0.97922,0.98016,0.0009400000000000519,0.1051454138702512,2016-12-01 00:00,False
AUDCAD,long,M,3D,2016-08-01 00:00,2016-09-01 00:00,0.9762,0.98514,0.008940000000000059,2016-09-09 00:00,2016-09-14 00:00,0.98104,0.98165,0.0006099999999999994,0.06823266219239323,2016-12-01 00:00,False
AUDCAD,long,M,3D,2017-06-01 00:00,2017-07-03 00:00,0.9736,0.9967,0.02310000000000001,2017-07-21 00:00,2017-07-26 00:00,0.98614,0.98887,0.00273000000000001,0.11818181818181857,2017-08-01 00:00,False
AUDCAD,long,M,3D,2018-04-02 00:00,2018-05-01 00:00,0.95546,0.96702,0.011560000000000015,2018-05-07 00:00,2018-05-10 00:00,0.95546,0.957,0.0015399999999999858,0.13321799307958337,2018-07-02 00:00,False
AUDCAD,long,M,3D,2018-10-01 00:00,2018-11-01 00:00,0.91053,0.93053,0.020000000000000018,2018-10-01 00:00,2018-10-04 00:00,0.91053,0.91324,0.002710000000000101,0.13550000000000495,2019-01-01 00:00,False
AUDCAD,long,M,3D,2018-10-01 00:00,2018-11-01 00:00,0.91053,0.93053,0.020000000000000018,2018-10-22 00:00,2018-10-25 00:00,0.91758,0.91974,0.0021600000000000508,0.10800000000000244,2019-01-01 00:00,False
AUDCAD,long,M,3D,2019-09-02 00:00,2019-10-01 00:00,0.88357,0.8937,0.010130000000000083,2019-10-22 00:00,2019-10-25 00:00,0.89034,0.89102,0.0006800000000000139,0.06712734452122492,2020-01-01 00:00,False
AUDCAD,long,M,3D,2020-10-01 00:00,2020-11-02 00:00,0.9248,0.93622,0.011420000000000097,2020-10-16 00:00,2020-10-21 00:00,0.9248,0.92504,0.00024000000000001798,0.02101576182136742,2021-05-03 00:00,False
AUDCAD,long,M,3D,2021-09-01 00:00,2021-10-01 00:00,0.9094,0.9164,0.007000000000000006,2021-10-06 00:00,2021-10-11 00:00,0.9094,0.91052,0.0011200000000000099,0.16000000000000128,2021-11-01 00:00,False
AUDCAD,long,M,3D,2021-11-01 00:00,2021-12-01 00:00,0.89722,0.91087,0.01364999999999994,2021-12-03 00:00,2021-12-08 00:00,0.89722,0.89966,0.0024399999999999977,0.17875457875457937,2022-01-03 00:00,False
AUDCAD,long,M,3D,2022-04-01 00:00,2022-05-02 00:00,0.89192,0.90796,0.016039999999999943,2022-05-12 00:00,2022-05-17 00:00,0.89192,0.89472,0.0027999999999999137,0.17456359102243912,2022-06-01 00:00,False
AUDCAD,long,M,3D,2022-06-01 00:00,2022-07-01 00:00,0.87359,0.8889,0.015310000000000046,2022-07-11 00:00,2022-07-14 00:00,0.87359,0.87522,0.0016300000000000203,0.10646636185499775,2022-08-01 00:00,False
AUDCAD,long,M,3D,2022-10-03 00:00,2022-11-01 00:00,0.85993,0.87158,0.01165000000000005,2022-11-01 00:00,2022-11-04 00:00,0.8636,0.86362,2.0000000000020002e-05,0.0017167381974266024,2023-08-01 00:00,False
AUDCAD,long,M,3D,2023-06-01 00:00,2023-07-03 00:00,0.87442,0.88236,0.007940000000000058,2023-06-27 00:00,2023-06-30 00:00,0.87442,0.87538,0.0009600000000000719,0.12090680100756485,2023-08-01 00:00,False
AUDCAD,long,M,3D,2023-09-01 00:00,2023-10-02 00:00,0.85648,0.87368,0.017199999999999993,2023-10-18 00:00,2023-10-23 00:00,0.86316,0.86322,5.999999999994898e-05,0.003488372093020291,2024-02-01 00:00,False
AUDCAD,long,M,3D,2024-01-01 00:00,2024-02-01 00:00,0.87264,0.88227,0.009630000000000027,2024-02-07 00:00,2024-02-12 00:00,0.87264,0.87374,0.0010999999999999899,0.11422637590861752,2024-03-01 00:00,False
AUDCAD,long,M,3D,2025-04-01 00:00,2025-05-01 00:00,0.84416,0.88334,0.03917999999999999,2025-04-03 00:00,2025-04-08 00:00,0.84416,0.84573,0.0015699999999999603,0.04007146503317919,,True
AUDCAD,short,M,3D,2015-06-01 00:00,2015-07-01 00:00,0.962915,0.971755,0.00884000000000007,2015-07-17 00:00,2015-07-22 00:00,0.96351,0.9637,0.00019000000000002348,0.021493212669685745,2015-08-03 00:00,False
AUDCAD,short,M,3D,2016-03-01 00:00,2016-04-01 00:00,0.99574,1.0054,0.009660000000000113,2016-03-30 00:00,2016-04-04 00:00,1.00084,1.00262,0.0017800000000001148,0.1842650103519766,2016-07-01 00:00,False
