pair,pivot_type,htf_first_candle_time,htf_second_candle_time,htf_gap_low,htf_gap_high,htf_gap_width,htf_wick_diff_low,htf_wick_diff_high,ltf,wd_first_candle_time,wd_second_candle_time,wd_zone_low,wd_zone_high,wd_zone_width,wd_zone_pct_of_htf_gap,htf_first_touch_time,pending_until_htf_touch,inside_or_outside
NZDCAD,long,2015-06-01 00:00,2015-07-01 00:00,0.83581,0.84534,0.009529999999999927,0.83581,0.83841,3D,2015-07-01 00:00,2015-07-06 00:00,0.83841,0.838865,0.0004549999999999832,0.047743966421824414,2015-08-03 00:00,False,OUTSIDE
NZDCAD,long,2016-04-01 00:00,2016-05-02 00:00,0.85922,0.87593,0.016710000000000003,0.85922,0.86946,3D,2016-05-24 00:00,2016-05-27 00:00,0.86946,0.871685,0.0022250000000000325,0.13315380011969075,2017-09-01 00:00,False,OUTSIDE
NZDCAD,long,2020-08-03 00:00,2020-09-01 00:00,0.85769,0.87857,0.02088000000000001,0.85769,0.87261,3D,2020-09-22 00:00,2020-09-25 00:00,0.87261,0.87309,0.00048000000000003595,0.022988505747128147,2020-10-01 00:00,False,OUTSIDE
NZDCAD,short,2020-09-01 00:00,2020-10-01 00:00,0.88128,0.89402,0.012740000000000085,0.88719,0.89402,3D,2020-10-26 00:00,2020-10-29 00:00,0.88634,0.88719,0.0008500000000000174,0.06671899529042478,2020-11-02 00:00,False,OUTSIDE
NZDCAD,long,2020-10-01 00:00,2020-11-02 00:00,0.86302,0.88103,0.01800999999999997,0.86302,0.87604,3D,2020-10-29 00:00,2020-11-03 00:00,0.87604,0.87647,0.00042999999999993044,0.023875624652966748,2021-03-01 00:00,False,OUTSIDE
NZDCAD,short,2021-04-01 00:00,2021-05-03 00:00,0.88038,0.90826,0.027879999999999905,0.88638,0.90826,3D,2021-05-25 00:00,2021-05-28 00:00,0.8807,0.88528,0.0045799999999999175,0.16427546628407222,2021-07-01 00:00,False,OUTSIDE
NZDCAD,long,2021-06-01 00:00,2021-07-01 00:00,0.85994,0.86628,0.006340000000000012,0.85994,0.86308,3D,2021-06-28 00:00,2021-07-01 00:00,0.86308,0.86312,4.0000000000040004e-05,0.006309148264990525,2021-10-01 00:00,False,OUTSIDE
NZDCAD,short,2022-07-01 00:00,2022-08-01 00:00,0.80496,0.82536,0.020399999999999974,0.8095,0.82536,3D,2022-08-22 00:00,2022-08-25 00:00,0.80657,0.80859,0.0020200000000000218,0.09901960784313844,2022-09-01 00:00,False,OUTSIDE
NZDCAD,short,2022-12-01 00:00,2023-01-02 00:00,0.86027,0.88184,0.021569999999999978,0.87348,0.88184,3D,2023-01-23 00:00,2023-01-26 00:00,0.87019,0.87226,0.0020700000000000163,0.09596662030598138,2023-02-01 00:00,False,OUTSIDE
NZDCAD,short,2024-02-01 00:00,2024-03-01 00:00,0.82645,0.8378,0.011349999999999971,0.83472,0.8378,3D,2024-03-07 00:00,2024-03-12 00:00,0.83327,0.83472,0.0014500000000000624,0.12775330396476353,2024-05-01 00:00,False,OUTSIDE
CHFJPY,short,2015-01-01 00:00,2015-02-02 00:00,127.63,139.142,11.512,130.067,139.142,3D,2015-02-09 00:00,2015-02-12 00:00,130.012,130.067,0.05500000000000682,0.00477762334954889,2015-04-01 00:00,False,OUTSIDE
CHFJPY,long,2015-03-02 00:00,2015-04-01 00:00,119.917,123.5355,3.6184999999999974,119.917,121.97,3D,2015-04-08 00:00,2015-04-13 00:00,121.97,122.4235,0.45350000000000534,0.12532817465800902,2015-09-01 00:00,False,OUTSIDE
CHFJPY,short,2016-05-02 00:00,2016-06-01 00:00,111.419,112.761,1.3419999999999987,111.7835,112.761,3D,2016-06-06 00:00,2016-06-09 00:00,111.648,111.7835,0.1355000000000075,0.1009687034277255,2016-11-01 00:00,False,OUTSIDE
CHFJPY,long,2016-09-01 00:00,2016-10-03 00:00,102.8925,104.336,1.4435000000000002,102.8925,104.0105,3D,2016-10-18 00:00,2016-10-21 00:00,104.0105,104.269,0.25850000000001216,0.17907862833391902,,True,OUTSIDE
