wd_variant,pair,pivot_type,htf,ltf,htf_first_candle_time,htf_second_candle_time,htf_gap_low,htf_gap_high,htf_gap_width,htf_wick_diff_low,htf_wick_diff_high,wd_first_candle_time,wd_second_candle_time,wd_zone_low,wd_zone_high,wd_zone_width,wd_zone_pct_of_htf_gap,htf_first_touch_time,pending_until_htf_touch
ALL,AUDCAD,long,W,H12,2022-03-07 00:00,2022-03-14 00:00,0.91716,0.9299,0.012739999999999974,0.91716,0.92782,2022-03-15 09:00,2022-03-15 21:00,0.91716,0.9177,0.0005399999999999849,0.042386185243327004,2022-03-21 00:00,False
ALL,AUDCAD,long,W,H12,2022-04-25 00:00,2022-05-02 00:00,0.9049,0.90796,0.0030599999999999516,0.9049,0.90708,2022-05-02 09:00,2022-05-02 21:00,0.90726,0.90742,0.000160000000000049,0.05228758169936324,2022-05-09 00:00,False
ALL,AUDCAD,long,W,H12,2022-05-09 00:00,2022-05-16 00:00,0.89192,0.89575,0.00383,0.89192,0.89226,2022-05-15 21:00,2022-05-16 09:00,0.89192,0.89262,0.0006999999999999229,0.1827676240208676,2022-06-13 00:00,False
ALL,AUDCAD,long,W,H12,2022-06-06 00:00,2022-06-13 00:00,0.88836,0.90068,0.012319999999999998,0.88836,0.89844,2022-06-14 09:00,2022-06-14 21:00,0.88836,0.88845,8.999999999992347e-05,0.007305194805188595,2022-06-20 00:00,False
ALL,AUDCAD,long,W,H12,2022-06-06 00:00,2022-06-13 00:00,0.88836,0.90068,0.012319999999999998,0.88836,0.89844,2022-06-15 21:00,2022-06-16 09:00,0.8997,0.9006,0.0008999999999999009,0.07305194805194003,2022-06-20 00:00,False
ALL,AUDCAD,long,W,H12,2022-06-27 00:00,2022-07-04 00:00,0.87462,0.8782,0.0035800000000000276,0.87462,0.87646,2022-07-04 21:00,2022-07-05 09:00,0.87646,0.87711,0.0006499999999999284,0.18156424581003447,2022-07-11 00:00,False
ALL,AUDCAD,long,W,H12,2022-07-11 00:00,2022-07-18 00:00,0.87359,0.88488,0.011290000000000022,0.87359,0.88262,2022-07-13 09:00,2022-07-13 21:00,0.87359,0.87522,0.0016300000000000203,0.14437555358724685,2022-09-05 00:00,False
ALL,AUDCAD,long,W,H12,2022-07-11 00:00,2022-07-18 00:00,0.87359,0.88488,0.011290000000000022,0.87359,0.88262,2022-07-14 21:00,2022-07-15 09:00,0.88186,0.88204,0.000180000000000069,0.015943312666082253,2022-09-05 00:00,False
ALL,AUDCAD,long,W,H12,2022-07-11 00:00,2022-07-18 00:00,0.87359,0.88488,0.011290000000000022,0.87359,0.88262,2022-07-18 09:00,2022-07-18 21:00,0.88262,0.88297,0.0003500000000000725,0.03100088573959892,2022-09-05 00:00,False
ALL,AUDCAD,long,W,H12,2022-08-15 00:00,2022-08-22 00:00,0.89214,0.8935,0.0013599999999999168,0.89214,0.89218,2022-08-19 09:00,2022-08-21 21:00,0.89214,0.89218,3.999999999992898e-05,0.02941176470583193,2022-08-29 00:00,False
