wd_variant,pair,pivot_type,htf,ltf,htf_first_candle_time,htf_second_candle_time,htf_gap_low,htf_gap_high,htf_gap_width,htf_wick_diff_low,htf_wick_diff_high,wd_first_candle_time,wd_second_candle_time,wd_zone_low,wd_zone_high,wd_zone_width,wd_zone_pct_of_htf_gap,htf_first_touch_time,pending_until_htf_touch,wd_search_window_start,wd_search_window_end
INNER,AUDCAD,long,W,H4,2015-01-19 00:00,2015-01-26 00:00,0.975105,0.982915,0.007809999999999984,0.975105,0.977495,2015-01-29 10:00,2015-01-29 14:00,0.975105,0.97549,0.0003849999999999687,0.04929577464788342,2015-02-02 00:00,False,2015-01-19 00:00,2015-02-01 23:59
INNER,AUDCAD,long,W,H4,2015-03-02 00:00,2015-03-09 00:00,0.962765,0.973935,0.011170000000000013,0.962765,0.96843,2015-03-11 01:00,2015-03-11 05:00,0.963305,0.96381,0.0005049999999999777,0.04521038495971147,2015-03-16 00:00,False,2015-03-02 00:00,2015-03-15 23:59
INNER,AUDCAD,long,W,H4,2015-03-16 00:00,2015-03-23 00:00,0.969925,0.97607,0.006144999999999956,0.969925,0.97139,2015-03-19 13:00,2015-03-19 17:00,0.970245,0.970325,7.999999999996898e-05,0.013018714401947852,2015-03-30 00:00,False,2015-03-16 00:00,2015-03-29 23:59
INNER,AUDCAD,long,W,H4,2015-03-30 00:00,2015-04-06 00:00,0.94552,0.9534,0.007879999999999998,0.94552,0.951205,2015-04-06 21:00,2015-04-07 01:00,0.94552,0.946755,0.0012349999999999861,0.15672588832487136,2015-04-13 00:00,False,2015-03-30 00:00,2015-04-12 23:59
INNER,AUDCAD,long,W,H4,2016-02-01 00:00,2016-02-08 00:00,0.97122,0.98345,0.012230000000000074,0.97122,0.97873,2016-02-09 10:00,2016-02-09 14:00,0.97122,0.9729,0.0016800000000000148,0.137367130008177,2016-02-15 00:00,False,2016-02-01 00:00,2016-02-14 23:59
INNER,AUDCAD,long,W,H4,2016-02-22 00:00,2016-02-29 00:00,0.95986,0.963255,0.003394999999999926,0.95986,0.96254,2016-03-01 14:00,2016-03-01 18:00,0.95986,0.9602,0.00034000000000000696,0.1001472754050116,2016-04-25 00:00,False,2016-02-22 00:00,2016-03-06 23:59
INNER,AUDCAD,long,W,H4,2016-03-14 00:00,2016-03-21 00:00,0.98655,0.98869,0.0021399999999999197,0.98655,0.98816,2016-03-18 09:00,2016-03-18 13:00,0.98655,0.98675,0.00019999999999997797,0.09345794392522686,2016-04-04 00:00,False,2016-03-14 00:00,2016-03-27 23:59
INNER,AUDCAD,long,W,H4,2016-04-04 00:00,2016-04-11 00:00,0.97533,0.98116,0.005830000000000002,0.97533,0.98075,2016-04-13 21:00,2016-04-14 01:00,0.9795,0.97966,0.00015999999999993797,0.02744425385933755,2016-04-18 00:00,False,2016-04-04 00:00,2016-04-17 23:59
INNER,AUDCAD,long,W,H4,2016-06-27 00:00,2016-07-04 00:00,0.95786,0.968,0.010139999999999927,0.95786,0.96198,2016-06-27 17:00,2016-06-27 21:00,0.95786,0.95798,0.00012000000000000899,0.01183431952662819,2016-12-26 00:00,False,2016-06-27 00:00,2016-07-10 23:59
INNER,AUDCAD,long,W,H4,2016-07-18 00:00,2016-07-25 00:00,0.97364,0.97983,0.006190000000000029,0.97364,0.97858,2016-07-21 09:00,2016-07-21 13:00,0.97632,0.97644,0.00012000000000000899,0.019386106623587793,2016-08-15 00:00,False,2016-07-18 00:00,2016-07-31 23:59
INNER,AUDCAD,long,W,H4,2016-07-18 00:00,2016-07-25 00:00,0.97364,0.97983,0.006190000000000029,0.97364,0.97858,2016-07-22 09:00,2016-07-22 13:00,0.97668,0.97688,0.00019999999999997797,0.03231017770597367,2016-08-15 00:00,False,2016-07-18 00:00,2016-07-31 23:59
