pair,pivot_type,htf_first_candle_time,htf_second_candle_time,htf_gap_low,htf_gap_high,htf_gap_width,htf_wick_diff_low,htf_wick_diff_high,ltf,wd_first_candle_time,wd_second_candle_time,wd_zone_low,wd_zone_high,wd_zone_width,wd_zone_pct_of_htf_gap,htf_first_touch_time,pending_until_htf_touch
CADCHF,short,2015-01-05 00:00,2015-01-12 00:00,0.85477,0.86508,0.01030999999999993,0.8576,0.86508,H4,2015-01-12 06:00,2015-01-12 10:00,0.856755,0.8576,0.0008449999999999847,0.08195926285159945,,True
CADCHF,long,2015-01-19 00:00,2015-01-26 00:00,0.69066,0.70858,0.017919999999999936,0.69066,0.70376,H4,2015-01-22 10:00,2015-01-22 14:00,0.69066,0.69323,0.002569999999999961,0.1434151785714269,2015-08-24 00:00,False
CADCHF,long,2015-01-19 00:00,2015-01-26 00:00,0.69066,0.70858,0.017919999999999936,0.69066,0.70376,H4,2015-01-22 22:00,2015-01-23 02:00,0.701295,0.70145,0.00015500000000001624,0.008649553571429509,2015-08-24 00:00,False
CADCHF,long,2015-01-19 00:00,2015-01-26 00:00,0.69066,0.70858,0.017919999999999936,0.69066,0.70376,H4,2015-01-23 06:00,2015-01-23 10:00,0.70196,0.70203,7.00000000000145e-05,0.003906250000000823,2015-08-24 00:00,False
CADCHF,long,2015-01-19 00:00,2015-01-26 00:00,0.69066,0.70858,0.017919999999999936,0.69066,0.70376,H4,2015-01-25 22:00,2015-01-26 02:00,0.70376,0.704415,0.0006549999999999612,0.03655133928571225,2015-08-24 00:00,False
CADCHF,short,2015-02-09 00:00,2015-02-16 00:00,0.748695,0.7658,0.017105000000000037,0.749795,0.7658,H4,2015-02-20 06:00,2015-02-20 10:00,0.765355,0.7658,0.0004450000000000287,0.02601578485823021,2015-02-23 00:00,False
CADCHF,short,2015-03-09 00:00,2015-03-16 00:00,0.786555,0.79503,0.00847500000000001,0.78967,0.79503,H4,2015-03-12 01:00,2015-03-12 05:00,0.793995,0.794285,0.00029000000000001247,0.03421828908554715,2015-04-13 00:00,False
CADCHF,short,2015-03-09 00:00,2015-03-16 00:00,0.786555,0.79503,0.00847500000000001,0.78967,0.79503,H4,2015-03-12 13:00,2015-03-12 17:00,0.79318,0.79322,4.0000000000040004e-05,0.004719764011804124,2015-04-13 00:00,False
CADCHF,short,2015-03-09 00:00,2015-03-16 00:00,0.786555,0.79503,0.00847500000000001,0.78967,0.79503,H4,2015-03-13 09:00,2015-03-13 13:00,0.791365,0.79183,0.0004650000000000487,0.054867256637173824,2015-04-13 00:00,False
CADCHF,long,2015-03-30 00:00,2015-04-06 00:00,0.759035,0.762225,0.003190000000000026,0.759035,0.761685,H4,2015-04-03 17:00,2015-04-05 21:00,0.761415,0.761685,0.00026999999999999247,0.08463949843259883,2015-05-04 00:00,False
CADCHF,short,2015-04-06 00:00,2015-04-13 00:00,0.779225,0.789595,0.010370000000000101,0.77982,0.789595,H4,2015-04-16 05:00,2015-04-16 09:00,0.78934,0.789595,0.0002550000000000052,0.024590163934426493,2015-04-20 00:00,False
CADCHF,short,2015-04-06 00:00,2015-04-13 00:00,0.779225,0.789595,0.010370000000000101,0.77982,0.789595,H4,2015-04-17 09:00,2015-04-17 13:00,0.78868,0.788935,0.0002550000000000052,0.024590163934426493,2015-04-20 00:00,False
