pair,timeframe,ltf,pivot_type,first_candle_time,second_candle_time,gap_low,gap_high,first_touch_time,wd_first_candle_time,wd_second_candle_time,wd_zone_low,wd_zone_high
AUDCAD,W,H4,long,2024-01-29,2024-02-05,0.87264,0.877,2024-02-12,2024-02-13 10:00:00,2024-02-13 14:00:00,0.87374,0.8741
AUDCAD,W,H4,long,2024-01-29,2024-02-05,0.87264,0.877,2024-02-12,2024-02-13 18:00:00,2024-02-13 22:00:00,0.8749,0.87525
AUDCAD,W,H4,long,2024-02-26,2024-03-04,0.88059,0.88492,2024-03-18,2024-03-19 05:00:00,2024-03-19 09:00:00,0.88318,0.88354
AUDCAD,W,H4,long,2024-02-26,2024-03-04,0.88059,0.88492,2024-03-18,2024-03-22 05:00:00,2024-03-22 09:00:00,0.88355,0.88389
AUDCAD,W,H4,long,2024-02-26,2024-03-04,0.88059,0.88492,2024-03-18,2024-03-28 17:00:00,2024-03-28 21:00:00,0.88148,0.88208
AUDCAD,W,H4,long,2024-02-26,2024-03-04,0.88059,0.88492,2024-03-18,2024-03-29 01:00:00,2024-03-29 05:00:00,0.88134,0.88154
AUDCAD,W,H4,long,2024-02-26,2024-03-04,0.88059,0.88492,2024-03-18,2024-03-29 17:00:00,2024-03-31 21:00:00,0.88146,0.88231
AUDCAD,W,H4,long,2024-03-25,2024-04-01,0.88012,0.8827,2024-04-15,2024-04-19 17:00:00,2024-04-21 21:00:00,0.88148,0.88226
AUDCAD,W,H4,long,2024-05-06,2024-05-13,0.90066,0.9029,,2024-05-14 01:00:00,2024-05-14 05:00:00,0.90254,0.90258
AUDCAD,W,H4,long,2024-05-06,2024-05-13,0.90066,0.9029,,2024-05-14 09:00:00,2024-05-14 13:00:00,0.90066,0.90248
AUDCAD,W,H4,long,2024-05-20,2024-05-27,0.90481,0.90572,,2024-05-31 13:00:00,2024-05-31 17:00:00,0.90539,0.90546
AUDCAD,W,H4,long,2024-05-20,2024-05-27,0.90481,0.90572,,2024-06-03 01:00:00,2024-06-03 05:00:00,0.90551,0.90568
AUDCAD,W,H4,short,2024-02-19,2024-02-26,0.88671,0.889,2024-03-04,2024-03-06 14:00:00,2024-03-06 18:00:00,0.88818,0.88892
AUDCAD,W,H4,short,2024-04-01,2024-04-08,0.89418,0.90074,2024-04-22,2024-04-29 01:00:00,2024-04-29 05:00:00,0.8974,0.89792
AUDCAD,W,H4,short,2024-04-01,2024-04-08,0.89418,0.90074,2024-04-22,2024-04-29 17:00:00,2024-04-29 21:00:00,0.8974,0.89745
AUDCAD,W,H4,short,2024-04-01,2024-04-08,0.89418,0.90074,2024-04-22,2024-04-30 05:00:00,2024-04-30 09:00:00,0.89418,0.8944
AUDCAD,W,H4,short,2024-04-01,2024-04-08,0.89418,0.90074,2024-04-22,2024-05-01 17:00:00,2024-05-01 21:00:00,0.89686,0.897
AUDCAD,W,H4,short,2024-04-01,2024-04-08,0.89418,0.90074,2024-04-22,2024-05-02 01:00:00,2024-05-02 05:00:00,0.89688,0.8976
AUDCAD,W,H4,short,2024-04-01,2024-04-08,0.89418,0.90074,2024-04-22,2024-05-02 21:00:00,2024-05-03 01:00:00,0.89889,0.89924
AUDCAD,W,H4,short,2024-04-29,2024-05-06,0.90452,0.90767,2024-05-13,2024-05-13 09:00:00,2024-05-13 13:00:00,0.90548,0.90608
AUDCAD,W,H4,short,2024-04-29,2024-05-06,0.90452,0.90767,2024-05-13,2024-05-14 17:00:00,2024-05-14 21:00:00,0.90468,0.90498
AUDCAD,W,H4,short,2024-04-29,2024-05-06,0.90452,0.90767,2024-05-13,2024-05-15 01:00:00,2024-05-15 05:00:00,0.90693,0.90706
AUDCAD,W,H4,short,2024-04-29,2024-05-06,0.90452,0.90767,2024-05-13,2024-05-23 01:00:00,2024-05-23 05:00:00,0.90698,0.9073
AUDCAD,W,H4,short,2024-05-13,2024-05-20,0.9111,0.91258,,2024-05-20 01:00:00,2024-05-20 05:00:00,0.91248,0.91258
AUDCAD,W,H4,short,2024-05-13,2024-05-20,0.9111,0.91258,,2024-05-21 09:00:00,2024-05-21 13:00:00,0.91133,0.91193
AUDCHF,W,H4,long,2024-01-08,2024-01-15,0.56394,0.5701,2024-01-22,2024-01-24 18:00:00,2024-01-24 22:00:00,0.56719,0.56729
AUDCHF,W,H4,long,2024-01-08,2024-01-15,0.56394,0.5701,2024-01-22,2024-01-26 06:00:00,2024-01-26 10:00:00,0.56876,0.56936
AUDCHF,W,H4,long,2024-01-08,2024-01-15,0.56394,0.5701,2024-01-22,2024-01-26 18:00:00,2024-01-28 22:00:00,0.56761,0.56815
AUDCHF,W,H4,long,2024-01-08,2024-01-15,0.56394,0.5701,2024-01-22,2024-01-29 06:00:00,2024-01-29 10:00:00,0.56784,0.56842
AUDCHF,W,H4,long,2024-01-08,2024-01-15,0.56394,0.5701,2024-01-22,2024-01-29 18:00:00,2024-01-29 22:00:00,0.56908,0.56916
AUDCHF,W,H4,long,2024-01-08,2024-01-15,0.56394,0.5701,2024-01-22,2024-01-30 10:00:00,2024-01-30 14:00:00,0.56786,0.56794
AUDCHF,W,H4,long,2024-01-08,2024-01-15,0.56394,0.5701,2024-01-22,2024-01-31 02:00:00,2024-01-31 06:00:00,0.56602,0.56632
