pair,pivot_type,timeframe,ltf,htf_first_candle_time,htf_second_candle_time,htf_gap_low,htf_gap_high,htf_gap_width,wd_first_candle_time,wd_second_candle_time,wd_zone_low,wd_zone_high,wd_zone_width,wd_zone_pct_of_htf_gap,htf_first_touch_time,pending_until_htf_touch
AUDCAD,long,W,H4,2015-01-19 00:00,2015-01-26 00:00,0.975105,0.982915,0.007809999999999984,2015-01-29 10:00,2015-01-29 14:00,0.975105,0.97549,0.0003849999999999687,0.04929577464788342,2015-02-02 00:00,False
AUDCAD,long,W,H4,2015-02-09 00:00,2015-02-16 00:00,0.959355,0.96657,0.0072150000000000825,2015-02-17 06:00,2015-02-17 10:00,0.96641,0.966555,0.00014500000000006175,0.020097020097028424,2015-03-09 00:00,False
AUDCAD,long,W,H4,2015-03-02 00:00,2015-03-09 00:00,0.962765,0.973935,0.011170000000000013,2015-03-11 01:00,2015-03-11 05:00,0.963305,0.96381,0.0005049999999999777,0.04521038495971147,2015-03-16 00:00,False
AUDCAD,long,W,H4,2015-03-16 00:00,2015-03-23 00:00,0.969925,0.97607,0.006144999999999956,2015-03-19 13:00,2015-03-19 17:00,0.970245,0.970325,7.999999999996898e-05,0.013018714401947852,2015-03-30 00:00,False
AUDCAD,long,W,H4,2015-03-30 00:00,2015-04-06 00:00,0.94552,0.9534,0.007879999999999998,2015-04-06 21:00,2015-04-07 01:00,0.94552,0.946755,0.0012349999999999861,0.15672588832487136,2015-04-13 00:00,False
AUDCAD,long,W,H4,2015-04-13 00:00,2015-04-20 00:00,0.94105,0.95292,0.011869999999999936,2015-04-20 21:00,2015-04-21 01:00,0.941895,0.942195,0.00029999999999996696,0.02527379949452136,2015-04-27 00:00,False
AUDCAD,long,W,H4,2015-04-13 00:00,2015-04-20 00:00,0.94105,0.95292,0.011869999999999936,2015-04-24 05:00,2015-04-24 09:00,0.94304,0.944335,0.0012950000000000461,0.10909856781803312,2015-04-27 00:00,False
AUDCAD,long,W,H4,2015-06-01 00:00,2015-06-08 00:00,0.943235,0.94837,0.005135000000000001,2015-06-12 05:00,2015-06-12 09:00,0.946315,0.94662,0.0003049999999999997,0.05939629990262895,2015-06-15 00:00,False
AUDCAD,long,W,H4,2015-07-06 00:00,2015-07-13 00:00,0.940515,0.9425,0.0019850000000000145,2015-07-10 17:00,2015-07-12 21:00,0.941665,0.94203,0.0003650000000000597,0.18387909319902118,2015-07-27 00:00,False
AUDCAD,long,W,H4,2016-02-01 00:00,2016-02-08 00:00,0.97122,0.98345,0.012230000000000074,2016-02-09 10:00,2016-02-09 14:00,0.97122,0.9729,0.0016800000000000148,0.137367130008177,2016-02-15 00:00,False
AUDCAD,long,W,H4,2016-02-01 00:00,2016-02-08 00:00,0.97122,0.98345,0.012230000000000074,2016-02-12 14:00,2016-02-12 18:00,0.98101,0.98172,0.0007099999999999884,0.058053965658216196,2016-02-15 00:00,False
AUDCAD,long,W,H4,2016-02-22 00:00,2016-02-29 00:00,0.95986,0.963255,0.003394999999999926,2016-03-01 14:00,2016-03-01 18:00,0.95986,0.9602,0.00034000000000000696,0.1001472754050116,2016-04-25 00:00,False
AUDCAD,long,W,H4,2016-03-14 00:00,2016-03-21 00:00,0.98655,0.98869,0.0021399999999999197,2016-03-18 09:00,2016-03-18 13:00,0.98655,0.98675,0.00019999999999997797,0.09345794392522686,2016-04-04 00:00,False
AUDCAD,long,W,H4,2016-04-04 00:00,2016-04-11 00:00,0.97533,0.98116,0.005830000000000002,2016-04-13 21:00,2016-04-14 01:00,0.9795,0.97966,0.00015999999999993797,0.02744425385933755,2016-04-18 00:00,False
AUDCAD,long,W,H4,2016-05-23 00:00,2016-05-30 00:00,0.93266,0.93588,0.0032200000000000006,2016-05-27 17:00,2016-05-29 21:00,0.93497,0.93556,0.0005899999999999794,0.18322981366458985,2018-09-03 00:00,False
