pair,pivot_type,htf_first_candle_time,htf_second_candle_time,htf_gap_low,htf_gap_high,htf_gap_width,htf_wick_diff_low,htf_wick_diff_high,ltf,wd_first_candle_time,wd_second_candle_time,wd_zone_low,wd_zone_high,wd_zone_width,wd_zone_pct_of_htf_gap,htf_first_touch_time,pending_until_htf_touch,inside_or_outside
CADCHF,long,2020-04-27 00:00,2020-05-04 00:00,0.68032,0.68234,0.0020199999999999108,0.68032,0.68074,H4,2020-05-03 21:00,2020-05-04 01:00,0.68074,0.68084,9.999999999998899e-05,0.04950495049504624,2020-07-27 00:00,False,OUTSIDE
CADCHF,short,2020-06-01 00:00,2020-06-08 00:00,0.71703,0.72023,0.0032000000000000917,0.719,0.72023,H4,2020-06-08 05:00,2020-06-08 09:00,0.71844,0.719,0.0005600000000000049,0.17499999999999652,2021-02-22 00:00,False,OUTSIDE
CADCHF,short,2020-08-17 00:00,2020-08-24 00:00,0.69184,0.69394,0.0020999999999999908,0.6933,0.69394,H4,2020-08-27 21:00,2020-08-28 01:00,0.69308,0.69311,2.999999999997449e-05,0.014285714285702201,2020-08-31 00:00,False,OUTSIDE
CADCHF,long,2020-08-24 00:00,2020-08-31 00:00,0.68732,0.69032,0.0030000000000000027,0.68732,0.6899,H4,2020-08-31 05:00,2020-08-31 09:00,0.6899,0.69016,0.000260000000000038,0.08666666666667924,2020-09-07 00:00,False,OUTSIDE
CADCHF,long,2020-09-28 00:00,2020-10-05 00:00,0.686,0.69162,0.005619999999999958,0.686,0.68814,H4,2020-10-06 21:00,2020-10-07 01:00,0.68814,0.68842,0.000280000000000058,0.04982206405695019,2020-10-12 00:00,False,OUTSIDE
CADCHF,long,2020-09-28 00:00,2020-10-05 00:00,0.686,0.69162,0.005619999999999958,0.686,0.68814,H4,2020-10-07 09:00,2020-10-07 13:00,0.68895,0.68972,0.0007700000000000484,0.13701067615659326,2020-10-12 00:00,False,OUTSIDE
CADCHF,long,2020-09-28 00:00,2020-10-05 00:00,0.686,0.69162,0.005619999999999958,0.686,0.68814,H4,2020-10-08 01:00,2020-10-08 05:00,0.69127,0.69156,0.00028999999999990145,0.05160142348752733,2020-10-12 00:00,False,OUTSIDE
CADCHF,short,2020-10-05 00:00,2020-10-12 00:00,0.6939,0.69762,0.0037200000000000566,0.69544,0.69762,H4,2020-10-15 01:00,2020-10-15 05:00,0.69472,0.69482,9.999999999998899e-05,0.02688172043010416,2020-10-19 00:00,False,OUTSIDE
CADCHF,short,2020-10-05 00:00,2020-10-12 00:00,0.6939,0.69762,0.0037200000000000566,0.69544,0.69762,H4,2020-10-16 13:00,2020-10-16 17:00,0.69456,0.69458,2.0000000000020002e-05,0.0053763440860268,2020-10-19 00:00,False,OUTSIDE
CADCHF,long,2020-10-26 00:00,2020-11-02 00:00,0.6818,0.68834,0.00653999999999999,0.6818,0.68601,H4,2020-11-02 02:00,2020-11-02 06:00,0.68734,0.68744,0.00010000000000010001,0.015290519877691155,2020-12-21 00:00,False,OUTSIDE
CADCHF,long,2020-12-14 00:00,2020-12-21 00:00,0.68626,0.69071,0.004450000000000065,0.68626,0.69056,H4,2020-12-24 02:00,2020-12-24 06:00,0.69056,0.69067,0.0001100000000000545,0.024719101123607392,2020-12-28 00:00,False,OUTSIDE
CADCHF,long,2021-01-18 00:00,2021-01-25 00:00,0.69058,0.69546,0.0048799999999999955,0.69058,0.69486,H4,2021-01-29 14:00,2021-01-29 18:00,0.69494,0.69525,0.00031000000000003247,0.06352459016394114,2022-11-28 00:00,False,OUTSIDE
CADCHF,short,2021-02-01 00:00,2021-02-08 00:00,0.70482,0.70613,0.0013100000000000334,0.70603,0.70613,H4,2021-02-08 18:00,2021-02-08 22:00,0.70574,0.70584,9.999999999998899e-05,0.07633587786258507,2021-02-15 00:00,False,OUTSIDE
CADCHF,long,2021-03-15 00:00,2021-03-22 00:00,0.7364,0.74322,0.006819999999999937,0.7364,0.74111,H4,2021-03-24 01:00,2021-03-24 05:00,0.74134,0.74156,0.00021999999999999797,0.03225806451612903,2021-03-29 00:00,False,OUTSIDE
CADCHF,long,2021-03-15 00:00,2021-03-22 00:00,0.7364,0.74322,0.006819999999999937,0.7364,0.74111,H4,2021-03-25 09:00,2021-03-25 13:00,0.742,0.74319,0.0011900000000000244,0.17448680351906676,2021-03-29 00:00,False,OUTSIDE
CADCHF,long,2021-05-03 00:00,2021-05-10 00:00,0.73976,0.74228,0.0025200000000000777,0.73976,0.74162,H4,2021-05-10 09:00,2021-05-10 13:00,0.74178,0.7422,0.00041999999999997595,0.16666666666665197,2021-05-17 00:00,False,OUTSIDE
CADCHF,short,2021-05-10 00:00,2021-05-17 00:00,0.74455,0.75228,0.007729999999999904,0.7497,0.75228,H4,2021-05-21 09:00,2021-05-21 13:00,0.74655,0.74703,0.00047999999999992493,0.06209573091849042,2021-05-24 00:00,False,OUTSIDE
