time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-24,78.34,78.34,76.275,77.275,,
2004-06-07,77.275,77.46,74.79,74.995,,
2004-06-21,74.985,77.265,74.655,77.265,,
2004-07-05,77.255,79.565,77.255,79.565,,
2004-07-19,79.625,79.625,77.58,78.245,,
2004-08-02,78.155,79.39,77.88,79.375,,
2004-08-16,78.975,79.34,77.065,77.065,,
2004-08-30,76.865,77.03,75.51,76.265,,
2004-09-13,76.245,79.05,76.245,79.035,,
2004-09-27,79.005,80.985,79.005,80.475,,
2004-10-11,80.725,80.725,78.79,79.245,,
2004-10-25,79.545,80.545,79.185,80.545,,
2004-11-08,80.485,81.53,79.96,80.775,,
2004-11-22,80.815,81.21,79.44,79.785,,
2004-12-06,79.775,79.85,78.86,79.635,,
2004-12-20,79.365,80.395,79.365,80.135,,
2005-01-03,80.195,80.46,77.14,77.425,,
2005-01-17,77.485,80.32,77.01,80.045,,
2005-01-31,80.145,83.2,79.865,83.095,,
2005-02-14,82.855,83.545,82.05,82.755,,
2005-02-28,82.835,83.67,81.52,82.455,,
2005-03-14,82.325,83.32,81.53,82.065,,
2005-03-28,82.125,83.85,82.095,83.535,,
2005-04-11,83.515,83.93,82.05,82.805,,
2005-04-25,82.315,82.78,81.01,81.445,,
2005-05-09,81.425,82.29,80.66,81.775,,
2005-05-23,81.695,82.47,81.14,81.465,,
2005-06-06,81.395,84.78,81.33,84.455,,
2005-06-20,84.535,85.02,83.65,84.055,,-1
2005-07-04,84.015,84.54,82.68,84.055,,-1
2005-07-18,84.045,85.7,83.885,85.105,,-1
2005-08-01,85.115,86.375,84.41,84.435,,-1
2005-08-15,84.575,84.72,82.66,83.325,,-1
2005-08-29,83.295,85.52,82.95,85.015,,-1
2005-09-12,84.505,86.07,84.495,85.165,,-1
2005-09-26,85.115,87.36,84.79,86.145,,-1
2005-10-10,86.005,87.07,85.59,86.795,,
2005-10-24,86.705,87.62,86.31,86.755,,
2005-11-07,86.565,87.455,85.87,87.325,,
2005-11-21,87.335,90.34,87.2,90.225,,
2005-12-05,90.445,91.36,85.95,86.015,,
2005-12-19,86.045,86.95,84.54,86.305,,
2006-01-02,86.305,87.01,85.55,86.235,,
2006-01-16,86.185,88.22,85.67,87.925,,
2006-01-30,87.965,89.43,86.64,86.935,,
2006-02-13,86.865,87.92,85.99,86.435,,
2006-02-27,86.335,87.41,85.5,87.105,,
2006-03-13,87.065,87.56,83.165,83.255,,
2006-03-27,83.325,86.33,82.11,85.895,,
2006-04-10,85.735,87.87,85.705,86.755,,
2006-04-24,86.325,87.81,85.06,86.975,,
2006-05-08,86.555,86.72,83.63,84.675,,
