time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-24,80.84,82.25,80.72,82.25,,
2004-06-07,82.25,82.25,79.89,79.89,,
2004-06-21,79.89,81.81,79.66,81.81,,
2004-07-05,81.81,82.96,81.81,82.88,,
2004-07-19,82.88,84.56,82.49,83.64,,
2004-08-02,83.64,84.8,83.11,84.56,,
2004-08-16,84.56,84.56,83.53,83.53,,
2004-08-30,83.53,85.11,83.16,84.92,,
2004-09-13,84.92,86.83,84.56,86.83,,
2004-09-27,86.83,88.45,86.83,87.5,,
2004-10-11,87.5,87.5,86.11,86.93,,
2004-10-25,86.93,88.16,86.73,88.16,,
2004-11-08,88.16,89.745,86.41,86.41,,
2004-11-22,86.41,87.23,85.64,85.64,,
2004-12-06,85.64,85.96,84.95,84.96,,
2004-12-20,84.96,85.845,83.95,85.37,,
2005-01-03,85.37,85.72,83.55,83.81,,
2005-01-17,83.81,84.77,82.72,83.36,,
2005-01-31,83.36,85.55,82.93,85.51,,
2005-02-14,85.51,86.08,83.92,84.96,,
2005-02-28,84.96,86.8,83.85,86.2,,
2005-03-14,86.2,87.755,86.11,87.32,,
2005-03-28,87.32,89.14,87.28,88.09,,
2005-04-11,88.09,88.41,85.55,85.84,,
2005-04-25,85.84,85.84,83.12,84.56,,
2005-05-09,84.56,85.77,83.95,85.43,,
2005-05-23,85.43,87.24,84.97,86.37,,
2005-06-06,86.37,88.45,85.27,88.32,,
2005-06-20,88.32,90.64,87.64,89.99,,-1
2005-07-04,89.99,93.22,89.43,91.88,,-1
2005-07-18,91.88,93.07,90.43,91.95,,-1
2005-08-01,91.95,92.74,90.99,91.37,,-1
2005-08-15,91.37,92.92,90.385,91.82,,-1
2005-08-29,91.82,93.87,91.605,93.12,,-1
2005-09-12,93.12,96.22,92.53,96.13,,-1
2005-09-26,96.13,98.225,95.3,96.94,,-1
2005-10-10,96.94,98.645,95.995,97.57,,
2005-10-24,97.57,100.605,96.785,99.97,,
2005-11-07,99.97,100.425,98.235,100.2,,
2005-11-21,100.2,104.235,99.795,103.8,,
2005-12-05,103.8,105.065,99.71,99.79,,
2005-12-19,99.79,101.6,99.185,101.32,,
2006-01-02,101.32,101.61,97.135,98.39,,
2006-01-16,98.39,102.265,97.605,102.04,,
2006-01-30,102.04,104.12,101.665,102.25,,
2006-02-13,102.25,103.835,101.035,101.79,,
2006-02-27,101.79,103.435,100.58,102.56,,
2006-03-13,102.56,102.825,99.025,100.64,,
2006-03-27,100.64,103.245,99.355,102.92,,
2006-04-10,102.92,103.775,102.365,102.47,,
2006-04-24,102.47,102.93,100.535,101.85,,
2006-05-08,101.85,101.85,98.315,99.9,,
2006-05-22,99.9,102.575,99.275,101.49,,
2006-06-05,101.49,104.315,101.155,102.59,,
2006-06-19,102.59,104.485,102.175,102.51,,
2006-07-03,102.51,104.225,100.635,102.89,,
2006-07-17,102.89,103.785,101.27,101.31,,
2006-07-31,101.31,103.85,101.025,103.4,,
2006-08-14,103.4,106.1,102.755,105.76,,
2006-08-28,105.76,106.405,103.965,104.35,,
2006-09-11,104.35,105.835,103.695,104.28,,
2006-09-25,104.28,106.305,103.995,105.73,,
2006-10-09,105.73,106.255,103.775,105.51,,-1
2006-10-23,105.51,106.045,102.945,104.44,,-1
2006-11-06,104.44,104.865,102.53,102.67,,-1
2006-11-20,102.67,103.325,100.585,100.84,,-1
2006-12-04,100.84,102.435,100.005,102.07,,-1
2006-12-18,102.07,103.325,101.705,102.11,,-1
2007-01-01,102.11,103.025,100.225,102.8,,-1
2007-01-15,102.8,103.695,101.965,103.04,,-1
2007-01-29,103.04,103.89,101.425,103.83,,
2007-02-12,103.83,104.805,102.315,104.39,,
2007-02-26,104.39,104.44,97.505,100.93,,
2007-03-12,100.93,102.18,98.54,101.74,,
2007-03-26,101.74,103.785,100.465,103.58,,
2007-04-09,103.58,106.029,103.209,105.598,,
2007-04-23,105.598,109.056,105.13,108.493,,
2007-05-07,108.493,111.324,107.15,111.262,,
2007-05-21,111.262,115.228,111.06,115.107,,
2007-06-04,115.107,116.44,113.44,115.61,,
2007-06-18,115.61,117.912,114.068,115.618,,-1
2007-07-02,115.618,118.238,114.494,116.382,,-1
2007-07-16,116.382,117.326,111.306,111.457,,-1
2007-07-30,111.457,114.342,109.954,112.413,,-1
2007-08-13,112.413,112.932,103.411,110.68,,-1
2007-08-27,110.68,111.128,106.692,107.451,,-1
2007-09-10,107.451,116.076,106.53,115.4,,-1
2007-09-24,115.4,119.38,113.786,119.297,,-1
2007-10-08,119.297,121.276,117.834,118.436,,
2007-10-22,118.436,123.536,115.818,122.873,,
2007-11-05,122.873,125.582,111.203,114.144,,
2007-11-19,114.144,114.37,108.094,111.401,1,
2007-12-03,111.401,112.026,107.872,111.374,1,
2007-12-17,111.374,116.874,110.762,114.387,1,
2007-12-31,114.387,115.12,107.798,108.3,1,
2008-01-07,108.3,109.988,103.036,104.015,1,
2008-01-21,104.015,108.582,101.84,106.991,1,
2008-02-04,106.991,108.994,104.73,107.087,1,
2008-02-18,107.087,109.65,104.837,105.01,1,
2008-03-03,105.01,105.728,99.963,100.157,,
2008-03-17,100.157,101.384,95.698,97.041,,
2008-03-31,97.041,102.275,96.614,98.692,,
2008-04-14,98.692,103.903,97.926,103.016,,
2008-04-28,103.016,105.388,101.606,102.323,,
2008-05-12,102.323,105.89,101.924,104.439,,
2008-05-26,104.439,107.112,102.899,102.909,,
2008-06-09,102.909,106.728,102.523,105.61,,
2008-06-23,105.61,107.096,103.138,104.741,,
2008-07-07,104.741,106.522,103.642,106.346,,
2008-07-21,106.346,107.166,104.388,104.835,,
2008-08-04,104.835,105.072,101.514,104.333,,
2008-08-18,104.333,105.418,102.095,102.269,,
2008-09-01,102.269,103.268,98.382,101.821,,
2008-09-15,101.821,103.455,96.498,102.57,,
2008-09-29,102.57,103.132,82.124,85.813,,
2008-10-13,85.813,91.046,70.98,73.816,,
2008-10-27,73.816,87.494,71.11,82.585,,
2008-11-10,82.585,85.258,72.15,75.754,,
2008-11-24,75.754,79.391,70.58,73.045,,
2008-12-08,73.045,75.63,70.958,73.503,,
2008-12-22,73.503,76.258,73.076,76.223,,
