time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-24,87.32,89.685,87.32,89.685,,
2004-06-07,89.595,89.595,86.925,87.475,,
2004-06-21,87.445,87.835,85.485,87.835,,
2004-07-05,87.975,88.925,87.915,88.715,,
2004-07-19,88.775,88.775,86.875,86.875,,
2004-08-02,87.095,89.405,86.51,89.405,,
2004-08-16,89.085,89.085,85.535,85.535,,
2004-08-30,85.485,87.155,85.485,87.155,,
2004-09-13,87.085,87.905,86.37,87.725,,
2004-09-27,87.695,88.495,87.555,87.555,,
2004-10-11,87.675,88.72,87.365,88.26,,
2004-10-25,88.705,89.665,88.155,89.665,,
2004-11-08,89.575,90.76,88.755,88.755,,
2004-11-22,88.845,90.295,88.755,90.275,,
2004-12-06,90.145,91.44,90.035,90.035,,
2004-12-20,90.015,91.65,89.885,89.885,,
2005-01-03,90.065,90.265,86.155,86.495,,
2005-01-17,86.405,87.645,86.165,87.045,,
2005-01-31,87.205,87.705,85.545,87.325,,
2005-02-14,87.185,90.595,86.965,90.575,,
2005-02-28,90.605,90.605,89.015,90.415,,
2005-03-14,90.275,90.83,88.265,88.655,,
2005-03-28,88.665,90.485,88.53,90.395,,
2005-04-11,90.405,91.115,88.86,89.755,,
2005-04-25,89.195,89.5,86.83,87.055,,
2005-05-09,87.105,88.225,87.035,87.665,,
2005-05-23,87.665,87.965,85.895,85.985,,
2005-06-06,85.945,86.455,85.315,86.325,,
2005-06-20,86.125,86.625,84.815,86.235,,-1
2005-07-04,86.055,87.285,85.525,86.565,,-1
2005-07-18,86.605,87.895,85.57,87.235,,-1
2005-08-01,87.325,89.155,87.205,87.695,,-1
2005-08-15,87.935,87.935,86.015,87.545,,-1
2005-08-29,87.615,89.405,87.175,88.225,,-1
2005-09-12,87.575,88.105,86.725,87.045,,-1
2005-09-26,87.005,89.245,86.69,89.075,,-1
2005-10-10,88.875,90.055,88.315,89.705,,
2005-10-24,89.585,91.495,89.355,90.505,,
2005-11-07,90.385,90.655,89.205,90.635,,
2005-11-21,90.695,91.785,90.025,91.605,,
2005-12-05,91.815,93.155,89.575,89.655,,
2005-12-19,89.705,90.4,88.33,89.635,,
2006-01-02,89.635,91.135,88.565,89.435,,
2006-01-16,89.545,91.805,89.345,91.315,,
2006-01-30,91.435,92.245,90.005,90.195,,
2006-02-13,90.105,90.915,88.645,88.755,,
2006-02-27,88.735,90.625,87.69,90.335,,
2006-03-13,90.305,90.825,89.235,89.605,,
2006-03-27,89.735,91.755,88.885,90.905,,
2006-04-10,90.815,92.75,90.71,91.415,,
2006-04-24,90.875,92.835,89.885,91.815,,
2006-05-08,91.425,92.075,90.385,91.805,,
2006-05-22,91.795,92.925,91.555,92.485,,
2006-06-05,92.555,93.645,92.295,93.535,,
2006-06-19,93.545,93.735,92.465,93.575,,
2006-07-03,93.395,94.325,92.495,94.085,,
2006-07-17,94.195,94.355,92.925,92.995,,
2006-07-31,93.105,94.265,92.645,93.555,,
2006-08-14,93.705,94.925,93.605,94.605,,
2006-08-28,94.625,95.69,93.275,93.725,,
2006-09-11,93.685,94.765,93.145,94.295,,
2006-09-25,94.295,94.895,93.605,94.445,,
2006-10-09,94.355,94.71,93.325,94.315,,-1
2006-10-23,94.425,94.695,93.645,94.125,,-1
2006-11-06,94.195,95.055,93.975,94.655,,-1
2006-11-20,94.755,97.035,94.68,96.755,,-1
2006-12-04,96.735,97.615,95.915,96.755,,-1
2006-12-18,96.565,97.725,96.355,97.665,,-1
2007-01-01,97.665,98.085,95.595,96.475,,-1
2007-01-15,96.515,98.015,96.215,96.965,,-1
2007-01-29,96.925,97.655,96.155,97.635,,
2007-02-12,97.535,98.385,96.335,98.225,,
2007-02-26,98.195,98.335,94.275,95.835,,
2007-03-12,96.065,97.355,95.115,96.895,,
2007-03-26,96.855,97.82,95.875,97.579,,
2007-04-09,97.595,98.845,97.082,98.207,,
2007-04-23,98.299,99.342,97.735,99.184,,
2007-05-07,99.219,99.288,98.073,98.689,,
2007-05-21,98.745,99.64,98.404,99.273,,
2007-06-04,99.254,99.812,97.72,99.448,,
2007-06-18,99.415,100.914,99.33,100.842,,-1
2007-07-02,100.853,101.867,100.506,101.39,,-1
2007-07-16,101.44,101.83,97.82,98.159,,-1
2007-07-30,98.005,100.27,97.55,98.761,,-1
2007-08-13,98.615,98.85,92.177,96.983,,-1
2007-08-27,96.972,97.252,94.682,95.385,,-1
2007-09-10,95.2,98.587,94.905,98.504,,-1
2007-09-24,98.48,99.374,97.594,99.284,,-1
2007-10-08,99.42,99.98,97.97,98.204,,
2007-10-22,98.044,99.872,96.453,99.507,,
2007-11-05,99.515,100.696,96.797,99.389,,
2007-11-19,99.246,99.646,97.592,98.272,1,
2007-12-03,98.187,99.413,97.462,98.247,1,
2007-12-17,98.144,100.364,97.509,99.732,1,
2007-12-31,99.772,99.925,97.345,97.98,1,
2008-01-07,97.97,99.363,96.619,97.283,1,
2008-01-21,97.044,98.9195,95.128,97.733,1,
2008-02-04,97.855,98.808,96.328,98.614,1,
2008-02-18,98.621,100.534,97.932,99.638,1,
2008-03-03,99.615,100.752,98.773,99.246,,
2008-03-17,99.391,100.745,97.345,99.711,,
2008-03-31,99.729,101.837,99.369,100.895,,
2008-04-14,100.82,102.785,100.335,100.929,,
2008-04-28,100.861,101.377,98.275,98.808,,
2008-05-12,98.925,101.07,98.464,100.947,,
2008-05-26,100.814,103.143,100.221,103.01,,
2008-06-09,102.787,104.29,102.592,103.659,,
2008-06-23,103.555,105.085,102.855,104.171,,
2008-07-07,104.14,104.793,102.922,104.575,,
2008-07-21,104.528,104.787,102.342,102.596,,
2008-08-04,102.607,103.793,99.721,100.826,,
2008-08-18,100.755,100.939,98.513,98.794,,
2008-09-01,98.666,98.838,93.075,95.512,,
2008-09-15,94.485,98.632,92.9645,97.216,,
2008-09-29,97.056,97.436,86.553,88.428,,
2008-10-13,89.298,91.256,78.763,80.801,,
2008-10-27,79.972,88.064,78.827,83.352,,
2008-11-10,84.656,84.9135,76.246,78.482,,
2008-11-24,78.43,81.628,75.0745,76.089,,
2008-12-08,76.113,85.492,74.728,80.912,,
2008-12-22,80.875,87.062,80.715,85.055,,
2009-01-05,85.123,86.07,79.043,81.098,,
2009-01-19,81.613,82.053,75.415,77.505,,
2009-02-02,77.405,79.764,76.1715,79.138,,
2009-02-16,78.733,84.7735,78.0975,83.4,,
2009-03-02,83.462,85.888,81.333,82.661,,
2009-03-16,82.518,87.762,82.034,85.541,,
2009-03-30,85.471,89.995,83.3935,86.83,,
2009-04-13,86.91,88.641,83.49,85.302,,
2009-04-27,85.041,89.119,82.687,89.036,,
2009-05-11,89.312,89.466,84.042,87.301,,
2009-05-25,87.302,91.3925,86.7065,90.87,,
2009-06-08,90.767,91.5255,87.937,89.029,,
2009-06-22,89.034,89.995,86.848,88.387,,
2009-07-06,88.347,88.365,83.956,87.474,,
2009-07-20,87.506,89.333,87.067,88.621,,
2009-08-03,88.763,90.727,87.757,88.578,,
2009-08-17,88.226,89.6335,87.171,88.322,,
2009-08-31,88.069,88.6835,86.419,87.35,,
2009-09-14,87.151,89.371,86.8865,87.242,,
2009-09-28,87.192,87.3185,85.4065,87.05,,
2009-10-12,86.803,91.442,86.798,91.256,,
2009-10-26,91.323,91.5585,86.788,88.346,,
2009-11-09,88.701,89.6235,87.096,87.31,,
2009-11-23,87.222,89.157,84.248,89.069,,
2009-12-07,88.696,88.98,85.2635,86.776,,
2009-12-21,86.823,90.091,86.3775,89.834,,
2010-01-04,89.665,91.04,88.2045,88.528,,
2010-01-18,88.328,88.7805,85.018,85.096,,
2010-02-01,84.781,86.212,82.337,83.644,,
2010-02-15,83.705,85.4665,81.779,82.89,,
2010-03-01,82.743,85.858,81.8795,85.609,,-1
2010-03-15,85.915,87.0225,84.3495,86.864,,-1
2010-03-29,87.329,89.9945,86.1755,87.426,,-1
2010-04-12,88.244,88.9425,85.9115,87.622,,-1
2010-04-26,87.444,88.0055,78.914,82.653,,-1
2010-05-10,83.981,85.423,77.059,78.237,,-1
2010-05-24,78.494,81.073,76.4105,79.076,,-1
2010-06-07,78.781,82.075,77.9775,81.825,,-1
2010-06-21,81.756,83.1745,80.7755,82.572,,
2010-07-05,82.48,84.5085,81.8815,82.401,,
2010-07-19,82.484,83.9635,82.1455,83.056,,
2010-08-02,82.999,83.4515,80.1895,81.997,,
2010-08-16,82.009,83.1265,80.3255,82.915,,
2010-08-30,83.045,83.837,81.8495,82.514,,
2010-09-13,82.579,86.5165,82.5515,85.669,,
2010-09-27,85.7755,86.4165,84.7645,85.106,,
2010-10-11,85.303,85.8095,83.019,83.28,,
2010-10-25,83.403,84.951,80.9545,84.557,,
2010-11-08,84.474,85.04,83.4175,84.201,,
2010-11-22,84.156,84.955,83.1115,84.775,,
2010-12-06,84.711,87.7725,83.7695,86.697,,
2010-12-20,86.696,87.9505,85.867,86.715,,
2011-01-03,86.903,87.791,85.075,86.005,,
2011-01-17,86.002,88.132,85.2855,87.19,,
2011-01-31,87.115,87.471,85.2375,85.736,,
2011-02-14,85.668,88.7245,85.377,87.997,,
2011-02-28,87.989,89.334,87.783,88.074,,
2011-03-14,88.045,90.694,85.192,88.442,,
2011-03-28,88.304,93.624,88.29,93.515,,
2011-04-11,93.543,94.041,91.421,92.394,,
2011-04-25,92.404,94.3285,91.4215,91.711,,
2011-05-09,91.748,93.3195,90.159,93.112,,
2011-05-23,93.008,96.462,92.129,96.277,,
2011-06-06,96.058,96.38,94.232,94.248,,
2011-06-20,94.368,97.68,94.138,95.436,,
2011-07-04,95.26,97.748,94.593,97.111,,
2011-07-18,97.746,98.1655,95.3845,97.675,,
2011-08-01,97.397,108.73,97.1,98.617,,-1
2011-08-15,98.086,98.8575,94.4735,95.118,,-1
2011-08-29,95.079,99.374,87.271,87.795,,-1
2011-09-12,87.24,88.7935,83.085,84.625,,-1
2011-09-26,84.589,86.0595,82.4195,82.764,,-1
2011-10-10,82.817,87.1815,82.778,86.4,,-1
2011-10-24,86.142,91.402,85.6995,88.449,,-1
