time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-24,1.7039,1.7752,1.7039,1.7659,,
2004-06-07,1.7651,1.76695,1.733,1.7622,,
2004-06-21,1.7609,1.7609,1.7249,1.7264,,
2004-07-05,1.7279,1.7279,1.70045,1.7005,,
2004-07-19,1.6994,1.7242,1.6945,1.7102,,
2004-08-02,1.7135,1.7259,1.70575,1.7259,,
2004-08-16,1.7293,1.7293,1.7017,1.7098,,
2004-08-30,1.7127,1.7739,1.7127,1.7635,,
2004-09-13,1.7617,1.7617,1.7179,1.7179,,
2004-09-27,1.7183,1.7226,1.6872,1.6885,,
2004-10-11,1.6844,1.7226,1.6844,1.71105,,
2004-10-25,1.7109,1.7151,1.6969,1.6998,,
2004-11-08,1.6988,1.7057,1.6623,1.6623,,
2004-11-22,1.6632,1.7221,1.6632,1.7215,,
2004-12-06,1.7199,1.7654,1.7199,1.7396,,
2004-12-20,1.7459,1.7619,1.7339,1.7339,,
2005-01-03,1.7359,1.74335,1.71625,1.728,,
2005-01-17,1.725,1.73405,1.67395,1.6822,,
2005-01-31,1.6844,1.69355,1.6359,1.6369,,
2005-02-14,1.6386,1.68655,1.6361,1.6843,,
2005-02-28,1.6828,1.70465,1.66285,1.6971,,
2005-03-14,1.6979,1.70215,1.66505,1.6796,,
2005-03-28,1.6786,1.68695,1.66765,1.6757,,
2005-04-11,1.676,1.70355,1.656,1.6724,,
2005-04-25,1.6716,1.67435,1.64505,1.6535,,
2005-05-09,1.6547,1.67395,1.64815,1.6611,,
2005-05-23,1.6626,1.6635,1.6149,1.6174,,
2005-06-06,1.6179,1.6201,1.56315,1.5793,,
2005-06-20,1.57265,1.59835,1.55365,1.5904,,-1
2005-07-04,1.587,1.622,1.58455,1.6059,,-1
2005-07-18,1.6071,1.6137,1.57535,1.6023,,-1
2005-08-01,1.6034,1.6294,1.59045,1.6119,,-1
2005-08-15,1.6124,1.6282,1.60115,1.6255,,-1
2005-08-29,1.627,1.64385,1.6005,1.6009,,-1
2005-09-12,1.5998,1.6024,1.5757,1.5902,,-1
2005-09-26,1.5899,1.60855,1.5595,1.6024,,-1
2005-10-10,1.6022,1.6101,1.58645,1.5962,,
2005-10-24,1.5958,1.6297,1.5919,1.6112,,
2005-11-07,1.614,1.6148,1.5932,1.6059,,
2005-11-21,1.6072,1.6105,1.5633,1.5666,,
2005-12-05,1.5664,1.61775,1.5617,1.6154,,
2005-12-19,1.6156,1.637,1.6067,1.6167,,
2006-01-02,1.6167,1.62785,1.5975,1.6077,,
2006-01-16,1.6098,1.6401,1.6017,1.6135,,
2006-01-30,1.6141,1.6254,1.5997,1.614,,
2006-02-13,1.6137,1.62095,1.6031,1.6061,,
2006-02-27,1.607,1.6306,1.59705,1.6271,,
2006-03-13,1.6269,1.7004,1.6231,1.698,,
2006-03-27,1.6981,1.712,1.6618,1.6654,,
2006-04-10,1.6681,1.6741,1.6506,1.6585,,
2006-04-24,1.6564,1.67195,1.6374,1.6474,,
2006-05-08,1.6489,1.6893,1.6443,1.6853,,
2006-05-22,1.6863,1.72475,1.6769,1.7175,,
2006-06-05,1.7201,1.7355,1.682,1.713,,
2006-06-19,1.7127,1.7255,1.6995,1.7218,,
2006-07-03,1.7201,1.7264,1.6754,1.6797,,
2006-07-17,1.6801,1.6896,1.6582,1.6623,,
2006-07-31,1.6637,1.6929,1.6577,1.6603,,
2006-08-14,1.6626,1.696,1.659,1.6842,,
2006-08-28,1.6865,1.69105,1.6601,1.6808,,
2006-09-11,1.6812,1.7078,1.6775,1.704,,
