time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-24,1.9279,1.98005,1.9279,1.97425,,
2004-06-07,1.9726,1.9726,1.9061,1.93665,,
2004-06-21,1.93585,1.9372,1.8974,1.90265,,
2004-07-05,1.90205,1.90205,1.8767,1.88885,,
2004-07-19,1.88655,1.9217,1.8849,1.88715,,
2004-08-02,1.8895,1.8895,1.85685,1.85685,,
2004-08-16,1.86245,1.8649,1.83175,1.83915,,
2004-08-30,1.83975,1.8768,1.83975,1.87275,,
2004-09-13,1.86965,1.86965,1.83565,1.83565,,
2004-09-27,1.83755,1.8468,1.81075,1.81075,,
2004-10-11,1.81575,1.82545,1.81335,1.8223,,
2004-10-25,1.8204,1.86565,1.8204,1.8653,,
2004-11-08,1.8634,1.88615,1.8353,1.8375,,
2004-11-22,1.8354,1.8657,1.8354,1.8657,,
2004-12-06,1.862,1.8827,1.8612,1.8612,,
2004-12-20,1.8652,1.905,1.8652,1.8894,,
2005-01-03,1.8854,1.9033,1.8673,1.8749,,
2005-01-17,1.8738,1.88695,1.8147,1.829,,
2005-01-31,1.8339,1.8391,1.7991,1.8017,,
2005-02-14,1.8041,1.837,1.7946,1.8335,,
2005-02-28,1.8352,1.8365,1.793,1.819,,
2005-03-14,1.8205,1.8227,1.7803,1.814,,
2005-03-28,1.8148,1.83385,1.7956,1.8055,,
2005-04-11,1.8052,1.8222,1.7695,1.7846,,
2005-04-25,1.7838,1.7999,1.7455,1.7484,,
2005-05-09,1.7505,1.7919,1.7479,1.7711,,
2005-05-23,1.7736,1.7761,1.7418,1.7478,,
2005-06-06,1.7484,1.7495,1.6878,1.7133,,
2005-06-20,1.7056,1.75715,1.6878,1.74855,,-1
2005-07-04,1.74705,1.805,1.74535,1.78485,,-1
2005-07-18,1.78905,1.8003,1.75525,1.78105,,-1
2005-08-01,1.78415,1.79605,1.7538,1.759,,-1
2005-08-15,1.7596,1.7699,1.7435,1.7678,,-1
2005-08-29,1.7685,1.78345,1.7529,1.7529,,-1
2005-09-12,1.7498,1.76045,1.7236,1.74985,,-1
2005-09-26,1.75455,1.77205,1.7056,1.7435,,-1
2005-10-10,1.74395,1.74535,1.704,1.7073,,
2005-10-24,1.7072,1.74685,1.6991,1.72825,,
2005-11-07,1.73225,1.7868,1.6854,1.71285,,
2005-11-21,1.71485,1.71975,1.6395,1.6435,,
2005-12-05,1.6419,1.74595,1.6341,1.73895,,
2005-12-19,1.74235,1.7685,1.72595,1.73445,,
2006-01-02,1.73385,1.77085,1.72755,1.7379,,
2006-01-16,1.7384,1.8163,1.7325,1.77465,,
2006-01-30,1.77875,1.78005,1.74425,1.75395,,
2006-02-13,1.75465,1.8135,1.74795,1.79195,,
2006-02-27,1.80225,1.8618,1.788,1.85675,,
2006-03-13,1.85115,1.9808,1.85095,1.978,,
2006-03-27,1.9717,2.02255,1.95455,1.9883,,
2006-04-10,1.9896,1.99645,1.9333,1.94975,,
2006-04-24,1.95075,1.995,1.9427,1.98425,,
2006-05-08,1.98345,2.08365,1.98075,2.05995,,
2006-05-22,2.06195,2.08035,1.9896,2.04915,,
2006-06-05,2.05045,2.0556,1.9899,2.0474,,
2006-06-19,2.0485,2.11795,2.01895,2.1,,
2006-07-03,2.0991,2.11845,2.03435,2.03995,,
2006-07-17,2.03995,2.06855,1.9924,2.0655,,
2006-07-31,2.06295,2.08015,2.0025,2.00815,,
2006-08-14,2.01305,2.027,1.9967,2.00295,,
2006-08-28,2.00595,2.012,1.9491,1.98765,,
2006-09-11,1.99065,1.9991,1.9021,1.93145,,
2006-09-25,1.93455,1.9527,1.8918,1.91355,,
2006-10-09,1.91215,1.9257,1.8843,1.88775,,-1
2006-10-23,1.88635,1.93815,1.8815,1.89875,,-1
2006-11-06,1.89865,1.9477,1.89675,1.92895,,-1
2006-11-20,1.92915,1.9644,1.9095,1.93785,,-1
2006-12-04,1.93975,1.94935,1.89165,1.89625,,-1
2006-12-18,1.89785,1.90505,1.8607,1.8736,,-1
2007-01-01,1.8736,1.90175,1.8577,1.87135,,-1
2007-01-15,1.86645,1.87515,1.8453,1.8551,,-1
2007-01-29,1.8557,1.9226,1.8524,1.90325,,
2007-02-12,1.90445,1.90715,1.8543,1.8634,,
2007-02-26,1.8605,1.9495,1.8504,1.89915,,
2007-03-12,1.89415,1.92985,1.862,1.868,,
2007-03-26,1.8666,1.8851,1.8457,1.85685,,
2007-04-09,1.85336,1.86305,1.81351,1.81757,,
2007-04-23,1.81738,1.85319,1.81725,1.84535,,
2007-05-07,1.84943,1.85782,1.83119,1.84887,,
2007-05-21,1.84951,1.85638,1.80216,1.80513,,
2007-06-04,1.80247,1.8111,1.74922,1.77322,,
2007-06-18,1.78297,1.78383,1.7401,1.75241,,-1
2007-07-02,1.75388,1.78454,1.73086,1.75095,,-1
2007-07-16,1.75441,1.78719,1.7035,1.78285,,-1
2007-07-30,1.78839,1.84551,1.77263,1.83749,,-1
2007-08-13,1.83207,2.01602,1.83047,1.8957,,-1
2007-08-27,1.88777,2.00641,1.87953,1.99219,,-1
2007-09-10,1.99935,2.01856,1.88551,1.89355,,-1
2007-09-24,1.89604,1.92846,1.85297,1.85703,,-1
2007-10-08,1.85023,1.92095,1.82124,1.91414,,
2007-10-22,1.92162,1.94218,1.8643,1.895,,
2007-11-05,1.89611,1.95584,1.85589,1.93543,,
2007-11-19,1.93256,1.98748,1.90471,1.9145,1,
2007-12-03,1.92005,1.94693,1.85126,1.88564,1,
